#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
2V5,2021-07-11 00:15,-102.2410,40.1003,82.40,44.60,26.49,20.00,12.00,0.00,30.15,M,10.00,18.00,SCT,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,80.50,K2V5 110015Z AUTO 02012G18KT 10SM SCT075 28/07 A3015 RMK AO2
2V5,2021-07-11 00:35,-102.2410,40.1003,80.60,44.60,28.08,30.00,13.00,0.00,30.15,M,10.00,22.00,SCT,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,79.42,K2V5 110035Z AUTO 03013G22KT 10SM SCT080 27/07 A3015 RMK AO2
2V5,2021-07-11 00:55,-102.2410,40.1003,80.60,44.60,28.08,40.00,15.00,0.00,30.15,M,10.00,20.00,SCT,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,79.42,K2V5 110055Z AUTO 04015G20KT 10SM SCT090 27/07 A3015 RMK AO2
2V5,2021-07-11 01:15,-102.2410,40.1003,78.80,46.40,31.90,30.00,16.00,0.00,30.15,M,10.00,20.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110115Z AUTO 03016G20KT 10SM CLR 26/08 A3015 RMK AO2
2V5,2021-07-11 01:35,-102.2410,40.1003,77.00,46.40,33.85,40.00,16.00,0.00,30.15,M,10.00,21.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110135Z AUTO 04016G21KT 10SM CLR 25/08 A3015 RMK AO2
2V5,2021-07-11 01:55,-102.2410,40.1003,75.20,48.20,38.46,40.00,12.00,0.00,30.16,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110155Z AUTO 04012G15KT 10SM CLR 24/09 A3016 RMK AO2
2V5,2021-07-11 02:15,-102.2410,40.1003,73.40,50.00,43.69,40.00,13.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110215Z AUTO 04013KT 10SM CLR 23/10 A3016 RMK AO2
2V5,2021-07-11 02:35,-102.2410,40.1003,71.60,51.80,49.64,40.00,10.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110235Z AUTO 04010KT 10SM CLR 22/11 A3017 RMK AO2
2V5,2021-07-11 02:55,-102.2410,40.1003,68.00,51.80,56.13,40.00,7.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110255Z AUTO 04007KT 10SM CLR 20/11 A3018 RMK AO2
2V5,2021-07-11 03:15,-102.2410,40.1003,68.00,51.80,56.13,0.00,0.00,0.00,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110315Z AUTO 00000KT 10SM CLR 20/11 A3019 RMK AO2
2V5,2021-07-11 03:35,-102.2410,40.1003,64.40,51.80,63.60,20.00,5.00,0.00,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110335Z AUTO 02005KT 10SM CLR 18/11 A3020 RMK AO2
2V5,2021-07-11 03:55,-102.2410,40.1003,62.60,51.80,67.75,20.00,5.00,0.00,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110355Z AUTO 02005KT 10SM CLR 17/11 A3020 RMK AO2
2V5,2021-07-11 04:15,-102.2410,40.1003,62.60,51.80,67.75,10.00,7.00,0.00,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110415Z AUTO 01007KT 10SM CLR 17/11 A3020 RMK AO2
2V5,2021-07-11 04:35,-102.2410,40.1003,62.60,51.80,67.75,10.00,5.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110435Z AUTO 01005KT 10SM CLR 17/11 A3021 RMK AO2
2V5,2021-07-11 04:55,-102.2410,40.1003,60.80,53.60,77.14,10.00,6.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110455Z AUTO 01006KT 10SM CLR 16/12 A3021 RMK AO2
2V5,2021-07-11 05:15,-102.2410,40.1003,60.80,51.80,72.20,30.00,6.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110515Z AUTO 03006KT 10SM CLR 16/11 A3021 RMK AO2
2V5,2021-07-11 05:35,-102.2410,40.1003,60.80,51.80,72.20,20.00,5.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110535Z AUTO 02005KT 10SM CLR 16/11 A3022 RMK AO2
2V5,2021-07-11 05:55,-102.2410,40.1003,59.00,51.80,76.98,20.00,5.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110555Z AUTO 02005KT 10SM CLR 15/11 A3022 RMK AO2
2V5,2021-07-11 06:15,-102.2410,40.1003,59.00,51.80,76.98,0.00,0.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110615Z AUTO 00000KT 10SM CLR 15/11 A3022 RMK AO2
2V5,2021-07-11 06:35,-102.2410,40.1003,60.80,51.80,72.20,320.00,6.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110635Z AUTO 32006KT 10SM CLR 16/11 A3022 RMK AO2
2V5,2021-07-11 06:55,-102.2410,40.1003,60.80,51.80,72.20,340.00,3.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110655Z AUTO 34003KT 10SM CLR 16/11 A3022 RMK AO2
2V5,2021-07-11 07:15,-102.2410,40.1003,59.00,51.80,76.98,290.00,5.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110715Z AUTO 29005KT 10SM CLR 15/11 A3022 RMK AO2
2V5,2021-07-11 07:35,-102.2410,40.1003,59.00,51.80,76.98,350.00,3.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110735Z AUTO 35003KT 10SM CLR 15/11 A3022 RMK AO2
2V5,2021-07-11 07:55,-102.2410,40.1003,55.40,50.00,81.99,10.00,3.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110755Z AUTO 01003KT 10SM CLR 13/10 A3021 RMK AO2
2V5,2021-07-11 08:15,-102.2410,40.1003,55.40,50.00,81.99,0.00,0.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110815Z AUTO 00000KT 10SM CLR 13/10 A3021 RMK AO2
2V5,2021-07-11 08:35,-102.2410,40.1003,55.40,50.00,81.99,360.00,3.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110835Z AUTO 36003KT 10SM CLR 13/10 A3021 RMK AO2
2V5,2021-07-11 08:55,-102.2410,40.1003,53.60,50.00,87.56,0.00,0.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110855Z AUTO 00000KT 10SM CLR 12/10 A3021 RMK AO2
2V5,2021-07-11 09:15,-102.2410,40.1003,55.40,50.00,81.99,0.00,0.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K2V5 110915Z AUTO 00000KT 10SM CLR 13/10 A3021 RMK AO2
