#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
33V,2021-07-11 00:15,-106.2715,40.7503,74.70,26.10,16.37,330.00,15.00,0.00,30.44,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K33V 110015Z AUTO 33015KT 10SM CLR 24/M03 A3044 RMK AO2 T02371033
33V,2021-07-11 00:35,-106.2715,40.7503,74.70,27.70,17.49,330.00,13.00,0.00,30.44,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K33V 110035Z AUTO 33013KT 10SM CLR 24/M02 A3044 RMK AO2 T02371024
33V,2021-07-11 00:55,-106.2715,40.7503,72.70,27.90,18.86,330.00,12.00,0.00,30.44,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K33V 110055Z AUTO 33012KT 10SM CLR 23/M02 A3044 RMK AO2 T02261023
33V,2021-07-11 01:15,-106.2715,40.7503,70.20,28.90,21.39,330.00,10.00,0.00,30.44,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K33V 110115Z AUTO 33010KT 10SM CLR 21/M02 A3044 RMK AO2 T02121017
33V,2021-07-11 01:35,-106.2715,40.7503,69.80,28.60,21.42,330.00,11.00,0.00,30.45,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K33V 110135Z AUTO 33011KT 10SM CLR 21/M02 A3045 RMK AO2 T02101019
33V,2021-07-11 01:55,-106.2715,40.7503,69.80,27.30,20.30,350.00,10.00,0.00,30.45,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K33V 110155Z AUTO 35010KT 10SM CLR 21/M03 A3045 RMK AO2 T02101026
33V,2021-07-11 02:15,-106.2715,40.7503,69.40,26.80,20.16,20.00,10.00,0.00,30.46,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K33V 110215Z AUTO 02010KT 10SM CLR 21/M03 A3046 RMK AO2 T02081029
33V,2021-07-11 02:35,-106.2715,40.7503,64.00,24.30,21.91,10.00,9.00,0.00,30.46,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K33V 110235Z AUTO 01009KT 10SM CLR 18/M04 A3046 RMK AO2 T01781043
33V,2021-07-11 02:55,-106.2715,40.7503,62.10,23.90,23.03,20.00,7.00,0.00,30.46,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K33V 110255Z AUTO 02007KT 10SM CLR 17/M04 A3046 RMK AO2 T01671045
33V,2021-07-11 03:15,-106.2715,40.7503,59.50,24.30,25.69,30.00,8.00,0.00,30.46,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K33V 110315Z AUTO 03008KT 10SM CLR 15/M04 A3046 RMK AO2 T01531043
