#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
4BM,2021-07-11 00:15,-105.5140,39.0500,59.00,42.80,54.86,30.00,5.00,0.00,30.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K4BM 110015Z AUTO 03005KT 10SM CLR 15/06 A3070 RMK AO2
4BM,2021-07-11 00:35,-105.5140,39.0500,55.40,42.80,62.46,30.00,5.00,0.00,30.70,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K4BM 110035Z AUTO 03005G16KT 10SM CLR 13/06 A3070 RMK AO2
4BM,2021-07-11 00:57,-105.5140,39.0500,55.40,41.00,58.27,40.00,7.00,0.00,30.70,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K4BM 110057Z AUTO 04007G14KT 360V060 10SM CLR 13/05 A3070 RMK AO2
4BM,2021-07-11 01:15,-105.5140,39.0500,53.60,41.00,62.23,30.00,7.00,0.00,30.70,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K4BM 110115Z AUTO 03007G15KT 010V070 10SM CLR 12/05 A3070 RMK AO2
4BM,2021-07-11 01:35,-105.5140,39.0500,53.60,41.00,62.23,30.00,7.00,0.00,30.70,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K4BM 110135Z AUTO 03007G18KT 310V070 10SM CLR 12/05 A3070 RMK AO2
4BM,2021-07-11 01:55,-105.5140,39.0500,51.80,41.00,66.48,30.00,9.00,0.00,30.70,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K4BM 110155Z AUTO 03009G14KT 10SM CLR 11/05 A3070 RMK AO2
4BM,2021-07-11 02:15,-105.5140,39.0500,51.80,41.00,66.48,30.00,9.00,0.00,30.70,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K4BM 110215Z AUTO 03009G16KT 350V060 10SM CLR 11/05 A3070 RMK AO2
4BM,2021-07-11 02:36,-105.5140,39.0500,50.00,41.00,71.07,40.00,9.00,0.00,30.71,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K4BM 110236Z AUTO 04009G16KT 010V080 10SM CLR 10/05 A3071 RMK AO2
4BM,2021-07-11 02:55,-105.5140,39.0500,50.00,41.00,71.07,30.00,10.00,0.00,30.71,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K4BM 110255Z AUTO 03010G19KT 10SM CLR 10/05 A3071 RMK AO2
4BM,2021-07-11 03:15,-105.5140,39.0500,50.00,41.00,71.07,30.00,11.00,0.00,30.71,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K4BM 110315Z AUTO 03011G16KT 10SM CLR 10/05 A3071 RMK AO2
4BM,2021-07-11 03:35,-105.5140,39.0500,50.00,41.00,71.07,30.00,9.00,0.00,30.73,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K4BM 110335Z AUTO 03009G16KT 360V070 10SM CLR 10/05 A3073 RMK AO2
4BM,2021-07-11 03:55,-105.5140,39.0500,50.00,41.00,71.07,40.00,8.00,0.00,30.74,M,10.00,14.00,SCT,SCT,M,M,3500.00,4300.00,M,M,M,M,M,M,M,M,M,M,K4BM 110355Z AUTO 04008G14KT 10SM SCT035 SCT043 10/05 A3074 RMK AO2
4BM,2021-07-11 04:15,-105.5140,39.0500,50.00,41.00,71.07,30.00,6.00,0.00,30.74,M,10.00,14.00,BKN,OVC,M,M,3300.00,4100.00,M,M,M,M,M,M,M,M,M,M,K4BM 110415Z AUTO 03006G14KT 10SM BKN033 OVC041 10/05 A3074 RMK AO2
4BM,2021-07-11 04:35,-105.5140,39.0500,50.00,41.00,71.07,40.00,5.00,0.00,30.74,M,10.00,M,SCT,BKN,OVC,M,1900.00,3100.00,4800.00,M,M,M,M,M,M,M,M,M,K4BM 110435Z AUTO 04005KT 10SM SCT019 BKN031 OVC048 10/05 A3074 RMK AO2
4BM,2021-07-11 04:55,-105.5140,39.0500,50.00,39.20,66.27,40.00,5.00,0.00,30.74,M,10.00,M,SCT,SCT,BKN,M,2500.00,3000.00,4900.00,M,M,M,M,M,M,M,M,M,K4BM 110455Z AUTO 04005KT 10SM SCT025 SCT030 BKN049 10/04 A3074 RMK AO2
4BM,2021-07-11 05:15,-105.5140,39.0500,50.00,39.20,66.27,30.00,4.00,0.00,30.74,M,10.00,M,BKN,BKN,BKN,M,2300.00,4200.00,5000.00,M,M,M,M,M,M,M,M,M,K4BM 110515Z AUTO 03004KT 10SM BKN023 BKN042 BKN050 10/04 A3074 RMK AO2
4BM,2021-07-11 05:35,-105.5140,39.0500,50.00,39.20,66.27,0.00,0.00,0.00,30.74,M,10.00,M,BKN,BKN,OVC,M,2400.00,2800.00,4400.00,M,M,M,M,M,M,M,M,M,K4BM 110535Z AUTO 00000KT 10SM BKN024 BKN028 OVC044 10/04 A3074 RMK AO2
4BM,2021-07-11 05:55,-105.5140,39.0500,50.00,41.00,71.07,170.00,5.00,0.00,30.74,M,10.00,M,SCT,BKN,OVC,M,2300.00,3500.00,4300.00,M,M,M,M,M,M,M,M,M,K4BM 110555Z AUTO 17005KT 10SM SCT023 BKN035 OVC043 10/05 A3074 RMK AO2
4BM,2021-07-11 06:15,-105.5140,39.0500,50.00,39.20,66.27,160.00,3.00,0.00,30.73,M,10.00,M,SCT,SCT,BKN,M,1900.00,2600.00,3400.00,M,M,M,M,M,M,M,M,M,K4BM 110615Z AUTO 16003KT 10SM SCT019 SCT026 BKN034 10/04 A3073 RMK AO2
4BM,2021-07-11 06:35,-105.5140,39.0500,46.40,39.20,75.84,140.00,3.00,0.00,30.73,M,10.00,M,SCT,SCT,M,M,2600.00,4200.00,M,M,M,M,M,M,M,M,M,45.15,K4BM 110635Z AUTO 14003KT 10SM SCT026 SCT042 08/04 A3073 RMK AO2
4BM,2021-07-11 06:55,-105.5140,39.0500,46.40,37.40,70.68,130.00,6.00,0.00,30.72,M,10.00,M,SCT,SCT,M,M,3500.00,4200.00,M,M,M,M,M,M,M,M,M,42.87,K4BM 110655Z AUTO 13006KT 10SM SCT035 SCT042 08/03 A3072 RMK AO2
4BM,2021-07-11 07:15,-105.5140,39.0500,46.40,37.40,70.68,120.00,4.00,0.00,30.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.24,K4BM 110715Z AUTO 12004KT 10SM CLR 08/03 A3072 RMK AO2
4BM,2021-07-11 07:35,-105.5140,39.0500,46.40,37.40,70.68,130.00,5.00,0.00,30.71,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.50,K4BM 110735Z AUTO 13005KT 10SM CLR 08/03 A3071 RMK AO2
4BM,2021-07-11 07:55,-105.5140,39.0500,46.40,37.40,70.68,130.00,6.00,0.00,30.71,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.87,K4BM 110755Z AUTO 13006KT 10SM CLR 08/03 A3071 RMK AO2
4BM,2021-07-11 08:15,-105.5140,39.0500,46.40,37.40,70.68,0.00,0.00,0.00,30.71,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K4BM 110815Z AUTO 00000KT 10SM CLR 08/03 A3071 RMK AO2
4BM,2021-07-11 08:35,-105.5140,39.0500,46.40,37.40,70.68,0.00,0.00,0.00,30.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K4BM 110835Z AUTO 00000KT 10SM CLR 08/03 A3070 RMK AO2
