#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
5SM,2021-07-11 00:15,-107.3790,39.4260,66.20,19.40,16.50,290.00,4.00,0.00,30.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110015Z AUTO 29004KT 10SM CLR 19/M07 A3067 RMK AO2
5SM,2021-07-11 00:35,-107.3790,39.4260,66.20,21.20,17.81,320.00,7.00,0.00,30.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110035Z AUTO 32007KT 10SM CLR 19/M06 A3067 RMK AO2
5SM,2021-07-11 00:55,-107.3790,39.4260,64.40,21.20,18.96,290.00,7.00,0.00,30.67,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110055Z AUTO 29007G14KT 260V350 10SM CLR 18/M06 A3067 RMK AO2
5SM,2021-07-11 01:15,-107.3790,39.4260,62.60,23.00,21.79,300.00,6.00,0.00,30.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110115Z AUTO 30006KT 10SM CLR 17/M05 A3067 RMK AO2
5SM,2021-07-11 01:35,-107.3790,39.4260,62.60,19.40,18.71,300.00,9.00,0.00,30.67,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110135Z AUTO 30009G18KT 210V330 10SM CLR 17/M07 A3067 RMK AO2
5SM,2021-07-11 01:55,-107.3790,39.4260,60.80,19.40,19.94,340.00,4.00,0.00,30.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110155Z AUTO 34004KT 10SM CLR 16/M07 A3067 RMK AO2
5SM,2021-07-11 02:15,-107.3790,39.4260,60.80,17.60,18.46,330.00,5.00,0.00,30.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110215Z AUTO 33005KT 10SM CLR 16/M08 A3067 RMK AO2
5SM,2021-07-11 02:35,-107.3790,39.4260,59.00,17.60,19.68,320.00,4.00,0.00,30.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110235Z AUTO 32004KT 10SM CLR 15/M08 A3067 RMK AO2
5SM,2021-07-11 02:55,-107.3790,39.4260,59.00,19.40,21.26,350.00,6.00,0.00,30.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110255Z AUTO 35006KT 10SM CLR 15/M07 A3067 RMK AO2
5SM,2021-07-11 03:15,-107.3790,39.4260,59.00,19.40,21.26,360.00,9.00,0.00,30.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110315Z AUTO 36009KT 10SM CLR 15/M07 A3067 RMK AO2
5SM,2021-07-11 03:35,-107.3790,39.4260,59.00,8.60,13.24,20.00,9.00,0.00,30.68,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110335Z AUTO 02009G18KT 10SM CLR 15/M13 A3068 RMK AO2
5SM,2021-07-11 03:55,-107.3790,39.4260,55.40,17.60,22.41,20.00,7.00,0.00,30.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110355Z AUTO 02007KT 10SM CLR 13/M08 A3068 RMK AO2
5SM,2021-07-11 04:15,-107.3790,39.4260,55.40,19.40,24.21,40.00,4.00,0.00,30.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110415Z AUTO 04004KT 10SM CLR 13/M07 A3068 RMK AO2
5SM,2021-07-11 04:35,-107.3790,39.4260,55.40,17.60,22.41,30.00,5.00,0.00,30.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110435Z AUTO 03005KT 10SM CLR 13/M08 A3068 RMK AO2
5SM,2021-07-11 04:55,-107.3790,39.4260,55.40,17.60,22.41,50.00,3.00,0.00,30.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110455Z AUTO 05003KT 10SM CLR 13/M08 A3068 RMK AO2
5SM,2021-07-11 05:15,-107.3790,39.4260,55.40,15.80,20.73,60.00,3.00,0.00,30.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110515Z AUTO 06003KT 10SM CLR 13/M09 A3068 RMK AO2
5SM,2021-07-11 05:36,-107.3790,39.4260,53.60,15.80,22.13,70.00,3.00,0.00,30.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110536Z AUTO 07003KT 10SM CLR 12/M09 A3067 RMK AO2
5SM,2021-07-11 05:53,-107.3790,39.4260,55.40,17.60,22.41,90.00,5.00,0.00,30.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110553Z AUTO 09005KT 10SM CLR 13/M08 A3067 RMK AO2
5SM,2021-07-11 06:15,-107.3790,39.4260,53.60,19.40,25.85,80.00,4.00,0.00,30.66,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,K5SM 110615Z AUTO 08004KT 10SM CLR 12/M07 A3066 RMK AO2
