#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ABH,2021-07-11 00:58,-104.3083,38.7578,78.10,44.10,29.91,60.00,7.00,0.00,30.30,1018.40,10.00,15.00,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KABH 110058Z AUTO 06007G15KT 10SM OVC075 26/07 A3030 RMK AO2 SLP184 T02560067
ABH,2021-07-11 01:58,-104.3083,38.7578,75.70,42.10,30.00,70.00,11.00,0.00,30.31,1018.50,10.00,M,BKN,OVC,M,M,7500.00,9000.00,M,M,M,M,M,M,M,M,M,M,KABH 110158Z AUTO 07011KT 10SM BKN075 OVC090 24/06 A3031 RMK AO2 SLP185 T02430056
ABH,2021-07-11 02:58,-104.3083,38.7578,73.20,41.50,31.87,80.00,10.00,0.00,30.33,1019.20,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,M,KABH 110258Z AUTO 08010KT 10SM OVC095 23/05 A3033 RMK AO2 SLP192 T02290053 52009
ABH,2021-07-11 03:58,-104.3083,38.7578,68.20,40.80,36.78,80.00,7.00,0.00,30.35,1020.10,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KABH 110358Z AUTO 08007KT 10SM FEW100 20/05 A3035 RMK AO2 SLP201 T02010049
ABH,2021-07-11 04:58,-104.3083,38.7578,66.60,42.10,40.87,90.00,7.00,0.00,30.36,1020.50,10.00,M,BKN,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KABH 110458Z AUTO 09007KT 10SM BKN080 19/06 A3036 RMK AO2 SLP205 T01920056
ABH,2021-07-11 05:58,-104.3083,38.7578,63.30,45.30,51.82,120.00,4.00,0.00,30.37,1020.80,10.00,M,FEW,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KABH 110558Z AUTO 12004KT 10SM FEW080 17/07 A3037 RMK AO2 SLP208 T01740074 10271 20174 52011
ABH,2021-07-11 06:58,-104.3083,38.7578,65.10,47.50,52.88,110.00,7.00,0.00,30.37,1020.60,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KABH 110658Z AUTO 11007KT 10SM OVC085 18/09 A3037 RMK AO2 SLP206 T01840086 402860156
ABH,2021-07-11 07:58,-104.3083,38.7578,59.90,48.60,66.19,0.00,0.00,0.00,30.36,1020.50,10.00,M,FEW,FEW,M,M,7500.00,9500.00,M,M,M,M,M,M,M,M,M,M,KABH 110758Z AUTO 00000KT 10SM FEW075 FEW095 16/09 A3036 RMK AO2 SLP205 T01550092
ABH,2021-07-11 08:58,-104.3083,38.7578,60.10,48.20,64.74,50.00,3.00,0.00,30.35,1019.90,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KABH 110858Z AUTO 05003KT 10SM OVC080 16/09 A3035 RMK AO2 SLP199 T01560090 58005
ABH,2021-07-11 09:58,-104.3083,38.7578,58.30,50.00,73.84,260.00,5.00,0.00,30.34,1019.50,10.00,M,BKN,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KABH 110958Z AUTO 26005KT 10SM BKN075 15/10 A3034 RMK AO2 SLP195 T01460100
