#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ADU,2021-07-11 00:15,-94.9204,41.6994,66.20,64.40,93.92,360.00,4.00,0.00,29.89,M,10.00,M,BKN,OVC,M,M,1200.00,6000.00,M,M,M,M,M,M,M,M,M,M,KADU 110015Z AUTO 36004KT 10SM BKN012 OVC060 19/18 A2989 RMK AO2
ADU,2021-07-11 00:35,-94.9204,41.6994,66.20,64.40,93.92,10.00,4.00,0.00,29.90,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,KADU 110035Z AUTO 01004KT 10SM OVC012 19/18 A2990 RMK AO2
ADU,2021-07-11 00:55,-94.9204,41.6994,66.20,64.40,93.92,360.00,6.00,0.00,29.90,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,KADU 110055Z AUTO 36006KT 10SM OVC012 19/18 A2990 RMK AO2
ADU,2021-07-11 01:15,-94.9204,41.6994,66.20,62.60,88.18,10.00,8.00,0.00,29.91,M,10.00,M,BKN,OVC,M,M,800.00,1300.00,M,M,M,M,M,M,M,M,M,M,KADU 110115Z AUTO 01008KT 10SM BKN008 OVC013 19/17 A2991 RMK AO2
ADU,2021-07-11 01:35,-94.9204,41.6994,66.20,62.60,88.18,10.00,10.00,0.00,29.91,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,M,KADU 110135Z AUTO 01010KT 10SM OVC006 19/17 A2991 RMK AO2
ADU,2021-07-11 01:55,-94.9204,41.6994,64.40,62.60,93.88,10.00,10.00,0.13,29.91,M,7.00,M,BKN,OVC,M,M,600.00,900.00,M,M,RA,M,M,M,M,M,M,M,KADU 110155Z AUTO 01010KT 7SM RA BKN006 OVC009 18/17 A2991 RMK AO2 P0013
ADU,2021-07-11 02:15,-94.9204,41.6994,64.40,62.60,93.88,10.00,9.00,0.04,29.92,M,7.00,M,OVC,M,M,M,600.00,M,M,M,RA,M,M,M,M,M,M,M,KADU 110215Z AUTO 01009KT 7SM RA OVC006 18/17 A2992 RMK AO2 P0004
ADU,2021-07-11 02:35,-94.9204,41.6994,64.40,62.60,93.88,10.00,7.00,0.04,29.93,M,7.00,M,OVC,M,M,M,800.00,M,M,M,RA,M,M,M,M,M,M,M,KADU 110235Z AUTO 01007KT 7SM RA OVC008 18/17 A2993 RMK AO2 P0004
ADU,2021-07-11 02:55,-94.9204,41.6994,64.40,60.80,88.09,20.00,7.00,0.04,29.94,M,7.00,14.00,OVC,M,M,M,800.00,M,M,M,-DZ,M,M,M,M,M,M,M,KADU 110255Z AUTO 02007G14KT 7SM -DZ OVC008 18/16 A2994 RMK AO2 P0004
ADU,2021-07-11 03:15,-94.9204,41.6994,62.60,60.80,93.83,10.00,8.00,0.00,29.95,M,7.00,M,OVC,M,M,M,800.00,M,M,M,-DZ,M,M,M,M,M,M,M,KADU 110315Z AUTO 01008KT 7SM -DZ OVC008 17/16 A2995 RMK AO2
