#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
AEJ,2021-07-11 00:15,-106.1207,38.8142,82.40,1.20,4.25,330.00,12.00,0.00,30.33,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.81,KAEJ 110015Z AUTO 33012G15KT 10SM CLR 28/M17 A3033 RMK AO2 T02801171
AEJ,2021-07-11 00:35,-106.1207,38.8142,82.40,-0.20,3.98,340.00,12.00,0.00,30.33,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.78,KAEJ 110035Z AUTO 34012KT 10SM CLR 28/M18 A3033 RMK AO2 T02801179
AEJ,2021-07-11 00:55,-106.1207,38.8142,81.50,1.40,4.42,350.00,7.00,0.00,30.34,M,7.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.20,KAEJ 110055Z AUTO 35007G15KT 7SM CLR 28/M17 A3034 RMK AO2 T02751170
AEJ,2021-07-11 01:15,-106.1207,38.8142,76.60,39.60,26.43,150.00,14.00,0.00,30.36,M,7.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110115Z AUTO 15014KT 7SM CLR 25/04 A3036 RMK AO2 T02480042
AEJ,2021-07-11 01:35,-106.1207,38.8142,74.50,41.70,30.75,120.00,14.00,0.00,30.37,M,7.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110135Z AUTO 12014G19KT 7SM CLR 24/05 A3037 RMK AO2 T02360054
AEJ,2021-07-11 01:55,-106.1207,38.8142,72.50,43.50,35.24,100.00,8.00,0.00,30.38,M,7.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110155Z AUTO 10008KT 7SM CLR 23/06 A3038 RMK AO2 T02250064
AEJ,2021-07-11 02:15,-106.1207,38.8142,71.40,44.80,38.44,100.00,5.00,0.00,30.40,M,7.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110215Z AUTO 10005KT 7SM CLR 22/07 A3040 RMK AO2 T02190071
AEJ,2021-07-11 02:35,-106.1207,38.8142,70.00,45.70,41.72,100.00,8.00,0.00,30.40,M,7.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110235Z AUTO 10008KT 7SM CLR 21/08 A3040 RMK AO2 T02110076
AEJ,2021-07-11 02:55,-106.1207,38.8142,68.00,45.90,45.02,100.00,6.00,0.00,30.42,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110255Z AUTO 10006KT 10SM CLR 20/08 A3042 RMK AO2 T02000077
AEJ,2021-07-11 03:15,-106.1207,38.8142,66.70,45.90,47.09,70.00,4.00,0.00,30.43,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110315Z AUTO 07004KT 10SM CLR 19/08 A3043 RMK AO2 T01930077
AEJ,2021-07-11 03:35,-106.1207,38.8142,66.40,45.70,47.22,40.00,5.00,0.00,30.44,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110335Z AUTO 04005KT 10SM CLR 19/08 A3044 RMK AO2 T01910076
AEJ,2021-07-11 03:55,-106.1207,38.8142,65.50,46.40,50.03,140.00,3.00,0.00,30.45,M,10.00,M,SCT,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110355Z AUTO 14003KT 10SM SCT050 19/08 A3045 RMK AO2 T01860080
AEJ,2021-07-11 04:15,-106.1207,38.8142,65.70,46.20,49.31,0.00,0.00,0.00,30.46,M,10.00,M,BKN,BKN,M,M,5000.00,6500.00,M,M,M,M,M,M,M,M,M,M,KAEJ 110415Z AUTO 00000KT 10SM BKN050 BKN065 19/08 A3046 RMK AO2 T01870079
AEJ,2021-07-11 04:35,-106.1207,38.8142,65.50,46.00,49.28,60.00,3.00,0.00,30.46,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110435Z AUTO 06003KT 10SM BKN060 19/08 A3046 RMK AO2 T01860078
AEJ,2021-07-11 04:55,-106.1207,38.8142,65.30,46.00,49.62,40.00,6.00,0.00,30.46,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110455Z AUTO 04006KT 10SM BKN060 19/08 A3046 RMK AO2 T01850078
AEJ,2021-07-11 05:15,-106.1207,38.8142,64.60,45.70,50.27,50.00,7.00,0.00,30.46,M,10.00,M,SCT,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110515Z AUTO 05007KT 10SM SCT060 18/08 A3046 RMK AO2 T01810076
AEJ,2021-07-11 05:35,-106.1207,38.8142,65.50,43.30,44.46,60.00,7.00,0.00,30.47,M,10.00,M,BKN,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110535Z AUTO 06007KT 10SM BKN050 19/06 A3047 RMK AO2 T01860063
AEJ,2021-07-11 05:55,-106.1207,38.8142,65.30,43.30,44.77,120.00,3.00,0.00,30.47,M,10.00,M,BKN,OVC,M,M,4800.00,5000.00,M,M,M,M,M,M,M,M,M,M,KAEJ 110555Z AUTO 12003KT 10SM BKN048 OVC050 19/06 A3047 RMK AO2 T01850063 10287 20181 403020085
AEJ,2021-07-11 06:15,-106.1207,38.8142,64.20,45.50,50.60,0.00,0.00,0.00,30.47,M,10.00,M,SCT,OVC,M,M,5000.00,7000.00,M,M,M,M,M,M,M,M,M,M,KAEJ 110615Z AUTO 00000KT 10SM SCT050 OVC070 18/08 A3047 RMK AO2 T01790075
AEJ,2021-07-11 06:35,-106.1207,38.8142,63.90,43.50,47.38,0.00,0.00,0.00,30.47,M,10.00,M,SCT,BKN,M,M,4600.00,7000.00,M,M,M,M,M,M,M,M,M,M,KAEJ 110635Z AUTO 00000KT 10SM SCT046 BKN070 18/06 A3047 RMK AO2 T01770064
AEJ,2021-07-11 06:55,-106.1207,38.8142,62.60,44.10,50.74,0.00,0.00,0.00,30.46,M,10.00,M,SCT,M,M,M,4600.00,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110655Z AUTO 00000KT 10SM SCT046 17/07 A3046 RMK AO2 T01700067
AEJ,2021-07-11 07:15,-106.1207,38.8142,59.70,45.30,58.86,110.00,3.00,0.00,30.46,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110715Z AUTO 11003KT 10SM CLR 15/07 A3046 RMK AO2 T01540074
AEJ,2021-07-11 07:35,-106.1207,38.8142,58.60,45.90,62.63,0.00,0.00,0.00,30.45,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110735Z AUTO 00000KT 10SM CLR 15/08 A3045 RMK AO2 T01480077
AEJ,2021-07-11 07:55,-106.1207,38.8142,54.70,46.60,74.05,0.00,0.00,0.00,30.46,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110755Z AUTO 00000KT 10SM CLR 13/08 A3046 RMK AO2 T01260081
AEJ,2021-07-11 08:15,-106.1207,38.8142,54.00,46.20,74.82,250.00,3.00,0.00,30.45,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110815Z AUTO 25003KT 10SM CLR 12/08 A3045 RMK AO2 T01220079
AEJ,2021-07-11 08:35,-106.1207,38.8142,53.60,45.70,74.50,230.00,3.00,0.00,30.45,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAEJ 110835Z AUTO 23003KT 10SM CLR 12/08 A3045 RMK AO2 T01200076
