#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
AIO,2021-07-11 00:15,-95.0465,41.4059,68.00,66.20,93.97,350.00,7.00,0.00,29.86,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,M,KAIO 110015Z AUTO 35007KT 10SM OVC013 20/19 A2986 RMK AO2
AIO,2021-07-11 00:35,-95.0465,41.4059,68.00,66.20,93.97,340.00,10.00,0.00,29.86,M,10.00,15.00,BKN,OVC,M,M,1500.00,2000.00,M,M,M,M,M,M,M,M,M,M,KAIO 110035Z AUTO 34010G15KT 10SM BKN015 OVC020 20/19 A2986 RMK AO2
AIO,2021-07-11 00:55,-95.0465,41.4059,68.00,66.20,93.97,330.00,11.00,0.00,29.86,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,M,KAIO 110055Z AUTO 33011KT 10SM OVC016 20/19 A2986 RMK AO2
AIO,2021-07-11 01:15,-95.0465,41.4059,66.20,66.20,100.00,340.00,9.00,0.00,29.86,M,9.00,14.00,OVC,M,M,M,1500.00,M,M,M,-RA,M,M,M,M,M,M,M,KAIO 110115Z AUTO 34009G14KT 9SM -RA OVC015 19/19 A2986 RMK AO2
AIO,2021-07-11 01:35,-95.0465,41.4059,66.20,66.20,100.00,350.00,11.00,0.00,29.86,M,8.00,16.00,OVC,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,M,KAIO 110135Z AUTO 35011G16KT 8SM OVC014 19/19 A2986 RMK AO2
AIO,2021-07-11 01:55,-95.0465,41.4059,66.20,66.20,100.00,20.00,8.00,0.02,29.87,M,4.00,16.00,OVC,M,M,M,1200.00,M,M,M,-RA,M,M,M,M,M,M,M,KAIO 110155Z AUTO 02008G16KT 4SM -RA OVC012 19/19 A2987 RMK AO2 P0002
AIO,2021-07-11 02:15,-95.0465,41.4059,66.20,66.20,100.00,10.00,9.00,0.00,29.88,M,8.00,M,FEW,BKN,OVC,M,800.00,1300.00,2100.00,M,M,M,M,M,M,M,M,M,KAIO 110215Z AUTO 01009KT 8SM FEW008 BKN013 OVC021 19/19 A2988 RMK AO2
AIO,2021-07-11 02:35,-95.0465,41.4059,66.20,66.20,100.00,360.00,9.00,0.00,29.88,M,4.00,M,FEW,SCT,OVC,M,200.00,1200.00,1900.00,M,-RA,M,M,M,M,M,M,M,KAIO 110235Z AUTO 36009KT 4SM -RA FEW002 SCT012 OVC019 19/19 A2988 RMK AO2
AIO,2021-07-11 02:55,-95.0465,41.4059,66.20,66.20,100.00,30.00,10.00,0.07,29.89,M,2.50,M,SCT,BKN,M,M,700.00,1200.00,M,M,-RA,M,M,M,M,M,M,M,KAIO 110255Z AUTO 03010KT 2 1/2SM -RA SCT007 BKN012 19/19 A2989 RMK AO2 P0007 VIS 1 1/4V5
AIO,2021-07-11 03:15,-95.0465,41.4059,66.20,66.20,100.00,20.00,12.00,0.00,29.90,M,4.00,M,BKN,BKN,M,M,800.00,1100.00,M,M,-RA,M,M,M,M,M,M,M,KAIO 110315Z AUTO 02012KT 4SM -RA BKN008 BKN011 19/19 A2990 RMK AO2
AIO,2021-07-11 03:35,-95.0465,41.4059,66.20,66.20,100.00,30.00,10.00,0.00,29.91,M,6.00,M,OVC,M,M,M,700.00,M,M,M,BR,M,M,M,M,M,M,M,KAIO 110335Z AUTO 03010KT 6SM BR OVC007 19/19 A2991 RMK AO2
AIO,2021-07-11 03:55,-95.0465,41.4059,66.20,66.20,100.00,40.00,12.00,0.01,29.92,M,5.00,18.00,OVC,M,M,M,700.00,M,M,M,BR,M,M,M,M,M,M,M,KAIO 110355Z AUTO 04012G18KT 5SM BR OVC007 19/19 A2992 RMK AO2 P0001
AIO,2021-07-11 04:15,-95.0465,41.4059,66.20,66.20,100.00,40.00,10.00,0.00,29.92,M,5.00,15.00,OVC,M,M,M,800.00,M,M,M,BR,M,M,M,M,M,M,M,KAIO 110415Z AUTO 04010G15KT 5SM BR OVC008 19/19 A2992 RMK AO2
AIO,2021-07-11 04:35,-95.0465,41.4059,66.20,66.20,100.00,40.00,8.00,0.00,29.93,M,6.00,14.00,OVC,M,M,M,900.00,M,M,M,BR,M,M,M,M,M,M,M,KAIO 110435Z AUTO 04008G14KT 6SM BR OVC009 19/19 A2993 RMK AO2
AIO,2021-07-11 04:55,-95.0465,41.4059,66.20,66.20,100.00,40.00,8.00,0.00,29.93,M,6.00,15.00,OVC,M,M,M,900.00,M,M,M,BR,M,M,M,M,M,M,M,KAIO 110455Z AUTO 04008G15KT 6SM BR OVC009 19/19 A2993 RMK AO2
AIO,2021-07-11 05:15,-95.0465,41.4059,66.20,66.20,100.00,50.00,8.00,0.00,29.93,M,4.00,M,OVC,M,M,M,1100.00,M,M,M,-RA,M,M,M,M,M,M,M,KAIO 110515Z AUTO 05008KT 4SM -RA OVC011 19/19 A2993 RMK AO2
AIO,2021-07-11 05:35,-95.0465,41.4059,64.40,64.40,100.00,40.00,11.00,0.00,29.94,M,8.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,M,M,M,M,M,M,M,KAIO 110535Z AUTO 04011KT 8SM -RA OVC012 18/18 A2994 RMK AO2
AIO,2021-07-11 05:55,-95.0465,41.4059,64.40,64.40,100.00,30.00,11.00,0.00,29.94,M,7.00,M,SCT,BKN,OVC,M,800.00,1300.00,1800.00,M,M,M,M,M,M,M,M,M,KAIO 110555Z AUTO 03011KT 7SM SCT008 BKN013 OVC018 18/18 A2994 RMK AO2
