#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
AJZ,2021-07-11 00:15,-108.0636,38.7864,101.50,13.80,4.14,350.00,9.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,93.56,KAJZ 110015Z AUTO 35009KT 10SM CLR 39/M10 A3010 RMK AO2 T03861101
AJZ,2021-07-11 00:35,-108.0636,38.7864,100.60,14.90,4.47,350.00,9.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,92.88,KAJZ 110035Z AUTO 35009KT 10SM CLR 38/M09 A3010 RMK AO2 T03811095
AJZ,2021-07-11 00:55,-108.0636,38.7864,99.00,17.60,5.27,20.00,14.00,0.00,30.10,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,91.71,KAJZ 110055Z AUTO 02014G17KT 10SM CLR 37/M08 A3010 RMK AO2 T03721080
AJZ,2021-07-11 01:15,-108.0636,38.7864,98.10,17.60,5.42,10.00,12.00,0.00,30.10,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,90.96,KAJZ 110115Z AUTO 01012G16KT 10SM CLR 37/M08 A3010 RMK AO2 T03671080
AJZ,2021-07-11 01:35,-108.0636,38.7864,96.80,18.90,5.96,360.00,12.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.96,KAJZ 110135Z AUTO 36012KT 10SM CLR 36/M07 A3010 RMK AO2 T03601073
AJZ,2021-07-11 01:55,-108.0636,38.7864,95.90,18.70,6.07,350.00,12.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.20,KAJZ 110155Z AUTO 35012KT 10SM CLR 36/M07 A3010 RMK AO2 T03551074
AJZ,2021-07-11 02:15,-108.0636,38.7864,94.30,19.00,6.46,350.00,10.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.96,KAJZ 110215Z AUTO 35010KT 10SM CLR 35/M07 A3010 RMK AO2 T03461072
AJZ,2021-07-11 02:35,-108.0636,38.7864,92.10,20.80,7.47,350.00,8.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.46,KAJZ 110235Z AUTO 35008KT 10SM CLR 33/M06 A3010 RMK AO2 T03341062
AJZ,2021-07-11 02:55,-108.0636,38.7864,87.40,21.90,9.08,60.00,5.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,83.08,KAJZ 110255Z AUTO 06005KT 10SM CLR 31/M06 A3011 RMK AO2 T03081056
AJZ,2021-07-11 03:15,-108.0636,38.7864,87.10,23.50,9.80,40.00,6.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.96,KAJZ 110315Z AUTO 04006KT 10SM CLR 31/M05 A3012 RMK AO2 T03061047
