#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
AKO,2021-07-11 00:00,-103.2220,40.1756,M,M,M,20.00,14.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAKO 110000Z AUTO 02014KT 10SM CLR 27/06 A3020 RMK T02700060 MADISHF
AKO,2021-07-11 00:05,-103.2220,40.1756,M,M,M,10.00,14.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAKO 110005Z AUTO 01014KT 10SM CLR 27/06 A3020 RMK T02700060 MADISHF
AKO,2021-07-11 00:10,-103.2220,40.1756,M,M,M,10.00,17.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAKO 110010Z AUTO 01017KT 10SM CLR 27/06 A3020 RMK T02700060 MADISHF
AKO,2021-07-11 00:15,-103.2220,40.1756,M,M,M,30.00,11.00,M,30.20,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAKO 110015Z AUTO 03011G17KT 10SM CLR 27/07 A3020 RMK T02700070 MADISHF
AKO,2021-07-11 00:20,-103.2220,40.1756,M,M,M,30.00,14.00,M,30.20,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAKO 110020Z AUTO 03014G19KT 10SM CLR 27/07 A3020 RMK T02700070 MADISHF
AKO,2021-07-11 00:40,-103.2220,40.1756,M,M,M,30.00,11.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAKO 110040Z AUTO 03011KT 10SM CLR 26/07 A3020 RMK T02600070 MADISHF
AKO,2021-07-11 00:45,-103.2220,40.1756,M,M,M,30.00,11.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAKO 110045Z AUTO 03011KT 10SM CLR 26/07 A3020 RMK T02600070 MADISHF
AKO,2021-07-11 00:50,-103.2220,40.1756,M,M,M,40.00,11.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAKO 110050Z AUTO 04011KT 10SM CLR 26/07 A3020 RMK T02600070 MADISHF
AKO,2021-07-11 00:53,-103.2220,40.1756,78.10,45.00,30.95,40.00,10.00,0.00,30.21,1017.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAKO 110053Z AUTO 04010KT 10SM CLR 26/07 A3021 RMK AO2 SLP177 T02560072 $
AKO,2021-07-11 00:55,-103.2220,40.1756,M,M,M,40.00,13.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAKO 110055Z AUTO 04013KT 10SM CLR 26/07 A3020 RMK T02600070 MADISHF
AKO,2021-07-11 01:00,-103.2220,40.1756,M,M,M,20.00,11.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAKO 110100Z AUTO 02011KT 10SM CLR 26/07 A3020 RMK T02600070 MADISHF
AKO,2021-07-11 01:10,-103.2220,40.1756,M,M,M,40.00,9.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAKO 110110Z AUTO 04009KT 10SM CLR 25/07 A3020 RMK T02500070 MADISHF
AKO,2021-07-11 01:15,-103.2220,40.1756,M,M,M,40.00,11.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAKO 110115Z AUTO 04011KT 10SM CLR 25/07 A3020 RMK T02500070 MADISHF
