#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ALS,2021-07-11 00:00,-105.8614,37.4389,M,M,M,350.00,11.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110000Z AUTO 35011KT 10SM CLR 33/M09 A3023 RMK T03301090 MADISHF
ALS,2021-07-11 00:05,-105.8614,37.4389,M,M,M,360.00,10.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110005Z AUTO 36010KT 10SM CLR 33/M10 A3023 RMK T03301100 MADISHF
ALS,2021-07-11 00:10,-105.8614,37.4389,M,M,M,360.00,8.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110010Z AUTO 36008KT 10SM CLR 33/M08 A3023 RMK T03301080 MADISHF
ALS,2021-07-11 00:15,-105.8614,37.4389,M,M,M,90.00,8.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110015Z AUTO 09008KT 10SM CLR 31/02 A3025 RMK T03100020 MADISHF
ALS,2021-07-11 00:20,-105.8614,37.4389,M,M,M,90.00,9.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110020Z AUTO 09009KT 10SM CLR A3025 RMK T0290 MADISHF
ALS,2021-07-11 00:25,-105.8614,37.4389,M,M,M,110.00,11.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110025Z AUTO 11011KT 10SM CLR A3023 RMK T0280 MADISHF
ALS,2021-07-11 00:30,-105.8614,37.4389,M,M,M,110.00,13.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110030Z AUTO 11013KT 10SM CLR A3023 RMK T0280 MADISHF
ALS,2021-07-11 00:35,-105.8614,37.4389,M,M,M,M,16.00,M,30.23,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110035Z AUTO ///16G22KT 10SM CLR A3022 RMK T0270 MADISHF
ALS,2021-07-11 00:45,-105.8614,37.4389,M,M,M,110.00,17.00,M,30.23,M,10.00,23.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110045Z AUTO 11017G23KT 10SM CLR A3022 RMK T0260 MADISHF
ALS,2021-07-11 00:50,-105.8614,37.4389,M,M,M,100.00,15.00,M,30.23,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110050Z AUTO 10015G22KT 10SM CLR A3022 RMK T0260 MADISHF
ALS,2021-07-11 00:52,-105.8614,37.4389,79.00,53.10,40.67,100.00,18.00,0.00,30.24,1014.40,10.00,26.00,CLR,M,M,M,M,M,M,M,M,M,M,M,27.00,110.00,2021-07-11 00:41,M,KALS 110052Z AUTO 10018G26KT 10SM CLR 26/12 A3024 RMK AO2 PK WND 11027/0041 SLP144 T02610117
ALS,2021-07-11 00:55,-105.8614,37.4389,M,M,M,110.00,21.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110055Z AUTO 11021KT 10SM CLR A3023 RMK T0260 MADISHF
ALS,2021-07-11 01:00,-105.8614,37.4389,M,M,M,100.00,15.00,M,30.24,M,10.00,21.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110100Z AUTO 10015G21KT 10SM CLR A3023 RMK T0260 MADISHF
ALS,2021-07-11 01:05,-105.8614,37.4389,M,M,M,100.00,14.00,M,30.25,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110105Z AUTO 10014G22KT 10SM CLR A3025 RMK T0250 MADISHF
ALS,2021-07-11 01:10,-105.8614,37.4389,M,M,M,100.00,16.00,M,30.25,M,10.00,21.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110110Z AUTO 10016G21KT 10SM CLR A3025 RMK T0250 MADISHF
ALS,2021-07-11 01:15,-105.8614,37.4389,M,M,M,100.00,18.00,M,30.25,M,10.00,26.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110115Z AUTO 10018G26KT 10SM CLR 24/12 A3025 RMK T02400120 MADISHF
ALS,2021-07-11 01:20,-105.8614,37.4389,M,M,M,100.00,15.00,M,30.25,M,10.00,21.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110120Z AUTO 10015G21KT 10SM CLR 24/12 A3025 RMK T02400120 MADISHF
ALS,2021-07-11 01:25,-105.8614,37.4389,M,M,M,100.00,19.00,M,30.25,M,10.00,24.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110125Z AUTO 10019G24KT 10SM CLR 24/12 A3025 RMK T02400120 MADISHF
ALS,2021-07-11 01:30,-105.8614,37.4389,M,M,M,100.00,16.00,M,30.25,M,10.00,21.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110130Z AUTO 10016G21KT 10SM CLR 24/12 A3025 RMK T02400120 MADISHF
ALS,2021-07-11 01:35,-105.8614,37.4389,M,M,M,100.00,17.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110135Z AUTO 10017KT 10SM CLR 23/12 A3026 RMK T02300120 MADISHF
ALS,2021-07-11 01:40,-105.8614,37.4389,M,M,M,100.00,16.00,M,30.26,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110140Z AUTO 10016G22KT 10SM CLR 23/12 A3026 RMK T02300120 MADISHF
ALS,2021-07-11 01:52,-105.8614,37.4389,73.00,53.10,49.66,100.00,16.00,0.00,30.27,1014.90,10.00,26.00,CLR,M,M,M,M,M,M,M,M,M,M,M,28.00,120.00,2021-07-11 00:54,M,KALS 110152Z AUTO 10016G26KT 10SM CLR 23/12 A3027 RMK AO2 PK WND 12028/0054 SLP149 T02280117
ALS,2021-07-11 01:55,-105.8614,37.4389,M,M,M,100.00,17.00,M,30.27,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110155Z AUTO 10017G22KT 10SM CLR 22/12 A3027 RMK T02200120 MADISHF
ALS,2021-07-11 02:00,-105.8614,37.4389,M,M,M,100.00,18.00,M,30.27,M,10.00,23.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110200Z AUTO 10018G23KT 10SM CLR 22/11 A3027 RMK T02200110 MADISHF
ALS,2021-07-11 02:05,-105.8614,37.4389,M,M,M,90.00,16.00,M,30.27,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110205Z AUTO 09016G22KT 10SM CLR 22/11 A3027 RMK T02200110 MADISHF
ALS,2021-07-11 02:25,-105.8614,37.4389,M,M,M,100.00,17.00,M,30.28,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110225Z AUTO 10017G22KT 10SM CLR 21/11 A3028 RMK T02100110 MADISHF
ALS,2021-07-11 02:30,-105.8614,37.4389,M,M,M,100.00,20.00,M,30.28,M,10.00,24.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110230Z AUTO 10020G24KT 10SM CLR 21/11 A3028 RMK T02100110 MADISHF
ALS,2021-07-11 02:35,-105.8614,37.4389,M,M,M,100.00,18.00,M,30.29,M,10.00,26.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110235Z AUTO 10018G26KT 10SM CLR 21/11 A3029 RMK T02100110 MADISHF
ALS,2021-07-11 02:50,-105.8614,37.4389,M,M,M,100.00,20.00,M,30.31,M,10.00,30.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110250Z AUTO 10020G30KT 10SM CLR 21/11 A3030 RMK T02100110 MADISHF
ALS,2021-07-11 02:52,-105.8614,37.4389,69.10,52.00,54.45,100.00,23.00,0.00,30.31,1015.60,10.00,31.00,CLR,M,M,M,M,M,M,M,M,M,M,M,31.00,110.00,2021-07-11 02:51,M,KALS 110252Z AUTO 10023G31KT 10SM CLR 21/11 A3031 RMK AO2 PK WND 11031/0251 SLP156 T02060111 53020
ALS,2021-07-11 02:55,-105.8614,37.4389,M,M,M,100.00,18.00,M,30.31,M,10.00,26.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110255Z AUTO 10018G26KT 10SM CLR 21/11 A3030 RMK T02100110 MADISHF
ALS,2021-07-11 03:00,-105.8614,37.4389,M,M,M,110.00,18.00,M,30.31,M,10.00,26.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110300Z AUTO 11018G26KT 10SM CLR 21/11 A3030 RMK T02100110 MADISHF
ALS,2021-07-11 03:05,-105.8614,37.4389,M,M,M,110.00,21.00,M,30.31,M,10.00,27.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110305Z AUTO 11021G27KT 10SM CLR 21/11 A3030 RMK T02100110 MADISHF
ALS,2021-07-11 03:10,-105.8614,37.4389,M,M,M,110.00,17.00,M,30.32,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KALS 110310Z AUTO 11017G22KT 10SM CLR 21/11 A3031 RMK T02100110 MADISHF
