#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
APA,2021-07-11 00:00,-104.8500,39.5700,M,M,M,60.00,5.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110000Z AUTO 06005KT 10SM CLR 26/08 A3027 RMK T02600080 MADISHF
APA,2021-07-11 00:05,-104.8500,39.5700,M,M,M,50.00,5.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110005Z AUTO 05005KT 10SM CLR 26/08 A3027 RMK T02600080 MADISHF
APA,2021-07-11 00:10,-104.8500,39.5700,M,M,M,40.00,9.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110010Z AUTO 04009KT 10SM CLR 26/08 A3027 RMK T02600080 MADISHF
APA,2021-07-11 00:15,-104.8500,39.5700,M,M,M,30.00,7.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110015Z AUTO 03007KT 10SM CLR 26/08 A3027 RMK T02600080 MADISHF
APA,2021-07-11 00:20,-104.8500,39.5700,M,M,M,40.00,7.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110020Z AUTO 04007KT 10SM CLR 26/08 A3028 RMK T02600080 MADISHF
APA,2021-07-11 00:25,-104.8500,39.5700,M,M,M,70.00,5.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110025Z AUTO 07005KT 10SM CLR 26/08 A3027 RMK T02600080 VRB05KT  MADISHF
APA,2021-07-11 00:30,-104.8500,39.5700,M,M,M,50.00,5.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110030Z AUTO 05005KT 10SM CLR 26/08 A3027 RMK T02600080 MADISHF
APA,2021-07-11 00:35,-104.8500,39.5700,M,M,M,40.00,5.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110035Z AUTO 04005KT 10SM CLR 26/08 A3027 RMK T02600080 MADISHF
APA,2021-07-11 00:40,-104.8500,39.5700,M,M,M,40.00,7.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110040Z AUTO 04007KT 10SM CLR 26/07 A3027 RMK T02600070 MADISHF
APA,2021-07-11 00:45,-104.8500,39.5700,M,M,M,30.00,9.00,M,30.27,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KAPA 110045Z AUTO 03009KT 10SM FEW120 26/07 A3027 RMK T02600070 MADISHF
APA,2021-07-11 00:50,-104.8500,39.5700,M,M,M,50.00,8.00,M,30.27,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KAPA 110050Z AUTO 05008KT 10SM FEW120 26/07 A3027 RMK T02600070 MADISHF
APA,2021-07-11 00:53,-104.8500,39.5700,78.10,44.10,29.91,60.00,8.00,0.00,30.27,1018.10,10.00,M,FEW,FEW,M,M,12000.00,22000.00,M,M,M,M,M,M,M,M,M,M,KAPA 110053Z 06008KT 10SM FEW120 FEW220 26/07 A3027 RMK AO2 SLP181 T02560067
APA,2021-07-11 00:55,-104.8500,39.5700,M,M,M,60.00,7.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110055Z AUTO 06007KT 10SM CLR 25/07 A3027 RMK T02500070 MADISHF
APA,2021-07-11 01:00,-104.8500,39.5700,M,M,M,70.00,5.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110100Z AUTO 07005KT 10SM CLR 26/07 A3027 RMK T02600070 MADISHF
APA,2021-07-11 01:05,-104.8500,39.5700,M,M,M,80.00,8.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110105Z AUTO 08008KT 10SM CLR 25/06 A3027 RMK T02500060 MADISHF
APA,2021-07-11 01:10,-104.8500,39.5700,M,M,M,50.00,7.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110110Z AUTO 05007KT 10SM CLR 25/07 A3028 RMK T02500070 MADISHF
APA,2021-07-11 01:15,-104.8500,39.5700,M,M,M,60.00,7.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110115Z AUTO 06007KT 10SM CLR 25/07 A3028 RMK T02500070 MADISHF
APA,2021-07-11 01:20,-104.8500,39.5700,M,M,M,70.00,7.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110120Z AUTO 07007KT 10SM CLR 25/07 A3028 RMK T02500070 MADISHF
APA,2021-07-11 01:25,-104.8500,39.5700,M,M,M,60.00,7.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110125Z AUTO 06007KT 10SM CLR 25/06 A3028 RMK T02500060 MADISHF
APA,2021-07-11 01:30,-104.8500,39.5700,M,M,M,60.00,7.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110130Z AUTO 06007KT 10SM CLR 24/06 A3028 RMK T02400060 MADISHF
APA,2021-07-11 01:35,-104.8500,39.5700,M,M,M,60.00,8.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KAPA 110135Z AUTO 06008KT 10SM CLR 24/07 A3028 RMK T02400070 MADISHF
