#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ASE,2021-07-11 00:00,-106.8689,39.2232,M,M,M,340.00,8.00,M,30.33,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KASE 110000Z AUTO 34008KT 10SM CLR 29/M04 A3032 RMK T02901040 MADISHF
ASE,2021-07-11 00:05,-106.8689,39.2232,M,M,M,330.00,8.00,M,30.34,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KASE 110005Z AUTO 33008KT 10SM CLR 29/M04 A3034 RMK T02901040 MADISHF
ASE,2021-07-11 00:10,-106.8689,39.2232,M,M,M,330.00,8.00,M,30.33,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KASE 110010Z AUTO 33008KT 10SM CLR 29/M04 A3032 RMK T02901040 MADISHF
ASE,2021-07-11 00:15,-106.8689,39.2232,M,M,M,330.00,9.00,M,30.34,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KASE 110015Z AUTO 33009G14KT 10SM CLR 29/M04 A3034 RMK T02901040 MADISHF
ASE,2021-07-11 00:20,-106.8689,39.2232,M,M,M,320.00,10.00,M,30.34,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KASE 110020Z AUTO 32010KT 10SM CLR 29/M05 A3034 RMK T02901050 WND 30V36  MADISHF
ASE,2021-07-11 00:25,-106.8689,39.2232,M,M,M,340.00,7.00,M,30.34,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KASE 110025Z AUTO 34007KT 10SM CLR 29/M04 A3034 RMK T02901040 MADISHF
ASE,2021-07-11 00:30,-106.8689,39.2232,M,M,M,330.00,11.00,M,30.34,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KASE 110030Z AUTO 33011G18KT 10SM CLR 28/M04 A3034 RMK T02801040 MADISHF
ASE,2021-07-11 00:35,-106.8689,39.2232,M,M,M,320.00,9.00,M,30.34,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KASE 110035Z AUTO 32009KT 10SM CLR 28/M05 A3034 RMK T02801050 MADISHF
ASE,2021-07-11 00:40,-106.8689,39.2232,M,M,M,330.00,9.00,M,30.34,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KASE 110040Z AUTO 33009KT 10SM CLR 28/M04 A3034 RMK T02801040 MADISHF
ASE,2021-07-11 00:45,-106.8689,39.2232,M,M,M,340.00,8.00,M,30.33,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KASE 110045Z AUTO 34008KT 10SM CLR 28/M04 A3032 RMK T02801040 MADISHF
