#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BDU,2021-07-11 00:15,-105.2258,40.0394,80.60,44.60,28.08,80.00,3.00,0.00,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.42,KBDU 110015Z AUTO 08003KT 10SM CLR 27/07 A3024 RMK AO2
BDU,2021-07-11 00:35,-105.2258,40.0394,80.60,46.40,30.07,40.00,4.00,0.00,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.56,KBDU 110035Z AUTO 04004KT 10SM CLR 27/08 A3024 RMK AO2
BDU,2021-07-11 00:55,-105.2258,40.0394,80.60,46.40,30.07,60.00,5.00,0.00,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.56,KBDU 110055Z AUTO 06005KT 10SM CLR 27/08 A3024 RMK AO2
BDU,2021-07-11 01:15,-105.2258,40.0394,78.80,46.40,31.90,40.00,5.00,0.00,30.24,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110115Z AUTO 04005KT 10SM BKN090 26/08 A3024 RMK AO2
BDU,2021-07-11 01:35,-105.2258,40.0394,78.80,44.60,29.79,60.00,4.00,0.00,30.25,M,10.00,M,SCT,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110135Z AUTO 06004KT 10SM SCT090 26/07 A3025 RMK AO2
BDU,2021-07-11 01:55,-105.2258,40.0394,77.00,44.60,31.62,20.00,4.00,0.00,30.25,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110155Z AUTO 02004KT 10SM BKN090 25/07 A3025 RMK AO2
BDU,2021-07-11 02:15,-105.2258,40.0394,77.00,44.60,31.62,30.00,3.00,0.00,30.25,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110215Z AUTO 03003KT 10SM OVC090 25/07 A3025 RMK AO2
BDU,2021-07-11 02:35,-105.2258,40.0394,75.20,42.80,31.34,0.00,0.00,0.00,30.26,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110235Z AUTO 00000KT 10SM OVC090 24/06 A3026 RMK AO2
BDU,2021-07-11 02:55,-105.2258,40.0394,73.40,44.60,35.66,300.00,3.00,0.00,30.27,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110255Z AUTO 30003KT 10SM OVC090 23/07 A3027 RMK AO2
BDU,2021-07-11 03:15,-105.2258,40.0394,73.40,44.60,35.66,300.00,3.00,0.00,30.27,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110315Z AUTO 30003KT 10SM OVC080 23/07 A3027 RMK AO2
BDU,2021-07-11 03:35,-105.2258,40.0394,73.40,44.60,35.66,0.00,0.00,0.00,30.29,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110335Z AUTO 00000KT 10SM OVC080 23/07 A3029 RMK AO2
BDU,2021-07-11 03:55,-105.2258,40.0394,73.40,42.80,33.29,360.00,4.00,0.00,30.30,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110355Z AUTO 36004KT 10SM OVC080 23/06 A3030 RMK AO2
BDU,2021-07-11 04:15,-105.2258,40.0394,73.40,44.60,35.66,360.00,3.00,0.00,30.30,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110415Z AUTO 36003KT 10SM OVC090 23/07 A3030 RMK AO2
BDU,2021-07-11 04:35,-105.2258,40.0394,71.60,44.60,37.89,10.00,4.00,0.00,30.30,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110435Z AUTO 01004KT 10SM BKN090 22/07 A3030 RMK AO2
BDU,2021-07-11 04:55,-105.2258,40.0394,71.60,42.80,35.37,20.00,3.00,0.00,30.30,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110455Z AUTO 02003KT 10SM BKN090 22/06 A3030 RMK AO2
BDU,2021-07-11 05:15,-105.2258,40.0394,69.80,44.60,40.29,360.00,3.00,0.00,30.31,M,10.00,M,BKN,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110515Z AUTO 36003KT 10SM BKN080 21/07 A3031 RMK AO2
BDU,2021-07-11 05:35,-105.2258,40.0394,69.80,44.60,40.29,0.00,0.00,0.00,30.30,M,10.00,M,BKN,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110535Z AUTO 00000KT 10SM BKN080 21/07 A3030 RMK AO2
BDU,2021-07-11 05:55,-105.2258,40.0394,69.80,44.60,40.29,0.00,0.00,0.00,30.30,M,10.00,M,SCT,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KBDU 110555Z AUTO 00000KT 10SM SCT080 21/07 A3030 RMK AO2
