#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BID,2021-07-11 00:00,-71.5800,41.1700,M,M,M,70.00,5.00,M,30.03,M,10.00,M,FEW,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,M,KBID 110000Z AUTO 07005KT 10SM FEW027 19/17 A3003 RMK T01900170 MADISHF
BID,2021-07-11 00:05,-71.5800,41.1700,M,M,M,70.00,5.00,M,30.03,M,10.00,M,FEW,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,M,KBID 110005Z AUTO 07005KT 10SM FEW027 19/17 A3003 RMK T01900170 MADISHF
BID,2021-07-11 00:10,-71.5800,41.1700,M,M,M,70.00,5.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110010Z AUTO 07005KT 10SM CLR 19/17 A3003 RMK T01900170 MADISHF
BID,2021-07-11 00:15,-71.5800,41.1700,M,M,M,70.00,5.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110015Z AUTO 07005KT 10SM CLR 19/17 A3003 RMK T01900170 MADISHF
BID,2021-07-11 00:25,-71.5800,41.1700,M,M,M,80.00,4.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110025Z AUTO 08004KT 10SM CLR 19/17 A3004 RMK T01900170 MADISHF
BID,2021-07-11 00:35,-71.5800,41.1700,M,M,M,80.00,4.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110035Z AUTO 08004KT 10SM CLR 18/17 A3004 RMK T01800170 MADISHF
BID,2021-07-11 00:40,-71.5800,41.1700,M,M,M,80.00,4.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110040Z AUTO 08004KT 10SM CLR 18/17 A3004 RMK T01800170 MADISHF
BID,2021-07-11 00:45,-71.5800,41.1700,M,M,M,80.00,5.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110045Z AUTO 08005KT 10SM CLR 18/17 A3004 RMK T01800170 MADISHF
BID,2021-07-11 00:50,-71.5800,41.1700,M,M,M,60.00,5.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110050Z AUTO 06005KT 10SM CLR 18/17 A3004 RMK T01800170 MADISHF
BID,2021-07-11 00:55,-71.5800,41.1700,M,M,M,60.00,4.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110055Z AUTO 06004KT 10SM CLR 18/17 A3004 RMK T01800170 MADISHF
BID,2021-07-11 00:56,-71.5800,41.1700,64.90,62.10,90.64,60.00,3.00,0.00,30.05,1017.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110056Z AUTO 06003KT 10SM CLR 18/17 A3005 RMK AO2 SLP175 T01830167
BID,2021-07-11 01:00,-71.5800,41.1700,M,M,M,50.00,4.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110100Z AUTO 05004KT 10SM CLR 18/17 A3004 RMK T01800170 MADISHF
BID,2021-07-11 01:05,-71.5800,41.1700,M,M,M,50.00,2.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110105Z AUTO 05002KT 10SM CLR 18/17 A3004 RMK T01800170 MADISHF
BID,2021-07-11 01:10,-71.5800,41.1700,M,M,M,50.00,2.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110110Z AUTO 05002KT 10SM CLR 18/17 A3005 RMK T01800170 MADISHF
BID,2021-07-11 01:15,-71.5800,41.1700,M,M,M,0.00,0.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110115Z AUTO 00000KT 10SM CLR 18/17 A3005 RMK T01800170 MADISHF
BID,2021-07-11 01:20,-71.5800,41.1700,M,M,M,0.00,0.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110120Z AUTO 00000KT 10SM CLR 18/17 A3005 RMK T01800170 MADISHF
BID,2021-07-11 01:25,-71.5800,41.1700,M,M,M,20.00,2.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110125Z AUTO 02002KT 10SM CLR 18/17 A3005 RMK T01800170 MADISHF
BID,2021-07-11 01:30,-71.5800,41.1700,M,M,M,10.00,2.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110130Z AUTO 01002KT 10SM CLR 18/17 A3005 RMK T01800170 MADISHF
BID,2021-07-11 01:35,-71.5800,41.1700,M,M,M,10.00,2.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110135Z AUTO 01002KT 10SM CLR 18/17 A3005 RMK T01800170 MADISHF
BID,2021-07-11 01:40,-71.5800,41.1700,M,M,M,10.00,2.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110140Z AUTO 01002KT 10SM CLR 18/17 A3005 RMK T01800170 MADISHF
BID,2021-07-11 01:45,-71.5800,41.1700,M,M,M,10.00,2.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110145Z AUTO 01002KT 10SM CLR 18/17 A3005 RMK T01800170 MADISHF
BID,2021-07-11 01:50,-71.5800,41.1700,M,M,M,20.00,2.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110150Z AUTO 02002KT 10SM CLR 18/17 A3005 RMK T01800170 MADISHF
BID,2021-07-11 01:55,-71.5800,41.1700,M,M,M,0.00,0.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBID 110155Z AUTO 00000KT 10SM CLR 17/17 A3005 RMK T01700170 MADISHF
