#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BJC,2021-07-11 00:50,-105.1172,39.9088,80.60,42.80,26.22,50.00,5.00,0.00,30.27,M,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,79.30,KBJC 110050Z 05005KT 10SM FEW100 27/06 A3027
BJC,2021-07-11 01:45,-105.1172,39.9088,78.80,41.00,25.95,40.00,7.00,0.00,30.28,M,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KBJC 110145Z 04007KT 10SM FEW100 26/05 A3028
BJC,2021-07-11 02:45,-105.1172,39.9088,77.00,39.20,25.67,70.00,4.00,0.00,30.30,M,10.00,M,BKN,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KBJC 110245Z 07004KT 10SM BKN080 25/04 A3030
BJC,2021-07-11 03:45,-105.1172,39.9088,73.40,39.20,28.96,70.00,4.00,0.00,30.32,M,10.00,M,BKN,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KBJC 110345Z 07004KT 10SM BKN080 23/04 A3032
BJC,2021-07-11 05:15,-105.1172,39.9088,71.60,39.20,30.77,120.00,3.00,0.00,30.34,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KBJC 110515Z AUTO 12003KT 10SM BKN090 22/04 A3034 RMK AO2
BJC,2021-07-11 05:35,-105.1172,39.9088,71.60,39.20,30.77,0.00,0.00,0.00,30.34,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KBJC 110535Z AUTO 00000KT 10SM BKN090 22/04 A3034 RMK AO2
BJC,2021-07-11 05:55,-105.1172,39.9088,71.60,39.20,30.77,0.00,0.00,0.00,30.33,M,10.00,M,SCT,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KBJC 110555Z AUTO 00000KT 10SM SCT080 22/04 A3033 RMK AO2
BJC,2021-07-11 06:15,-105.1172,39.9088,71.60,39.20,30.77,100.00,3.00,0.00,30.33,M,10.00,M,SCT,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KBJC 110615Z AUTO 10003KT 10SM SCT080 22/04 A3033 RMK AO2
BJC,2021-07-11 06:35,-105.1172,39.9088,69.80,39.20,32.72,0.00,0.00,0.00,30.33,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBJC 110635Z AUTO 00000KT 10SM CLR 21/04 A3033 RMK AO2
BJC,2021-07-11 06:55,-105.1172,39.9088,69.80,41.00,35.09,40.00,3.00,0.00,30.33,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBJC 110655Z AUTO 04003KT 10SM CLR 21/05 A3033 RMK AO2
