#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BKF,2021-07-11 00:58,-104.7517,39.7017,78.40,46.00,31.84,50.00,12.00,0.00,30.27,1017.60,10.00,M,FEW,SCT,M,M,13000.00,22000.00,M,M,M,M,M,M,M,M,M,M,KBKF 110058Z 05012KT 10SM FEW130 SCT220 26/08 A3027 RMK AO2A SLP176 T02580078
BKF,2021-07-11 01:58,-104.7517,39.7017,72.30,45.30,38.00,70.00,7.00,0.00,30.28,1018.50,10.00,M,FEW,SCT,M,M,15000.00,22000.00,M,M,M,M,M,M,M,M,M,M,KBKF 110158Z 07007KT 10SM FEW150 SCT220 22/07 A3028 RMK AO2A SLP185 T02240074
BKF,2021-07-11 02:58,-104.7517,39.7017,68.70,44.10,41.04,70.00,8.00,0.00,30.29,1018.80,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KBKF 110258Z 07008KT 10SM SCT120 20/07 A3029 RMK AO2A SLP188 T02040067 52008
BKF,2021-07-11 03:58,-104.7517,39.7017,66.90,45.50,46.06,130.00,6.00,0.00,30.32,1019.60,10.00,M,SCT,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KBKF 110358Z 13006KT 10SM SCT085 19/08 A3032 RMK AO2A SLP196 T01940075
BKF,2021-07-11 04:58,-104.7517,39.7017,66.40,45.50,46.86,130.00,6.00,0.00,30.32,1019.30,10.00,M,BKN,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KBKF 110458Z 13006KT 10SM BKN085 19/08 A3032 RMK AO2A SLP193 T01910075
BKF,2021-07-11 05:58,-104.7517,39.7017,61.30,46.00,57.11,140.00,7.00,0.00,30.32,1019.90,10.00,M,SCT,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KBKF 110558Z 14007KT 10SM SCT085 16/08 A3032 RMK AO2A SLP199 T01630078 10274 20163 50008
BKF,2021-07-11 06:58,-104.7517,39.7017,60.60,45.30,57.01,190.00,4.00,0.00,30.32,1019.60,10.00,M,FEW,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,M,KBKF 110658Z 19004KT 10SM FEW085 16/07 A3032 RMK AO2A SLP196 T01590074 402800159
BKF,2021-07-11 07:58,-104.7517,39.7017,58.80,46.20,62.90,190.00,6.00,0.00,30.30,1018.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBKF 110758Z 19006KT 10SM CLR 15/08 A3030 RMK AO2A SLP189 T01490079
BKF,2021-07-11 08:58,-104.7517,39.7017,58.30,46.20,64.03,170.00,6.00,0.00,30.29,1018.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBKF 110858Z 17006KT 10SM CLR 15/08 A3029 RMK AO2A SLP186 T01460079 58007
BKF,2021-07-11 09:58,-104.7517,39.7017,56.80,45.70,66.32,180.00,6.00,0.00,30.28,1018.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBKF 110958Z 18006KT 10SM CLR 14/08 A3028 RMK AO2A SLP182 T01380076
BKF,2021-07-11 10:58,-104.7517,39.7017,57.70,47.70,69.24,220.00,6.00,0.00,30.28,1018.20,10.00,M,FEW,M,M,M,22000.00,M,M,M,M,M,M,M,M,M,M,M,KBKF 111058Z 22006KT 10SM FEW220 14/09 A3028 RMK AO2A SLP182 T01430087
BKF,2021-07-11 11:58,-104.7517,39.7017,56.10,48.00,74.18,200.00,6.00,0.00,30.28,1018.50,10.00,M,FEW,M,M,M,22000.00,M,M,M,M,M,M,M,M,M,M,M,KBKF 111158Z 20006KT 10SM FEW220 13/09 A3028 RMK AO2A SLP185 T01340089 10173 20134 55003
BKF,2021-07-11 12:58,-104.7517,39.7017,57.70,49.50,74.06,230.00,4.00,0.00,30.29,1018.80,10.00,M,FEW,M,M,M,22000.00,M,M,M,M,M,M,M,M,M,M,M,KBKF 111258Z 23004KT 10SM FEW220 14/10 A3029 RMK AO2A SLP188 T01430097
