#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
C07,2021-07-11 00:15,-106.6992,40.3544,66.20,26.60,22.33,320.00,4.00,0.00,30.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110015Z AUTO 32004KT 10SM CLR 19/M03 A3065 RMK AO2
C07,2021-07-11 00:35,-106.6992,40.3544,64.40,28.40,25.60,320.00,3.00,0.00,30.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110035Z AUTO 32003KT 10SM CLR 18/M02 A3065 RMK AO2
C07,2021-07-11 00:55,-106.6992,40.3544,66.20,28.40,24.04,0.00,0.00,0.00,30.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110055Z AUTO 00000KT 10SM CLR 19/M02 A3065 RMK AO2
C07,2021-07-11 01:15,-106.6992,40.3544,62.60,32.00,31.56,0.00,0.00,0.00,30.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110115Z AUTO 00000KT 10SM CLR 17/00 A3065 RMK AO2
C07,2021-07-11 01:35,-106.6992,40.3544,60.80,32.00,33.64,50.00,4.00,0.00,30.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110135Z AUTO 05004KT 10SM CLR 16/00 A3065 RMK AO2
C07,2021-07-11 01:55,-106.6992,40.3544,60.80,32.00,33.64,50.00,6.00,0.00,30.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110155Z AUTO 05006KT 10SM CLR 16/00 A3065 RMK AO2
C07,2021-07-11 02:15,-106.6992,40.3544,59.00,30.20,33.35,60.00,6.00,0.00,30.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110215Z AUTO 06006KT 10SM CLR 15/M01 A3065 RMK AO2
C07,2021-07-11 02:35,-106.6992,40.3544,57.20,28.40,33.05,60.00,6.00,0.00,30.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110235Z AUTO 06006KT 10SM CLR 14/M02 A3065 RMK AO2
C07,2021-07-11 02:55,-106.6992,40.3544,55.40,28.40,35.28,50.00,4.00,0.00,30.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110255Z AUTO 05004KT 10SM CLR 13/M02 A3065 RMK AO2
C07,2021-07-11 03:15,-106.6992,40.3544,55.40,28.40,35.28,50.00,5.00,0.00,30.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110315Z AUTO 05005KT 10SM CLR 13/M02 A3065 RMK AO2
C07,2021-07-11 03:35,-106.6992,40.3544,55.40,28.40,35.28,40.00,5.00,0.00,30.66,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110335Z AUTO 04005KT 10SM CLR 13/M02 A3066 RMK AO2
C07,2021-07-11 03:55,-106.6992,40.3544,53.60,28.40,37.67,30.00,4.00,0.00,30.67,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,M,M,M,M,M,M,M,KC07 110355Z AUTO 03004KT 10SM SCT055 12/M02 A3067 RMK AO2
C07,2021-07-11 04:15,-106.6992,40.3544,55.40,28.40,35.28,30.00,5.00,0.00,30.67,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,M,M,M,M,M,M,M,KC07 110415Z AUTO 03005KT 10SM SCT055 13/M02 A3067 RMK AO2
C07,2021-07-11 04:35,-106.6992,40.3544,55.40,26.60,32.76,50.00,5.00,0.00,30.67,M,10.00,M,SCT,BKN,BKN,M,2000.00,4800.00,5000.00,M,M,M,M,M,M,M,M,M,KC07 110435Z AUTO 05005KT 10SM SCT020 BKN048 BKN050 13/M03 A3067 RMK AO2
C07,2021-07-11 04:55,-106.6992,40.3544,53.60,24.80,32.46,80.00,5.00,0.00,30.66,M,10.00,M,SCT,BKN,OVC,M,3200.00,4800.00,6000.00,M,M,M,M,M,M,M,M,M,KC07 110455Z AUTO 08005KT 10SM SCT032 BKN048 OVC060 12/M04 A3066 RMK AO2
C07,2021-07-11 05:15,-106.6992,40.3544,53.60,26.60,34.98,60.00,7.00,0.00,30.65,M,10.00,M,SCT,SCT,BKN,M,1400.00,2000.00,2800.00,M,M,M,M,M,M,M,M,M,KC07 110515Z AUTO 06007KT 10SM SCT014 SCT020 BKN028 12/M03 A3065 RMK AO2
C07,2021-07-11 05:35,-106.6992,40.3544,53.60,26.60,34.98,80.00,5.00,0.00,30.65,M,10.00,M,SCT,SCT,SCT,M,1100.00,2000.00,2600.00,M,M,M,M,M,M,M,M,M,KC07 110535Z AUTO 08005KT 10SM SCT011 SCT020 SCT026 12/M03 A3065 RMK AO2
C07,2021-07-11 05:55,-106.6992,40.3544,53.60,26.60,34.98,70.00,5.00,0.00,30.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110555Z AUTO 07005KT 10SM CLR 12/M03 A3065 RMK AO2
C07,2021-07-11 06:15,-106.6992,40.3544,53.60,26.60,34.98,90.00,4.00,0.00,30.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110615Z AUTO 09004KT 10SM CLR 12/M03 A3065 RMK AO2
C07,2021-07-11 06:35,-106.6992,40.3544,53.60,26.60,34.98,80.00,5.00,0.00,30.64,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110635Z AUTO 08005KT 10SM CLR 12/M03 A3064 RMK AO2
C07,2021-07-11 06:55,-106.6992,40.3544,53.60,26.60,34.98,80.00,6.00,0.00,30.64,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110655Z AUTO 08006KT 10SM CLR 12/M03 A3064 RMK AO2
C07,2021-07-11 07:15,-106.6992,40.3544,53.60,26.60,34.98,90.00,4.00,0.00,30.64,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KC07 110715Z AUTO 09004KT 10SM CLR 12/M03 A3064 RMK AO2
