#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CAG,2021-07-11 00:00,-107.5216,40.4952,M,M,M,320.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110000Z AUTO 32007KT 10SM CLR 31/M02 A3026 RMK T03101020 MADISHF
CAG,2021-07-11 00:05,-107.5216,40.4952,M,M,M,330.00,9.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110005Z AUTO 33009KT 10SM CLR 31/M03 A3026 RMK T03101030 MADISHF
CAG,2021-07-11 00:10,-107.5216,40.4952,M,M,M,340.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110010Z AUTO 34007KT 10SM CLR 31/M03 A3026 RMK T03101030 MADISHF
CAG,2021-07-11 00:15,-107.5216,40.4952,M,M,M,340.00,5.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110015Z AUTO 34005KT 10SM CLR 31/M03 A3026 RMK T03101030 MADISHF
CAG,2021-07-11 00:20,-107.5216,40.4952,M,M,M,350.00,9.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110020Z AUTO 35009KT 10SM CLR 31/M02 A3026 RMK T03101020 MADISHF
CAG,2021-07-11 00:25,-107.5216,40.4952,M,M,M,330.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110025Z AUTO 33007KT 10SM CLR 31/M03 A3026 RMK T03101030 MADISHF
CAG,2021-07-11 00:30,-107.5216,40.4952,M,M,M,360.00,10.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110030Z AUTO 36010KT 10SM CLR 30/M03 A3026 RMK T03001030 MADISHF
CAG,2021-07-11 00:35,-107.5216,40.4952,M,M,M,360.00,10.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110035Z AUTO 36010KT 10SM CLR 30/M03 A3026 RMK T03001030 MADISHF
CAG,2021-07-11 00:40,-107.5216,40.4952,M,M,M,330.00,9.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110040Z AUTO 33009KT 10SM CLR 30/M03 A3026 RMK T03001030 MADISHF
CAG,2021-07-11 00:45,-107.5216,40.4952,M,M,M,340.00,10.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110045Z AUTO 34010KT 10SM CLR 30/M02 A3026 RMK T03001020 MADISHF
CAG,2021-07-11 00:50,-107.5216,40.4952,M,M,M,320.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110050Z AUTO 32007KT 10SM CLR 29/M02 A3026 RMK T02901020 MADISHF
CAG,2021-07-11 00:53,-107.5216,40.4952,84.90,28.90,13.15,330.00,7.00,0.00,30.26,1017.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.78,KCAG 110053Z AUTO 33007KT 10SM CLR 29/M02 A3026 RMK AO2 SLP174 T02941017
CAG,2021-07-11 00:55,-107.5216,40.4952,M,M,M,340.00,11.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110055Z AUTO 34011KT 10SM CLR 29/M02 A3026 RMK T02901020 MADISHF
CAG,2021-07-11 01:00,-107.5216,40.4952,M,M,M,340.00,10.00,M,30.26,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110100Z AUTO 34010KT 9SM CLR 30/M03 A3026 RMK T03001030 MADISHF
CAG,2021-07-11 01:05,-107.5216,40.4952,M,M,M,340.00,9.00,M,30.26,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110105Z AUTO 34009KT 9SM CLR 30/M02 A3026 RMK T03001020 MADISHF
CAG,2021-07-11 01:10,-107.5216,40.4952,M,M,M,340.00,10.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110110Z AUTO 34010KT 10SM CLR 29/M02 A3027 RMK T02901020 MADISHF
CAG,2021-07-11 01:15,-107.5216,40.4952,M,M,M,340.00,9.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110115Z AUTO 34009KT 10SM CLR 29/M02 A3026 RMK T02901020 MADISHF
CAG,2021-07-11 01:20,-107.5216,40.4952,M,M,M,340.00,5.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110120Z AUTO 34005KT 10SM CLR 29/M02 A3026 RMK T02901020 MADISHF
CAG,2021-07-11 01:25,-107.5216,40.4952,M,M,M,350.00,5.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110125Z AUTO 35005KT 10SM CLR 28/M01 A3026 RMK T02801010 MADISHF
CAG,2021-07-11 01:30,-107.5216,40.4952,M,M,M,360.00,4.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110130Z AUTO 36004KT 10SM CLR 28/M01 A3026 RMK T02801010 MADISHF
CAG,2021-07-11 01:35,-107.5216,40.4952,M,M,M,10.00,5.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110135Z AUTO 01005KT 10SM CLR 28/M01 A3026 RMK T02801010 VRB06KT  MADISHF
CAG,2021-07-11 01:40,-107.5216,40.4952,M,M,M,10.00,5.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110140Z AUTO 01005KT 10SM CLR 28/M02 A3026 RMK T02801020 MADISHF
CAG,2021-07-11 01:45,-107.5216,40.4952,M,M,M,360.00,5.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110145Z AUTO 36005KT 10SM CLR 27/M01 A3026 RMK T02701010 MADISHF
CAG,2021-07-11 01:50,-107.5216,40.4952,M,M,M,360.00,4.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110150Z AUTO 36004KT 10SM CLR 27/M01 A3026 RMK T02701010 MADISHF
CAG,2021-07-11 01:53,-107.5216,40.4952,80.10,30.90,16.67,360.00,3.00,0.00,30.26,1017.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.59,KCAG 110153Z AUTO 36003KT 10SM CLR 27/M01 A3026 RMK AO2 SLP171 T02671006
CAG,2021-07-11 01:55,-107.5216,40.4952,M,M,M,360.00,4.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110155Z AUTO 36004KT 10SM CLR 27/M01 A3026 RMK T02701010 MADISHF
CAG,2021-07-11 02:00,-107.5216,40.4952,M,M,M,10.00,5.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110200Z AUTO 01005KT 10SM CLR 27/M01 A3026 RMK T02701010 MADISHF
CAG,2021-07-11 02:05,-107.5216,40.4952,M,M,M,360.00,5.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110205Z AUTO 36005KT 10SM CLR 27/M01 A3026 RMK T02701010 MADISHF
CAG,2021-07-11 02:10,-107.5216,40.4952,M,M,M,10.00,4.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110210Z AUTO 01004KT 10SM CLR 26/M01 A3026 RMK T02601010 MADISHF
CAG,2021-07-11 02:15,-107.5216,40.4952,M,M,M,20.00,4.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCAG 110215Z AUTO 02004KT 10SM CLR 26/M01 A3026 RMK T02601010 MADISHF
