#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CAV,2021-07-11 00:15,-93.7593,42.7430,66.20,66.20,100.00,60.00,7.00,0.00,29.95,M,10.00,M,SCT,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KCAV 110015Z AUTO 06007KT 10SM SCT080 19/19 A2995 RMK A01
CAV,2021-07-11 00:35,-93.7593,42.7430,66.20,66.20,100.00,50.00,7.00,0.00,29.96,M,10.00,M,BKN,BKN,M,M,8000.00,11000.00,M,M,M,M,M,M,M,M,M,M,KCAV 110035Z AUTO 05007KT 10SM BKN080 BKN110 19/19 A2996 RMK A01
CAV,2021-07-11 00:55,-93.7593,42.7430,66.20,66.20,100.00,50.00,8.00,0.00,29.96,M,10.00,13.00,FEW,BKN,OVC,M,7000.00,9000.00,11000.00,M,M,M,M,M,M,M,M,M,KCAV 110055Z AUTO 05008G13KT 10SM FEW070 BKN090 OVC110 19/19 A2996 RMK A01
CAV,2021-07-11 01:15,-93.7593,42.7430,66.20,66.20,100.00,40.00,7.00,0.00,29.96,M,10.00,M,BKN,OVC,M,M,6500.00,9000.00,M,M,M,M,M,M,M,M,M,M,KCAV 110115Z AUTO 04007KT 10SM BKN065 OVC090 19/19 A2996 RMK A01
CAV,2021-07-11 01:35,-93.7593,42.7430,64.40,64.40,100.00,30.00,6.00,0.00,29.96,M,10.00,M,BKN,OVC,M,M,6500.00,8000.00,M,M,M,M,M,M,M,M,M,M,KCAV 110135Z AUTO 03006KT 10SM BKN065 OVC080 18/18 A2996 RMK A01
CAV,2021-07-11 01:55,-93.7593,42.7430,64.40,64.40,100.00,30.00,6.00,0.00,29.96,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KCAV 110155Z AUTO 03006KT 10SM OVC090 18/18 A2996 RMK A01
CAV,2021-07-11 02:15,-93.7593,42.7430,64.40,64.40,100.00,40.00,6.00,0.00,29.96,M,10.00,M,FEW,SCT,BKN,M,4800.00,5500.00,7000.00,M,M,M,M,M,M,M,M,M,KCAV 110215Z AUTO 04006KT 10SM FEW048 SCT055 BKN070 18/18 A2996 RMK A01
CAV,2021-07-11 02:35,-93.7593,42.7430,64.40,64.40,100.00,30.00,6.00,0.00,29.97,M,10.00,M,FEW,SCT,BKN,M,5000.00,6000.00,7500.00,M,M,M,M,M,M,M,M,M,KCAV 110235Z AUTO 03006KT 10SM FEW050 SCT060 BKN075 18/18 A2997 RMK A01
CAV,2021-07-11 02:55,-93.7593,42.7430,64.40,64.40,100.00,20.00,6.00,0.00,29.97,M,10.00,M,FEW,SCT,OVC,M,3300.00,7500.00,9500.00,M,M,M,M,M,M,M,M,M,KCAV 110255Z AUTO 02006KT 10SM FEW033 SCT075 OVC095 18/18 A2997 RMK A01
CAV,2021-07-11 03:15,-93.7593,42.7430,64.40,64.40,100.00,20.00,7.00,0.00,29.98,M,10.00,M,FEW,SCT,BKN,M,4600.00,6000.00,7500.00,M,M,M,M,M,M,M,M,M,KCAV 110315Z AUTO 02007KT 10SM FEW046 SCT060 BKN075 18/18 A2998 RMK A01
