#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CBF,2021-07-11 00:15,-95.7604,41.2611,68.00,68.00,100.00,320.00,7.00,0.00,29.89,M,10.00,M,FEW,SCT,BKN,M,900.00,1500.00,2100.00,M,M,M,M,M,M,M,M,M,KCBF 110015Z AUTO 32007KT 10SM FEW009 SCT015 BKN021 20/20 A2989 RMK AO2
CBF,2021-07-11 00:35,-95.7604,41.2611,68.00,68.00,100.00,320.00,10.00,0.00,29.89,M,10.00,M,FEW,SCT,BKN,M,1500.00,2100.00,2600.00,M,M,M,M,M,M,M,M,M,KCBF 110035Z AUTO 32010KT 10SM FEW015 SCT021 BKN026 20/20 A2989 RMK AO2
CBF,2021-07-11 00:55,-95.7604,41.2611,68.00,68.00,100.00,320.00,8.00,0.00,29.88,M,10.00,M,FEW,OVC,M,M,2000.00,3500.00,M,M,M,M,M,M,M,M,M,M,KCBF 110055Z AUTO 32008KT 10SM FEW020 OVC035 20/20 A2988 RMK AO2
CBF,2021-07-11 01:15,-95.7604,41.2611,68.00,68.00,100.00,350.00,8.00,0.00,29.89,M,10.00,M,FEW,OVC,M,M,2700.00,3600.00,M,M,M,M,M,M,M,M,M,M,KCBF 110115Z AUTO 35008KT 10SM FEW027 OVC036 20/20 A2989 RMK AO2
CBF,2021-07-11 01:35,-95.7604,41.2611,68.00,68.00,100.00,340.00,9.00,0.00,29.89,M,10.00,M,FEW,SCT,OVC,M,2500.00,3400.00,5000.00,M,M,M,M,M,M,M,M,M,KCBF 110135Z AUTO 34009KT 10SM FEW025 SCT034 OVC050 20/20 A2989 RMK AO2
CBF,2021-07-11 01:55,-95.7604,41.2611,66.20,66.20,100.00,330.00,8.00,0.00,29.89,M,10.00,M,FEW,FEW,OVC,M,2800.00,3200.00,5000.00,M,M,M,M,M,M,M,M,M,KCBF 110155Z AUTO 33008KT 10SM FEW028 FEW032 OVC050 19/19 A2989 RMK AO2
CBF,2021-07-11 02:15,-95.7604,41.2611,66.20,66.20,100.00,340.00,7.00,0.00,29.90,M,10.00,M,FEW,BKN,OVC,M,1100.00,2900.00,5000.00,M,M,M,M,M,M,M,M,M,KCBF 110215Z AUTO 34007KT 10SM FEW011 BKN029 OVC050 19/19 A2990 RMK AO2
CBF,2021-07-11 02:35,-95.7604,41.2611,66.20,66.20,100.00,340.00,6.00,0.00,29.90,M,10.00,M,BKN,BKN,BKN,M,2900.00,5000.00,12000.00,M,M,M,M,M,M,M,M,M,KCBF 110235Z AUTO 34006KT 10SM BKN029 BKN050 BKN120 19/19 A2990 RMK AO2
CBF,2021-07-11 02:55,-95.7604,41.2611,66.20,66.20,100.00,340.00,7.00,0.00,29.91,M,10.00,M,SCT,BKN,OVC,M,1500.00,2100.00,12000.00,M,M,M,M,M,M,M,M,M,KCBF 110255Z AUTO 34007KT 10SM SCT015 BKN021 OVC120 19/19 A2991 RMK AO2
CBF,2021-07-11 03:15,-95.7604,41.2611,66.20,66.20,100.00,360.00,7.00,0.00,29.92,M,10.00,M,BKN,OVC,M,M,1300.00,2300.00,M,M,M,M,M,M,M,M,M,M,KCBF 110315Z AUTO 36007KT 10SM BKN013 OVC023 19/19 A2992 RMK AO2
CBF,2021-07-11 03:35,-95.7604,41.2611,66.20,66.20,100.00,10.00,10.00,0.00,29.92,M,9.00,M,BKN,OVC,M,M,1000.00,1500.00,M,M,M,M,M,M,M,M,M,M,KCBF 110335Z AUTO 01010KT 9SM BKN010 OVC015 19/19 A2992 RMK AO2
CBF,2021-07-11 03:55,-95.7604,41.2611,64.40,64.40,100.00,20.00,14.00,0.00,29.92,M,7.00,22.00,BKN,OVC,M,M,700.00,1000.00,M,M,M,M,M,M,M,M,M,M,KCBF 110355Z AUTO 02014G22KT 7SM BKN007 OVC010 18/18 A2992 RMK AO2
CBF,2021-07-11 04:15,-95.7604,41.2611,64.40,64.40,100.00,10.00,13.00,0.00,29.93,M,6.00,M,OVC,M,M,M,800.00,M,M,M,-RA,M,M,M,M,M,M,M,KCBF 110415Z AUTO 01013KT 6SM -RA OVC008 18/18 A2993 RMK AO2
CBF,2021-07-11 04:35,-95.7604,41.2611,62.60,62.60,100.00,20.00,11.00,0.00,29.94,M,6.00,20.00,OVC,M,M,M,800.00,M,M,M,-RA,M,M,M,M,M,M,M,KCBF 110435Z AUTO 02011G20KT 6SM -RA OVC008 17/17 A2994 RMK AO2
CBF,2021-07-11 04:55,-95.7604,41.2611,62.60,62.60,100.00,30.00,13.00,0.00,29.94,M,6.00,18.00,OVC,M,M,M,700.00,M,M,M,-DZ,M,M,M,M,M,M,M,KCBF 110455Z AUTO 03013G18KT 6SM -DZ OVC007 17/17 A2994 RMK AO2
