#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CCU,2021-07-11 00:15,-106.1530,39.4750,64.40,12.20,12.84,280.00,20.00,0.00,30.74,M,M,27.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110015Z AUTO 28020G27KT CLR 18/M11 A3074 RMK AO2 PWINO
CCU,2021-07-11 00:35,-106.1530,39.4750,64.40,17.60,16.26,290.00,14.00,0.00,30.75,M,M,24.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110035Z AUTO 29014G24KT CLR 18/M08 A3075 RMK AO2 PWINO
CCU,2021-07-11 00:55,-106.1530,39.4750,64.40,19.40,17.56,290.00,12.00,0.00,30.75,M,M,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110055Z AUTO 29012G17KT CLR 18/M07 A3075 RMK AO2 PWINO
CCU,2021-07-11 01:15,-106.1530,39.4750,64.40,21.20,18.96,280.00,10.00,0.00,30.75,M,M,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110115Z AUTO 28010G18KT CLR 18/M06 A3075 RMK AO2 PWINO
CCU,2021-07-11 01:35,-106.1530,39.4750,64.40,23.00,20.46,290.00,14.00,0.00,30.75,M,M,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110135Z AUTO 29014KT CLR 18/M05 A3075 RMK AO2 PWINO
CCU,2021-07-11 01:55,-106.1530,39.4750,60.80,23.00,23.23,280.00,12.00,0.00,30.75,M,M,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110155Z AUTO 28012G15KT CLR 16/M05 A3075 RMK AO2 PWINO
CCU,2021-07-11 02:15,-106.1530,39.4750,60.80,23.00,23.23,260.00,10.00,0.00,30.75,M,M,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110215Z AUTO 26010KT CLR 16/M05 A3075 RMK AO2 PWINO
CCU,2021-07-11 02:35,-106.1530,39.4750,59.00,21.20,22.95,270.00,10.00,0.00,30.75,M,M,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110235Z AUTO 27010KT CLR 15/M06 A3075 RMK AO2 PWINO
CCU,2021-07-11 02:55,-106.1530,39.4750,59.00,23.00,24.76,280.00,13.00,0.00,30.75,M,M,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110255Z AUTO 28013G17KT CLR 15/M05 A3075 RMK AO2 PWINO
CCU,2021-07-11 03:15,-106.1530,39.4750,59.00,24.80,26.70,280.00,8.00,0.00,30.76,M,M,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110315Z AUTO 28008KT CLR 15/M04 A3076 RMK AO2 PWINO
CCU,2021-07-11 03:35,-106.1530,39.4750,59.00,26.60,28.77,280.00,7.00,0.00,30.77,M,M,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110335Z AUTO 28007KT CLR 15/M03 A3077 RMK AO2 PWINO
CCU,2021-07-11 03:55,-106.1530,39.4750,55.40,26.60,32.76,270.00,6.00,0.00,30.77,M,M,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110355Z AUTO 27006KT CLR 13/M03 A3077 RMK AO2 PWINO
CCU,2021-07-11 04:15,-106.1530,39.4750,55.40,26.60,32.76,270.00,6.00,0.00,30.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110415Z AUTO 27006KT 10SM CLR 13/M03 A3077 RMK AO2 PWINO
CCU,2021-07-11 04:35,-106.1530,39.4750,55.40,28.40,35.28,260.00,5.00,0.00,30.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCCU 110435Z AUTO 26005KT 10SM CLR 13/M02 A3077 RMK AO2
