#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CCY,2021-07-11 00:15,-92.6132,43.0730,66.20,64.40,93.92,30.00,4.00,0.00,29.96,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KCCY 110015Z AUTO 03004KT 10SM SCT110 19/18 A2996 RMK AO2
CCY,2021-07-11 00:35,-92.6132,43.0730,66.20,64.40,93.92,360.00,4.00,0.00,29.96,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KCCY 110035Z AUTO 36004KT 10SM SCT120 19/18 A2996 RMK AO2
CCY,2021-07-11 00:55,-92.6132,43.0730,66.20,64.40,93.92,0.00,0.00,0.00,29.96,M,10.00,M,BKN,BKN,M,M,12000.00,14000.00,M,M,M,M,M,M,M,M,M,M,KCCY 110055Z AUTO 00000KT 10SM BKN120 BKN140 19/18 A2996 RMK AO2
CCY,2021-07-11 01:15,-92.6132,43.0730,66.20,64.40,93.92,350.00,5.00,0.00,29.96,M,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KCCY 110115Z AUTO 35005KT 10SM OVC120 19/18 A2996 RMK AO2
CCY,2021-07-11 01:35,-92.6132,43.0730,66.20,64.40,93.92,340.00,5.00,0.00,29.96,M,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KCCY 110135Z AUTO 34005KT 10SM OVC120 19/18 A2996 RMK AO2
CCY,2021-07-11 01:55,-92.6132,43.0730,64.40,64.40,100.00,350.00,4.00,0.00,29.96,M,10.00,M,BKN,OVC,M,M,12000.00,17000.00,M,M,M,M,M,M,M,M,M,M,KCCY 110155Z AUTO 35004KT 10SM BKN120 OVC170 18/18 A2996 RMK AO2
CCY,2021-07-11 02:15,-92.6132,43.0730,64.40,64.40,100.00,10.00,5.00,0.00,29.97,M,10.00,M,BKN,BKN,OVC,M,12000.00,14000.00,17000.00,M,M,M,M,M,M,M,M,M,KCCY 110215Z AUTO 01005KT 10SM BKN120 BKN140 OVC170 18/18 A2997 RMK AO2
CCY,2021-07-11 02:35,-92.6132,43.0730,64.40,64.40,100.00,360.00,4.00,0.00,29.98,M,10.00,M,BKN,BKN,BKN,M,12000.00,15000.00,17000.00,M,M,M,M,M,M,M,M,M,KCCY 110235Z AUTO 36004KT 10SM BKN120 BKN150 BKN170 18/18 A2998 RMK AO2
CCY,2021-07-11 02:55,-92.6132,43.0730,64.40,64.40,100.00,10.00,6.00,0.00,29.98,M,10.00,M,BKN,BKN,M,M,12000.00,16000.00,M,M,M,M,M,M,M,M,M,M,KCCY 110255Z AUTO 01006KT 10SM BKN120 BKN160 18/18 A2998 RMK AO2
CCY,2021-07-11 03:15,-92.6132,43.0730,64.40,62.60,93.88,40.00,5.00,0.00,29.99,M,10.00,M,FEW,M,M,M,13000.00,M,M,M,M,M,M,M,M,M,M,M,KCCY 110315Z AUTO 04005KT 10SM FEW130 18/17 A2999 RMK AO2
