#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CEZ,2021-07-11 00:00,-108.6281,37.3030,M,M,M,20.00,14.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCEZ 110000Z AUTO 02014KT 10SM CLR 37/M09 RMK T03701090 MADISHF
CEZ,2021-07-11 00:05,-108.6281,37.3030,M,M,M,20.00,11.00,M,M,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCEZ 110005Z AUTO 02011G17KT 10SM CLR 37/M09 RMK T03701090 MADISHF
CEZ,2021-07-11 00:10,-108.6281,37.3030,M,M,M,350.00,13.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCEZ 110010Z AUTO 35013KT 10SM CLR 37/M09 RMK T03701090 MADISHF
CEZ,2021-07-11 00:15,-108.6281,37.3030,M,M,M,20.00,11.00,M,M,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCEZ 110015Z AUTO 02011G19KT 10SM CLR 37/M09 RMK T03701090 MADISHF
CEZ,2021-07-11 00:20,-108.6281,37.3030,M,M,M,10.00,10.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCEZ 110020Z AUTO 01010KT 10SM CLR 37/M10 RMK T03701100 MADISHF
CEZ,2021-07-11 00:25,-108.6281,37.3030,M,M,M,M,16.00,M,M,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCEZ 110025Z AUTO ///16G22KT 10SM CLR 37/M09 RMK T03701090 MADISHF
CEZ,2021-07-11 00:30,-108.6281,37.3030,M,M,M,360.00,11.00,M,M,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCEZ 110030Z AUTO 36011G16KT 10SM CLR 37/M09 RMK T03701090 MADISHF
CEZ,2021-07-11 00:35,-108.6281,37.3030,M,M,M,10.00,10.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCEZ 110035Z AUTO 01010KT 10SM CLR 37/M09 RMK T03701090 MADISHF
CEZ,2021-07-11 00:40,-108.6281,37.3030,M,M,M,360.00,11.00,M,M,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCEZ 110040Z AUTO 36011G16KT 10SM CLR 37/M09 RMK T03701090 MADISHF
CEZ,2021-07-11 00:45,-108.6281,37.3030,M,M,M,360.00,10.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCEZ 110045Z AUTO 36010KT 10SM CLR 37/M09 RMK T03701090 MADISHF
