#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CFO,2021-07-11 01:47,-104.5376,39.7841,78.80,39.20,24.19,50.00,5.00,0.00,30.28,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KCFO 110147Z 05005KT 10SM SCT110 26/04 A3028
CFO,2021-07-11 02:47,-104.5376,39.7841,73.40,39.20,28.96,60.00,5.00,0.00,30.29,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KCFO 110247Z 06005KT 10SM SCT110 23/04 A3029 RMK LAST
CFO,2021-07-11 03:15,-104.5376,39.7841,69.30,40.50,35.01,100.00,6.00,0.00,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCFO 110315Z AUTO 10006KT 10SM CLR 21/05 A3030 RMK AO2 T02070047
CFO,2021-07-11 03:35,-104.5376,39.7841,68.40,42.10,38.41,120.00,6.00,0.00,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCFO 110335Z AUTO 12006KT 10SM CLR 20/06 A3030 RMK AO2 T02020056
CFO,2021-07-11 03:55,-104.5376,39.7841,68.20,43.20,40.34,130.00,5.00,0.00,30.32,M,10.00,M,SCT,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KCFO 110355Z AUTO 13005KT 10SM SCT080 20/06 A3032 RMK AO2 T02010062
CFO,2021-07-11 04:15,-104.5376,39.7841,68.70,43.90,40.73,120.00,5.00,0.00,30.32,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KCFO 110415Z AUTO 12005KT 10SM OVC080 20/07 A3032 RMK AO2 T02040066
CFO,2021-07-11 04:35,-104.5376,39.7841,69.30,44.10,40.21,120.00,6.00,0.00,30.32,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KCFO 110435Z AUTO 12006KT 10SM OVC080 21/07 A3032 RMK AO2 T02070067
CFO,2021-07-11 04:55,-104.5376,39.7841,69.80,45.70,42.01,150.00,5.00,0.00,30.32,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KCFO 110455Z AUTO 15005KT 10SM OVC080 21/08 A3032 RMK AO2 T02100076
CFO,2021-07-11 05:15,-104.5376,39.7841,69.80,43.70,38.93,120.00,6.00,0.00,30.32,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KCFO 110515Z AUTO 12006KT 10SM OVC080 21/07 A3032 RMK AO2 T02100065
CFO,2021-07-11 05:35,-104.5376,39.7841,69.40,44.40,40.53,140.00,4.00,0.00,30.32,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KCFO 110535Z AUTO 14004KT 10SM OVC090 21/07 A3032 RMK AO2 T02080069
CFO,2021-07-11 05:55,-104.5376,39.7841,68.00,45.00,43.51,130.00,4.00,0.00,30.32,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KCFO 110555Z AUTO 13004KT 10SM OVC090 20/07 A3032 RMK AO2 T02000072 10291 20200
CFO,2021-07-11 06:15,-104.5376,39.7841,67.10,46.60,47.69,150.00,4.00,0.00,30.32,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KCFO 110615Z AUTO 15004KT 10SM OVC090 20/08 A3032 RMK AO2 T01950081
