#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CIN,2021-07-11 00:15,-94.7889,42.0444,66.20,66.20,100.00,50.00,13.00,0.00,29.88,M,7.00,M,BKN,BKN,M,M,800.00,1300.00,M,M,-RA,M,M,M,M,M,M,M,KCIN 110015Z AUTO 05013KT 7SM -RA BKN008 BKN013 19/19 A2988 RMK AO2
CIN,2021-07-11 00:35,-94.7889,42.0444,64.40,64.40,100.00,40.00,11.00,0.00,29.90,M,7.00,16.00,OVC,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,M,KCIN 110035Z AUTO 04011G16KT 7SM OVC007 18/18 A2990 RMK AO2
CIN,2021-07-11 00:55,-94.7889,42.0444,64.40,64.40,100.00,30.00,9.00,0.01,29.91,M,6.00,15.00,OVC,M,M,M,700.00,M,M,M,BR,M,M,M,M,M,M,M,KCIN 110055Z AUTO 03009G15KT 6SM BR OVC007 18/18 A2991 RMK AO2 P0001
CIN,2021-07-11 01:15,-94.7889,42.0444,64.40,64.40,100.00,20.00,10.00,0.00,29.92,M,7.00,M,OVC,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,M,KCIN 110115Z AUTO 02010KT 7SM OVC007 18/18 A2992 RMK AO2
CIN,2021-07-11 01:35,-94.7889,42.0444,62.60,62.60,100.00,20.00,11.00,0.00,29.92,M,2.00,M,BKN,OVC,M,M,800.00,1300.00,M,M,RA,M,M,M,M,M,M,M,KCIN 110135Z AUTO 02011KT 2SM RA BKN008 OVC013 17/17 A2992 RMK AO2
CIN,2021-07-11 01:55,-94.7889,42.0444,62.60,62.60,100.00,10.00,9.00,0.03,29.92,M,5.00,M,OVC,M,M,M,1400.00,M,M,M,BR,M,M,M,M,M,M,M,KCIN 110155Z AUTO 01009KT 5SM BR OVC014 17/17 A2992 RMK AO2 P0003
CIN,2021-07-11 02:15,-94.7889,42.0444,62.60,62.60,100.00,10.00,9.00,0.00,29.93,M,M,M,OVC,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,M,KCIN 110215Z AUTO 01009KT OVC016 17/17 A2993 RMK AO2
CIN,2021-07-11 02:35,-94.7889,42.0444,62.60,62.60,100.00,20.00,7.00,0.00,29.94,M,9.00,M,OVC,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,M,KCIN 110235Z AUTO 02007KT 9SM OVC018 17/17 A2994 RMK AO2
CIN,2021-07-11 02:55,-94.7889,42.0444,62.60,62.60,100.00,10.00,8.00,0.04,29.95,M,3.00,M,OVC,M,M,M,2000.00,M,M,M,RA,M,M,M,M,M,M,M,KCIN 110255Z AUTO 01008KT 3SM RA OVC020 17/17 A2995 RMK AO2 P0004
CIN,2021-07-11 03:15,-94.7889,42.0444,62.60,62.60,100.00,20.00,9.00,0.00,29.96,M,4.00,M,SCT,OVC,M,M,2000.00,2700.00,M,M,-RA,M,M,M,M,M,M,M,KCIN 110315Z AUTO 02009KT 4SM -RA SCT020 OVC027 17/17 A2996 RMK AO2
CIN,2021-07-11 03:35,-94.7889,42.0444,62.60,62.60,100.00,20.00,9.00,0.00,29.97,M,2.50,M,OVC,M,M,M,2900.00,M,M,M,RA,M,M,M,M,M,M,M,KCIN 110335Z AUTO 02009KT 2 1/2SM RA OVC029 17/17 A2997 RMK AO2 VIS 2V3
CIN,2021-07-11 03:55,-94.7889,42.0444,62.60,62.60,100.00,10.00,7.00,0.17,29.97,M,6.00,M,FEW,OVC,M,M,2600.00,3400.00,M,M,-RA,M,M,M,M,M,M,M,KCIN 110355Z AUTO 01007KT 6SM -RA FEW026 OVC034 17/17 A2997 RMK AO2 P0017
CIN,2021-07-11 04:15,-94.7889,42.0444,62.60,62.60,100.00,360.00,7.00,0.00,29.97,M,7.00,M,OVC,M,M,M,4000.00,M,M,M,-RA,M,M,M,M,M,M,M,KCIN 110415Z AUTO 36007KT 7SM -RA OVC040 17/17 A2997 RMK AO2
CIN,2021-07-11 04:35,-94.7889,42.0444,62.60,62.60,100.00,10.00,6.00,0.00,29.98,M,10.00,M,OVC,M,M,M,4200.00,M,M,M,M,M,M,M,M,M,M,M,KCIN 110435Z AUTO 01006KT 10SM OVC042 17/17 A2998 RMK AO2
CIN,2021-07-11 04:55,-94.7889,42.0444,62.60,62.60,100.00,30.00,4.00,0.00,29.98,M,8.00,M,FEW,OVC,M,M,3700.00,4700.00,M,M,-DZ,M,M,M,M,M,M,M,KCIN 110455Z AUTO 03004KT 8SM -DZ FEW037 OVC047 17/17 A2998 RMK AO2
CIN,2021-07-11 05:15,-94.7889,42.0444,62.60,62.60,100.00,30.00,7.00,0.00,29.98,M,10.00,M,BKN,OVC,M,M,4900.00,5500.00,M,M,M,M,M,M,M,M,M,M,KCIN 110515Z AUTO 03007KT 10SM BKN049 OVC055 17/17 A2998 RMK AO2
CIN,2021-07-11 05:35,-94.7889,42.0444,64.40,64.40,100.00,40.00,5.00,0.00,29.98,M,10.00,M,BKN,OVC,M,M,4900.00,6000.00,M,M,M,M,M,M,M,M,M,M,KCIN 110535Z AUTO 04005KT 10SM BKN049 OVC060 18/18 A2998 RMK AO2
CIN,2021-07-11 05:55,-94.7889,42.0444,64.40,64.40,100.00,50.00,5.00,0.02,29.99,M,5.00,13.00,FEW,FEW,OVC,M,2700.00,3500.00,5000.00,M,-RA,M,M,M,M,M,M,M,KCIN 110555Z AUTO 05005G13KT 5SM -RA FEW027 FEW035 OVC050 18/18 A2999 RMK AO2 P0002
