#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CKP,2021-07-11 00:15,-95.5538,42.7304,63.50,61.70,93.86,30.00,7.00,0.00,29.97,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 110015Z AUTO 03007KT 10SM OVC013 18/17 A2997 RMK AO2 T01750165
CKP,2021-07-11 00:35,-95.5538,42.7304,62.60,61.20,95.17,40.00,7.00,0.00,29.97,M,10.00,14.00,BKN,OVC,M,M,1300.00,1900.00,M,M,M,M,M,M,M,M,M,M,KCKP 110035Z AUTO 04007G14KT 10SM BKN013 OVC019 17/16 A2997 RMK AO2 T01700162
CKP,2021-07-11 00:55,-95.5538,42.7304,62.60,61.00,94.50,30.00,6.00,0.00,29.98,M,10.00,M,SCT,BKN,OVC,M,1300.00,2100.00,2600.00,M,M,M,M,M,M,M,M,M,KCKP 110055Z AUTO 03006KT 10SM SCT013 BKN021 OVC026 17/16 A2998 RMK AO2 T01700161
CKP,2021-07-11 01:15,-95.5538,42.7304,62.40,61.20,95.85,20.00,6.00,0.00,29.98,M,10.00,M,BKN,OVC,M,M,3000.00,4100.00,M,M,M,M,M,M,M,M,M,M,KCKP 110115Z AUTO 02006KT 10SM BKN030 OVC041 17/16 A2998 RMK AO2 T01690162
CKP,2021-07-11 01:35,-95.5538,42.7304,62.20,61.70,98.25,10.00,7.00,0.00,29.99,M,10.00,M,SCT,BKN,OVC,M,3000.00,4100.00,11000.00,M,M,M,M,M,M,M,M,M,KCKP 110135Z AUTO 01007KT 10SM SCT030 BKN041 OVC110 17/17 A2999 RMK AO2 T01680165
CKP,2021-07-11 01:55,-95.5538,42.7304,62.60,61.70,96.87,30.00,6.00,0.00,29.99,M,10.00,M,SCT,BKN,OVC,M,4800.00,6000.00,11000.00,M,-RA,M,M,M,M,M,M,M,KCKP 110155Z AUTO 03006KT 10SM -RA SCT048 BKN060 OVC110 17/17 A2999 RMK AO2 T01700165
CKP,2021-07-11 02:15,-95.5538,42.7304,62.10,61.20,96.87,20.00,7.00,0.00,30.00,M,10.00,M,SCT,SCT,OVC,M,4800.00,6000.00,11000.00,M,M,M,M,M,M,M,M,M,KCKP 110215Z AUTO 02007KT 10SM SCT048 SCT060 OVC110 17/16 A3000 RMK AO2 T01670162
CKP,2021-07-11 02:35,-95.5538,42.7304,62.10,61.20,96.87,10.00,7.00,0.00,30.00,M,10.00,M,SCT,BKN,OVC,M,6000.00,7000.00,11000.00,M,M,M,M,M,M,M,M,M,KCKP 110235Z AUTO 01007KT 10SM SCT060 BKN070 OVC110 17/16 A3000 RMK AO2 T01670162
CKP,2021-07-11 02:55,-95.5538,42.7304,61.90,61.20,97.55,10.00,7.00,0.00,30.01,M,10.00,M,SCT,SCT,OVC,M,6000.00,9000.00,11000.00,M,M,M,M,M,M,M,M,M,KCKP 110255Z AUTO 01007KT 10SM SCT060 SCT090 OVC110 17/16 A3001 RMK AO2 T01660162
CKP,2021-07-11 03:15,-95.5538,42.7304,62.10,61.30,97.21,10.00,7.00,0.00,30.01,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 110315Z AUTO 01007KT 10SM OVC110 17/16 A3001 RMK AO2 T01670163
CKP,2021-07-11 03:35,-95.5538,42.7304,61.90,61.20,97.55,10.00,6.00,0.00,30.01,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 110335Z AUTO 01006KT 10SM BKN110 17/16 A3001 RMK AO2 T01660162
CKP,2021-07-11 03:55,-95.5538,42.7304,61.90,61.20,97.55,10.00,5.00,0.00,30.01,M,10.00,M,SCT,SCT,BKN,M,7500.00,9000.00,11000.00,M,M,M,M,M,M,M,M,M,KCKP 110355Z AUTO 01005KT 10SM SCT075 SCT090 BKN110 17/16 A3001 RMK AO2 T01660162
CKP,2021-07-11 04:15,-95.5538,42.7304,61.90,61.30,97.90,20.00,5.00,0.00,30.01,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 110415Z AUTO 02005KT 10SM OVC110 17/16 A3001 RMK AO2 T01660163
CKP,2021-07-11 04:35,-95.5538,42.7304,61.90,61.70,99.30,10.00,5.00,0.00,30.01,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 110435Z AUTO 01005KT 10SM BKN110 17/17 A3001 RMK AO2 T01660165
CKP,2021-07-11 04:55,-95.5538,42.7304,61.90,61.70,99.30,20.00,4.00,0.00,30.01,M,10.00,M,BKN,OVC,M,M,7500.00,12000.00,M,M,M,M,M,M,M,M,M,M,KCKP 110455Z AUTO 02004KT 10SM BKN075 OVC120 17/17 A3001 RMK AO2 T01660165
CKP,2021-07-11 05:15,-95.5538,42.7304,61.90,61.70,99.30,20.00,4.00,0.00,30.02,M,10.00,M,BKN,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 110515Z AUTO 02004KT 10SM BKN075 17/17 A3002 RMK AO2 T01660165
CKP,2021-07-11 05:35,-95.5538,42.7304,61.70,61.70,100.00,20.00,3.00,0.00,30.02,M,10.00,M,BKN,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 110535Z AUTO 02003KT 10SM BKN075 17/17 A3002 RMK AO2 T01650165
CKP,2021-07-11 05:55,-95.5538,42.7304,61.90,61.90,100.00,360.00,3.00,0.00,30.03,M,10.00,M,BKN,BKN,M,M,7500.00,11000.00,M,M,M,M,M,M,M,M,M,M,KCKP 110555Z AUTO 36003KT 10SM BKN075 BKN110 17/17 A3003 RMK AO2 T01660166 10176 20165 402050165
CKP,2021-07-11 06:15,-95.5538,42.7304,61.30,61.30,100.00,350.00,3.00,0.00,30.03,M,10.00,M,SCT,SCT,M,M,8500.00,11000.00,M,M,M,M,M,M,M,M,M,M,KCKP 110615Z AUTO 35003KT 10SM SCT085 SCT110 16/16 A3003 RMK AO2 T01630163
CKP,2021-07-11 06:35,-95.5538,42.7304,61.30,61.30,100.00,10.00,3.00,0.00,30.03,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 110635Z AUTO 01003KT 10SM BKN120 16/16 A3003 RMK AO2 T01630163
CKP,2021-07-11 06:55,-95.5538,42.7304,61.70,61.70,100.00,10.00,3.00,0.00,30.03,M,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 110655Z AUTO 01003KT 10SM OVC120 17/17 A3003 RMK AO2 T01650165
CKP,2021-07-11 07:15,-95.5538,42.7304,61.20,61.20,100.00,10.00,4.00,0.00,30.02,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 110715Z AUTO 01004KT 10SM BKN120 16/16 A3002 RMK AO2 T01620162
CKP,2021-07-11 07:35,-95.5538,42.7304,60.60,60.60,100.00,360.00,3.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 110735Z AUTO 36003KT 10SM CLR 16/16 A3002 RMK AO2 T01590159
CKP,2021-07-11 07:55,-95.5538,42.7304,59.90,59.90,100.00,360.00,3.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 110755Z AUTO 36003KT 10SM CLR 16/16 A3003 RMK AO2 T01550155
CKP,2021-07-11 08:15,-95.5538,42.7304,59.50,59.50,100.00,360.00,3.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 110815Z AUTO 36003KT 10SM CLR 15/15 A3003 RMK AO2 T01530153
CKP,2021-07-11 08:35,-95.5538,42.7304,59.20,59.20,100.00,10.00,4.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 110835Z AUTO 01004KT 10SM CLR 15/15 A3002 RMK AO2 T01510151
CKP,2021-07-11 08:55,-95.5538,42.7304,59.00,59.00,100.00,20.00,3.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 110855Z AUTO 02003KT 10SM CLR 15/15 A3003 RMK AO2 T01500150
CKP,2021-07-11 09:15,-95.5538,42.7304,58.50,58.50,100.00,360.00,3.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 110915Z AUTO 36003KT 10SM CLR 15/15 A3002 RMK AO2 T01470147
CKP,2021-07-11 09:35,-95.5538,42.7304,58.30,58.30,100.00,360.00,3.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 110935Z AUTO 36003KT 10SM CLR 15/15 A3003 RMK AO2 T01460146
CKP,2021-07-11 09:55,-95.5538,42.7304,58.50,58.50,100.00,360.00,5.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 110955Z AUTO 36005KT 10SM CLR 15/15 A3003 RMK AO2 T01470147
CKP,2021-07-11 10:15,-95.5538,42.7304,58.50,58.50,100.00,10.00,5.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 111015Z AUTO 01005KT 10SM CLR 15/15 A3003 RMK AO2 T01470147
CKP,2021-07-11 10:35,-95.5538,42.7304,58.10,58.10,100.00,10.00,3.00,0.00,30.04,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 111035Z AUTO 01003KT 10SM SCT055 15/15 A3004 RMK AO2 T01450145
CKP,2021-07-11 10:55,-95.5538,42.7304,58.10,58.10,100.00,10.00,4.00,0.00,30.04,M,10.00,M,SCT,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 111055Z AUTO 01004KT 10SM SCT050 15/15 A3004 RMK AO2 T01450145
CKP,2021-07-11 11:15,-95.5538,42.7304,58.10,58.10,100.00,10.00,4.00,0.00,30.04,M,7.00,M,SCT,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 111115Z AUTO 01004KT 7SM SCT060 15/15 A3004 RMK AO2 T01450145
CKP,2021-07-11 11:35,-95.5538,42.7304,58.50,58.50,100.00,10.00,4.00,0.00,30.05,M,7.00,M,SCT,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,M,KCKP 111135Z AUTO 01004KT 7SM SCT060 15/15 A3005 RMK AO2 T01470147
CKP,2021-07-11 11:55,-95.5538,42.7304,59.00,59.00,100.00,10.00,3.00,0.00,30.05,M,7.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 111155Z AUTO 01003KT 7SM CLR 15/15 A3005 RMK AO2 T01500150 10166 20145
CKP,2021-07-11 12:15,-95.5538,42.7304,59.90,59.90,100.00,10.00,3.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 111215Z AUTO 01003KT 10SM CLR 16/16 A3006 RMK AO2 T01550155
CKP,2021-07-11 12:35,-95.5538,42.7304,61.20,61.20,100.00,10.00,4.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 111235Z AUTO 01004KT 10SM CLR 16/16 A3006 RMK AO2 T01620162
CKP,2021-07-11 12:55,-95.5538,42.7304,62.40,61.70,97.56,10.00,5.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 111255Z AUTO 01005KT 10SM CLR 17/17 A3007 RMK AO2 T01690165
CKP,2021-07-11 13:15,-95.5538,42.7304,63.50,62.20,95.53,10.00,4.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 111315Z AUTO 01004KT 10SM CLR 18/17 A3007 RMK AO2 T01750168
CKP,2021-07-11 13:35,-95.5538,42.7304,66.40,64.40,93.28,30.00,5.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCKP 111335Z AUTO 03005KT 10SM CLR 19/18 A3007 RMK AO2 T01910180
