#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CNC,2021-07-11 00:15,-93.3608,41.0184,64.40,64.40,100.00,M,M,0.00,29.86,M,6.00,M,SCT,BKN,OVC,M,3200.00,4200.00,11000.00,M,-RA,M,M,M,M,M,M,M,KCNC 110015Z AUTO 6SM -RA SCT032 BKN042 OVC110 18/18 A2986 RMK AO2
CNC,2021-07-11 00:35,-93.3608,41.0184,66.20,66.20,100.00,40.00,11.00,0.00,29.85,M,4.00,17.00,BKN,BKN,OVC,M,3600.00,4200.00,5000.00,M,RA,M,M,M,M,M,M,M,KCNC 110035Z AUTO 04011G17KT 4SM RA BKN036 BKN042 OVC050 19/19 A2985 RMK AO2
CNC,2021-07-11 00:55,-93.3608,41.0184,64.40,64.40,100.00,M,5.00,0.12,29.86,M,5.00,14.00,BKN,BKN,OVC,M,3500.00,4500.00,7000.00,M,RA,M,M,M,M,M,M,M,KCNC 110055Z AUTO VRB05G14KT 5SM RA BKN035 BKN045 OVC070 18/18 A2986 RMK AO2 P0012
CNC,2021-07-11 01:15,-93.3608,41.0184,66.20,66.20,100.00,90.00,4.00,0.00,29.85,M,5.00,M,BKN,OVC,M,M,3800.00,4500.00,M,M,RA,M,M,M,M,M,M,M,KCNC 110115Z AUTO 09004KT 5SM RA BKN038 OVC045 19/19 A2985 RMK AO2
CNC,2021-07-11 01:35,-93.3608,41.0184,66.20,66.20,100.00,120.00,6.00,0.00,29.85,M,6.00,M,FEW,BKN,OVC,M,1000.00,3300.00,4700.00,M,-RA,M,M,M,M,M,M,M,KCNC 110135Z AUTO 12006KT 6SM -RA FEW010 BKN033 OVC047 19/19 A2985 RMK AO2
CNC,2021-07-11 01:55,-93.3608,41.0184,66.20,66.20,100.00,90.00,9.00,0.09,29.84,M,10.00,14.00,FEW,FEW,SCT,M,1000.00,3200.00,5000.00,M,-DZ,M,M,M,M,M,M,M,KCNC 110155Z AUTO 09009G14KT 10SM -DZ FEW010 FEW032 SCT050 19/19 A2984 RMK AO2 P0009
CNC,2021-07-11 02:15,-93.3608,41.0184,68.00,66.20,93.97,90.00,9.00,0.00,29.86,M,10.00,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,M,KCNC 110215Z AUTO 09009KT 10SM BKN009 20/19 A2986 RMK AO2
CNC,2021-07-11 02:35,-93.3608,41.0184,68.00,66.20,93.97,90.00,13.00,0.00,29.86,M,9.00,M,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,M,KCNC 110235Z AUTO 09013KT 9SM OVC008 20/19 A2986 RMK AO2
CNC,2021-07-11 02:55,-93.3608,41.0184,68.00,66.20,93.97,80.00,10.00,0.00,29.87,M,10.00,18.00,OVC,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,M,KCNC 110255Z AUTO 08010G18KT 10SM OVC010 20/19 A2987 RMK AO2
CNC,2021-07-11 03:15,-93.3608,41.0184,66.20,66.20,100.00,70.00,9.00,0.00,29.88,M,10.00,16.00,BKN,OVC,M,M,900.00,1200.00,M,M,M,M,M,M,M,M,M,M,KCNC 110315Z AUTO 07009G16KT 10SM BKN009 OVC012 19/19 A2988 RMK AO2
CNC,2021-07-11 03:35,-93.3608,41.0184,66.20,66.20,100.00,80.00,8.00,0.00,29.89,M,9.00,15.00,OVC,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,M,KCNC 110335Z AUTO 08008G15KT 9SM OVC009 19/19 A2989 RMK AO2
CNC,2021-07-11 03:55,-93.3608,41.0184,66.20,66.20,100.00,60.00,5.00,0.00,29.90,M,9.00,13.00,OVC,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,M,KCNC 110355Z AUTO 06005G13KT 9SM OVC009 19/19 A2990 RMK AO2
CNC,2021-07-11 04:15,-93.3608,41.0184,66.20,66.20,100.00,M,M,0.00,29.90,M,9.00,M,BKN,BKN,OVC,M,900.00,4300.00,8000.00,M,M,M,M,M,M,M,M,M,KCNC 110415Z AUTO 9SM BKN009 BKN043 OVC080 19/19 A2990 RMK AO2
CNC,2021-07-11 04:35,-93.3608,41.0184,66.20,66.20,100.00,40.00,5.00,0.00,29.90,M,8.00,M,FEW,SCT,BKN,M,1100.00,7000.00,12000.00,M,M,M,M,M,M,M,M,M,KCNC 110435Z AUTO 04005KT 8SM FEW011 SCT070 BKN120 19/19 A2990 RMK AO2
CNC,2021-07-11 04:55,-93.3608,41.0184,66.20,66.20,100.00,30.00,4.00,0.00,29.91,M,8.00,M,FEW,FEW,BKN,M,1000.00,8500.00,12000.00,M,M,M,M,M,M,M,M,M,KCNC 110455Z AUTO 03004KT 8SM FEW010 FEW085 BKN120 19/19 A2991 RMK AO2
CNC,2021-07-11 05:15,-93.3608,41.0184,66.20,66.20,100.00,20.00,6.00,0.00,29.90,M,7.00,M,FEW,SCT,BKN,M,1000.00,2900.00,9500.00,M,M,M,M,M,M,M,M,M,KCNC 110515Z AUTO 02006KT 7SM FEW010 SCT029 BKN095 19/19 A2990 RMK AO2
CNC,2021-07-11 05:35,-93.3608,41.0184,66.20,66.20,100.00,20.00,5.00,0.00,29.90,M,6.00,M,SCT,BKN,OVC,M,1500.00,2200.00,2900.00,M,BR,M,M,M,M,M,M,M,KCNC 110535Z AUTO 02005KT 6SM BR SCT015 BKN022 OVC029 19/19 A2990 RMK AO2
CNC,2021-07-11 05:55,-93.3608,41.0184,66.20,66.20,100.00,M,M,0.00,29.90,M,6.00,M,BKN,OVC,M,M,1400.00,2000.00,M,M,BR,M,M,M,M,M,M,M,KCNC 110555Z AUTO 6SM BR BKN014 OVC020 19/19 A2990 RMK AO2
