#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
COS,2021-07-11 00:00,-104.7008,38.8058,M,M,M,M,M,M,30.29,M,10.00,M,BKN,BKN,M,M,7000.00,9000.00,M,M,M,M,M,M,M,M,M,M,KCOS 110000Z AUTO /////KT 10SM BKN070 BKN090 26/08 A3029 RMK T02600080 MADISHF
COS,2021-07-11 00:05,-104.7008,38.8058,M,M,M,M,M,M,30.29,M,10.00,M,BKN,BKN,M,M,7000.00,9000.00,M,M,M,M,M,M,M,M,M,M,KCOS 110005Z AUTO /////KT 10SM BKN070 BKN090 26/08 A3029 RMK T02600080 MADISHF
COS,2021-07-11 00:10,-104.7008,38.8058,M,M,M,80.00,7.00,M,30.30,M,10.00,M,BKN,BKN,M,M,7000.00,9000.00,M,M,M,M,M,M,M,M,M,M,KCOS 110010Z AUTO 08007KT 10SM BKN070 BKN090 26/08 A3029 RMK T02600080 MADISHF
COS,2021-07-11 00:15,-104.7008,38.8058,M,M,M,M,M,M,30.29,M,10.00,M,BKN,BKN,M,M,7000.00,9000.00,M,M,M,M,M,M,M,M,M,M,KCOS 110015Z AUTO /////KT 10SM BKN070 BKN090 26/08 A3029 RMK T02600080 MADISHF
COS,2021-07-11 00:20,-104.7008,38.8058,M,M,M,M,M,M,30.29,M,10.00,M,BKN,BKN,M,M,7000.00,9000.00,M,M,M,M,M,M,M,M,M,M,KCOS 110020Z AUTO /////KT 10SM BKN070 BKN090 26/09 A3029 RMK T02600090 MADISHF
COS,2021-07-11 00:25,-104.7008,38.8058,M,M,M,M,M,M,30.29,M,10.00,M,BKN,BKN,M,M,7000.00,9000.00,M,M,M,M,M,M,M,M,M,M,KCOS 110025Z AUTO /////KT 10SM BKN070 BKN090 26/08 A3029 RMK T02600080 MADISHF
COS,2021-07-11 00:30,-104.7008,38.8058,M,M,M,M,M,M,30.30,M,10.00,M,BKN,BKN,M,M,7000.00,9000.00,M,M,M,M,M,M,M,M,M,M,KCOS 110030Z AUTO /////KT 10SM BKN070 BKN090 26/08 A3029 RMK T02600080 MADISHF
COS,2021-07-11 00:35,-104.7008,38.8058,M,M,M,M,M,M,30.29,M,10.00,M,BKN,BKN,M,M,7000.00,9000.00,M,M,M,M,M,M,M,M,M,M,KCOS 110035Z AUTO /////KT 10SM BKN070 BKN090 26/08 A3029 RMK T02600080 MADISHF
COS,2021-07-11 00:40,-104.7008,38.8058,M,M,M,M,M,M,30.29,M,10.00,M,BKN,BKN,M,M,7000.00,9000.00,M,M,M,M,M,M,M,M,M,M,KCOS 110040Z AUTO /////KT 10SM BKN070 BKN090 26/08 A3029 RMK T02600080 MADISHF
COS,2021-07-11 00:45,-104.7008,38.8058,M,M,M,M,M,M,30.29,M,10.00,M,BKN,BKN,M,M,7000.00,9000.00,M,M,M,M,M,M,M,M,M,M,KCOS 110045Z AUTO /////KT 10SM BKN070 BKN090 26/08 A3029 RMK T02600080 MADISHF
