#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CPW,2021-07-11 00:15,-106.8000,37.4500,69.80,10.40,9.84,350.00,5.00,0.00,30.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCPW 110015Z AUTO 35005KT 10SM CLR 21/M12 A3073 RMK AO2
CPW,2021-07-11 00:35,-106.8000,37.4500,68.00,10.40,10.47,360.00,8.00,0.00,30.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCPW 110035Z AUTO 36008KT 10SM CLR 20/M12 A3073 RMK AO2
CPW,2021-07-11 00:55,-106.8000,37.4500,68.00,8.60,9.65,340.00,8.00,0.00,30.73,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCPW 110055Z AUTO 34008G14KT 10SM CLR 20/M13 A3073 RMK AO2
CPW,2021-07-11 01:15,-106.8000,37.4500,66.20,10.40,11.14,350.00,7.00,0.00,30.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCPW 110115Z AUTO 35007KT 10SM CLR 19/M12 A3074 RMK AO2
CPW,2021-07-11 01:35,-106.8000,37.4500,64.40,12.20,12.84,360.00,6.00,0.00,30.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCPW 110135Z AUTO 36006KT 10SM CLR 18/M11 A3074 RMK AO2
CPW,2021-07-11 01:55,-106.8000,37.4500,62.60,12.20,13.68,360.00,9.00,0.00,30.73,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCPW 110155Z AUTO 36009G15KT 10SM CLR 17/M11 A3073 RMK AO2
CPW,2021-07-11 02:15,-106.8000,37.4500,62.60,12.20,13.68,350.00,6.00,0.00,30.73,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCPW 110215Z AUTO 35006G15KT 10SM CLR 17/M11 A3073 RMK AO2
CPW,2021-07-11 02:35,-106.8000,37.4500,59.00,14.00,16.83,350.00,8.00,0.00,30.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCPW 110235Z AUTO 35008KT 10SM CLR 15/M10 A3073 RMK AO2
CPW,2021-07-11 02:55,-106.8000,37.4500,59.00,14.00,16.83,350.00,8.00,0.00,30.73,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCPW 110255Z AUTO 35008G15KT 10SM CLR 15/M10 A3073 RMK AO2
CPW,2021-07-11 03:15,-106.8000,37.4500,59.00,14.00,16.83,350.00,7.00,0.00,30.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCPW 110315Z AUTO 35007KT 10SM CLR 15/M10 A3073 RMK AO2
