#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CSQ,2021-07-11 00:15,-94.3608,41.0188,66.20,64.40,93.92,0.00,0.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCSQ 110015Z AUTO 00000KT 10SM CLR 19/18 A2986 RMK AO2
CSQ,2021-07-11 00:35,-94.3608,41.0188,66.20,66.20,100.00,250.00,7.00,0.00,29.87,M,10.00,M,BKN,BKN,M,M,1000.00,12000.00,M,M,M,M,M,M,M,M,M,M,KCSQ 110035Z AUTO 25007KT 10SM BKN010 BKN120 19/19 A2987 RMK AO2
CSQ,2021-07-11 00:55,-94.3608,41.0188,66.20,66.20,100.00,230.00,4.00,0.00,29.88,M,10.00,M,SCT,OVC,M,M,1000.00,1500.00,M,M,M,M,M,M,M,M,M,M,KCSQ 110055Z AUTO 23004KT 10SM SCT010 OVC015 19/19 A2988 RMK AO2
CSQ,2021-07-11 01:15,-94.3608,41.0188,66.20,66.20,100.00,260.00,5.00,0.00,29.88,M,10.00,M,BKN,OVC,M,M,1600.00,2400.00,M,M,M,M,M,M,M,M,M,M,KCSQ 110115Z AUTO 26005KT 10SM BKN016 OVC024 19/19 A2988 RMK AO2
CSQ,2021-07-11 01:35,-94.3608,41.0188,64.40,64.40,100.00,270.00,4.00,0.00,29.87,M,10.00,M,FEW,FEW,BKN,M,1400.00,1800.00,2300.00,M,M,M,M,M,M,M,M,M,KCSQ 110135Z AUTO 27004KT 10SM FEW014 FEW018 BKN023 18/18 A2987 RMK AO2
CSQ,2021-07-11 01:55,-94.3608,41.0188,64.40,64.40,100.00,260.00,4.00,0.00,29.88,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KCSQ 110155Z AUTO 26004KT 10SM FEW120 18/18 A2988 RMK AO2
CSQ,2021-07-11 02:15,-94.3608,41.0188,64.40,64.40,100.00,280.00,4.00,0.00,29.88,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KCSQ 110215Z AUTO 28004KT 10SM SCT120 18/18 A2988 RMK AO2
CSQ,2021-07-11 02:35,-94.3608,41.0188,64.40,64.40,100.00,0.00,0.00,0.00,29.89,M,10.00,M,BKN,OVC,M,M,2300.00,12000.00,M,M,M,M,M,M,M,M,M,M,KCSQ 110235Z AUTO 00000KT 10SM BKN023 OVC120 18/18 A2989 RMK AO2
CSQ,2021-07-11 02:55,-94.3608,41.0188,64.40,64.40,100.00,0.00,0.00,0.00,29.90,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KCSQ 110255Z AUTO 00000KT 10SM OVC021 18/18 A2990 RMK AO2
CSQ,2021-07-11 03:15,-94.3608,41.0188,64.40,64.40,100.00,0.00,0.00,0.00,29.91,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KCSQ 110315Z AUTO 00000KT 10SM OVC021 18/18 A2991 RMK AO2
CSQ,2021-07-11 03:35,-94.3608,41.0188,66.20,66.20,100.00,350.00,4.00,0.00,29.91,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,M,KCSQ 110335Z AUTO 35004KT 10SM OVC023 19/19 A2991 RMK AO2
CSQ,2021-07-11 03:55,-94.3608,41.0188,66.20,66.20,100.00,360.00,4.00,0.00,29.91,M,10.00,M,BKN,OVC,M,M,2300.00,3100.00,M,M,M,M,M,M,M,M,M,M,KCSQ 110355Z AUTO 36004KT 10SM BKN023 OVC031 19/19 A2991 RMK AO2
CSQ,2021-07-11 04:15,-94.3608,41.0188,66.20,66.20,100.00,0.00,0.00,0.00,29.92,M,10.00,M,BKN,BKN,OVC,M,2100.00,2900.00,5000.00,M,M,M,M,M,M,M,M,M,KCSQ 110415Z AUTO 00000KT 10SM BKN021 BKN029 OVC050 19/19 A2992 RMK AO2
CSQ,2021-07-11 04:35,-94.3608,41.0188,64.40,64.40,100.00,120.00,4.00,0.00,29.92,M,5.00,M,SCT,OVC,M,M,600.00,1800.00,M,M,BR,M,M,M,M,M,M,M,KCSQ 110435Z AUTO 12004KT 5SM BR SCT006 OVC018 18/18 A2992 RMK AO2
