#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CWI,2021-07-11 00:00,-90.3328,41.8295,M,M,M,50.00,11.00,M,29.90,M,10.00,M,SCT,BKN,OVC,M,1400.00,3200.00,4300.00,M,M,M,M,M,M,M,M,M,KCWI 110000Z AUTO 05011KT 10SM SCT014 BKN032 OVC043 21/21 A2989 RMK T02100210 MADISHF
CWI,2021-07-11 00:05,-90.3328,41.8295,M,M,M,60.00,10.00,M,29.90,M,10.00,M,SCT,BKN,OVC,M,1400.00,3200.00,4300.00,M,M,M,M,M,M,M,M,M,KCWI 110005Z AUTO 06010KT 10SM SCT014 BKN032 OVC043 21/21 A2989 RMK T02100210 MADISHF
CWI,2021-07-11 00:10,-90.3328,41.8295,M,M,M,50.00,10.00,M,29.90,M,10.00,M,SCT,BKN,OVC,M,1400.00,3200.00,4300.00,M,M,M,M,M,M,M,M,M,KCWI 110010Z AUTO 05010KT 10SM SCT014 BKN032 OVC043 21/21 A2989 RMK T02100210 MADISHF
CWI,2021-07-11 00:15,-90.3328,41.8295,M,M,M,60.00,11.00,M,29.91,M,10.00,M,SCT,OVC,M,M,1400.00,3200.00,M,M,M,M,M,M,M,M,M,M,KCWI 110015Z AUTO 06011KT 10SM SCT014 OVC032 21/20 A2990 RMK T02100200 MADISHF
CWI,2021-07-11 00:20,-90.3328,41.8295,M,M,M,50.00,11.00,M,29.91,M,10.00,M,BKN,OVC,M,M,1400.00,3200.00,M,M,M,M,M,M,M,M,M,M,KCWI 110020Z AUTO 05011KT 10SM BKN014 OVC032 21/20 A2990 RMK T02100200 MADISHF
CWI,2021-07-11 00:25,-90.3328,41.8295,M,M,M,70.00,11.00,M,29.91,M,10.00,M,BKN,OVC,M,M,1400.00,3200.00,M,M,M,M,M,M,M,M,M,M,KCWI 110025Z AUTO 07011KT 10SM BKN014 OVC032 21/19 A2990 RMK T02100190 MADISHF
CWI,2021-07-11 00:30,-90.3328,41.8295,M,M,M,70.00,11.00,M,29.90,M,10.00,M,SCT,OVC,M,M,1400.00,3000.00,M,M,M,M,M,M,M,M,M,M,KCWI 110030Z AUTO 07011KT 10SM SCT014 OVC030 21/19 A2989 RMK T02100190 MADISHF
CWI,2021-07-11 00:35,-90.3328,41.8295,M,M,M,60.00,11.00,M,29.90,M,10.00,M,FEW,OVC,M,M,1400.00,3000.00,M,M,M,M,M,M,M,M,M,M,KCWI 110035Z AUTO 06011KT 10SM FEW014 OVC030 21/19 A2989 RMK T02100190 MADISHF
CWI,2021-07-11 00:40,-90.3328,41.8295,M,M,M,60.00,11.00,M,29.90,M,10.00,M,FEW,OVC,M,M,1400.00,2800.00,M,M,M,M,M,M,M,M,M,M,KCWI 110040Z AUTO 06011KT 10SM FEW014 OVC028 21/20 A2989 RMK T02100200 MADISHF
CWI,2021-07-11 00:45,-90.3328,41.8295,M,M,M,60.00,11.00,M,29.90,M,10.00,M,FEW,OVC,M,M,1600.00,2800.00,M,M,M,M,M,M,M,M,M,M,KCWI 110045Z AUTO 06011KT 10SM FEW016 OVC028 21/20 A2989 RMK T02100200 MADISHF
CWI,2021-07-11 00:47,-90.3328,41.8295,69.80,66.20,88.34,60.00,10.00,0.00,29.90,M,10.00,M,FEW,OVC,M,M,1600.00,2800.00,M,M,M,M,M,M,M,M,M,M,KCWI 110047Z AUTO 06010KT 10SM FEW016 OVC028 21/19 A2990 RMK AO2
CWI,2021-07-11 00:50,-90.3328,41.8295,M,M,M,60.00,9.00,M,29.90,M,10.00,M,FEW,OVC,M,M,1600.00,2800.00,M,M,M,M,M,M,M,M,M,M,KCWI 110050Z AUTO 06009KT 10SM FEW016 OVC028 21/20 A2989 RMK T02100200 MADISHF
CWI,2021-07-11 00:55,-90.3328,41.8295,M,M,M,60.00,10.00,M,29.90,M,10.00,M,BKN,OVC,M,M,2800.00,3500.00,M,M,M,M,M,M,M,M,M,M,KCWI 110055Z AUTO 06010KT 10SM BKN028 OVC035 20/20 A2989 RMK T02000200 MADISHF
CWI,2021-07-11 00:56,-90.3328,41.8295,68.00,68.00,100.00,60.00,11.00,0.00,29.90,1012.60,10.00,M,BKN,OVC,M,M,2800.00,3500.00,M,M,M,M,M,M,M,M,M,M,KCWI 110056Z AUTO 06011KT 10SM BKN028 OVC035 20/20 A2990 RMK AO2 SLP126 T02000200
CWI,2021-07-11 01:00,-90.3328,41.8295,M,M,M,50.00,11.00,M,29.91,M,10.00,M,FEW,BKN,OVC,M,1500.00,2800.00,3700.00,M,M,M,M,M,M,M,M,M,KCWI 110100Z AUTO 05011KT 10SM FEW015 BKN028 OVC037 20/20 A2990 RMK T02000200 MADISHF
CWI,2021-07-11 01:05,-90.3328,41.8295,M,M,M,50.00,10.00,M,29.91,M,10.00,M,SCT,BKN,OVC,M,1500.00,2800.00,3700.00,M,M,M,M,M,M,M,M,M,KCWI 110105Z AUTO 05010KT 10SM SCT015 BKN028 OVC037 20/19 A2990 RMK T02000190 MADISHF
CWI,2021-07-11 01:10,-90.3328,41.8295,M,M,M,60.00,11.00,M,29.90,M,10.00,M,FEW,BKN,OVC,M,1500.00,2800.00,3700.00,M,M,M,M,M,M,M,M,M,KCWI 110110Z AUTO 06011KT 10SM FEW015 BKN028 OVC037 20/19 A2989 RMK T02000190 MADISHF
CWI,2021-07-11 01:15,-90.3328,41.8295,M,M,M,60.00,13.00,M,29.91,M,10.00,M,SCT,SCT,OVC,M,1500.00,2800.00,3500.00,M,M,M,M,M,M,M,M,M,KCWI 110115Z AUTO 06013KT 10SM SCT015 SCT028 OVC035 20/19 A2990 RMK T02000190 MADISHF
CWI,2021-07-11 01:20,-90.3328,41.8295,M,M,M,50.00,11.00,M,29.91,M,10.00,M,SCT,OVC,M,M,1500.00,3500.00,M,M,M,M,M,M,M,M,M,M,KCWI 110120Z AUTO 05011KT 10SM SCT015 OVC035 20/19 A2990 RMK T02000190 MADISHF
CWI,2021-07-11 01:25,-90.3328,41.8295,68.00,66.20,93.97,50.00,11.00,0.00,29.91,M,10.00,M,SCT,SCT,OVC,M,1500.00,2900.00,3500.00,M,M,M,M,M,M,M,M,M,KCWI 110125Z AUTO 05011KT 10SM SCT015 SCT029 OVC035 20/19 A2991 RMK AO2
CWI,2021-07-11 01:25,-90.3328,41.8295,M,M,M,50.00,11.00,M,29.91,M,10.00,M,SCT,SCT,OVC,M,1500.00,2900.00,3500.00,M,M,M,M,M,M,M,M,M,KCWI 110125Z AUTO 05011KT 10SM SCT015 SCT029 OVC035 20/19 A2990 RMK T02000190 MADISHF
CWI,2021-07-11 01:30,-90.3328,41.8295,M,M,M,60.00,13.00,M,29.91,M,10.00,M,FEW,SCT,OVC,M,1500.00,2700.00,3500.00,M,M,M,M,M,M,M,M,M,KCWI 110130Z AUTO 06013KT 10SM FEW015 SCT027 OVC035 20/19 A2990 RMK T02000190 MADISHF
CWI,2021-07-11 01:35,-90.3328,41.8295,M,M,M,60.00,13.00,M,29.91,M,10.00,M,FEW,SCT,OVC,M,1500.00,2700.00,3500.00,M,M,M,M,M,M,M,M,M,KCWI 110135Z AUTO 06013KT 10SM FEW015 SCT027 OVC035 20/19 A2990 RMK T02000190 MADISHF
CWI,2021-07-11 01:40,-90.3328,41.8295,M,M,M,60.00,10.00,M,29.91,M,10.00,M,FEW,SCT,OVC,M,1500.00,2700.00,3500.00,M,M,M,M,M,M,M,M,M,KCWI 110140Z AUTO 06010KT 10SM FEW015 SCT027 OVC035 20/19 A2990 RMK T02000190 MADISHF
CWI,2021-07-11 01:45,-90.3328,41.8295,M,M,M,50.00,10.00,M,29.91,M,10.00,M,FEW,BKN,OVC,M,1999.00,2700.00,3500.00,M,M,M,M,M,M,M,M,M,KCWI 110145Z AUTO 05010KT 10SM FEW019 BKN027 OVC035 20/19 A2990 RMK T02000190 MADISHF
