#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
DEN,2021-07-11 00:00,-104.6575,39.8328,M,M,M,40.00,13.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110000Z AUTO 04013KT 10SM CLR 28/07 A3023 RMK T02800070 MADISHF
DEN,2021-07-11 00:05,-104.6575,39.8328,M,M,M,50.00,10.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110005Z AUTO 05010KT 10SM CLR 28/07 A3025 RMK T02800070 MADISHF
DEN,2021-07-11 00:10,-104.6575,39.8328,M,M,M,60.00,5.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110010Z AUTO 06005KT 10SM CLR 27/07 A3025 RMK T02700070 MADISHF
DEN,2021-07-11 00:15,-104.6575,39.8328,M,M,M,60.00,8.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110015Z AUTO 06008KT 10SM CLR 27/07 A3025 RMK T02700070 MADISHF
DEN,2021-07-11 00:20,-104.6575,39.8328,M,M,M,40.00,11.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110020Z AUTO 04011KT 10SM CLR 28/07 A3025 RMK T02800070 MADISHF
DEN,2021-07-11 00:25,-104.6575,39.8328,M,M,M,70.00,7.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110025Z AUTO 07007KT 10SM CLR 27/07 A3025 RMK T02700070 MADISHF
DEN,2021-07-11 00:30,-104.6575,39.8328,M,M,M,70.00,10.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110030Z AUTO 07010KT 10SM CLR 27/07 A3025 RMK T02700070 MADISHF
DEN,2021-07-11 00:35,-104.6575,39.8328,M,M,M,50.00,10.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110035Z AUTO 05010KT 10SM CLR 27/07 A3025 RMK T02700070 MADISHF
DEN,2021-07-11 00:40,-104.6575,39.8328,M,M,M,50.00,7.00,M,30.25,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KDEN 110040Z AUTO 05007KT 10SM FEW110 27/07 A3025 RMK T02700070 MADISHF
DEN,2021-07-11 00:45,-104.6575,39.8328,M,M,M,60.00,8.00,M,30.25,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KDEN 110045Z AUTO 06008KT 10SM FEW110 27/07 A3025 RMK T02700070 MADISHF
DEN,2021-07-11 00:50,-104.6575,39.8328,M,M,M,60.00,9.00,M,30.25,M,10.00,14.00,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KDEN 110050Z AUTO 06009G14KT 10SM FEW110 27/07 A3025 RMK T02700070 MADISHF
DEN,2021-07-11 00:53,-104.6575,39.8328,80.10,44.10,28.01,60.00,11.00,0.00,30.25,1016.20,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,79.12,KDEN 110053Z 06011KT 10SM FEW110 27/07 A3025 RMK AO2 SLP162 T02670067
DEN,2021-07-11 00:55,-104.6575,39.8328,M,M,M,50.00,9.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110055Z AUTO 05009KT 10SM CLR 27/06 A3025 RMK T02700060 MADISHF
DEN,2021-07-11 01:00,-104.6575,39.8328,M,M,M,70.00,9.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110100Z AUTO 07009KT 10SM CLR 27/06 A3025 RMK T02700060 MADISHF
DEN,2021-07-11 01:05,-104.6575,39.8328,M,M,M,70.00,11.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110105Z AUTO 07011KT 10SM CLR 27/06 A3025 RMK T02700060 MADISHF
DEN,2021-07-11 01:10,-104.6575,39.8328,M,M,M,40.00,10.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110110Z AUTO 04010KT 10SM CLR 26/06 A3025 RMK T02600060 MADISHF
DEN,2021-07-11 01:15,-104.6575,39.8328,M,M,M,60.00,10.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110115Z AUTO 06010KT 10SM CLR 26/06 A3025 RMK T02600060 MADISHF
DEN,2021-07-11 01:20,-104.6575,39.8328,M,M,M,50.00,11.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110120Z AUTO 05011KT 10SM CLR 26/06 A3025 RMK T02600060 MADISHF
DEN,2021-07-11 01:25,-104.6575,39.8328,M,M,M,70.00,11.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110125Z AUTO 07011KT 10SM CLR 26/06 A3025 RMK T02600060 MADISHF
DEN,2021-07-11 01:30,-104.6575,39.8328,M,M,M,70.00,10.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110130Z AUTO 07010KT 10SM CLR 26/05 A3025 RMK T02600050 MADISHF
DEN,2021-07-11 01:35,-104.6575,39.8328,M,M,M,60.00,9.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110135Z AUTO 06009KT 10SM CLR 26/05 A3026 RMK T02600050 MADISHF
DEN,2021-07-11 01:40,-104.6575,39.8328,M,M,M,70.00,8.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110140Z AUTO 07008KT 10SM CLR 25/05 A3025 RMK T02500050 MADISHF
DEN,2021-07-11 01:45,-104.6575,39.8328,M,M,M,70.00,8.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110145Z AUTO 07008KT 10SM CLR 25/05 A3026 RMK T02500050 MADISHF
DEN,2021-07-11 01:50,-104.6575,39.8328,M,M,M,60.00,7.00,M,30.26,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KDEN 110150Z AUTO 06007KT 10SM FEW110 24/05 A3026 RMK T02400050 MADISHF
DEN,2021-07-11 01:53,-104.6575,39.8328,75.90,42.10,29.80,60.00,7.00,0.00,30.26,1016.50,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KDEN 110153Z 06007KT 10SM FEW110 24/06 A3026 RMK AO2 SLP165 T02440056
DEN,2021-07-11 01:55,-104.6575,39.8328,M,M,M,60.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110155Z AUTO 06007KT 10SM CLR 24/06 A3026 RMK T02400060 MADISHF
DEN,2021-07-11 02:00,-104.6575,39.8328,M,M,M,70.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110200Z AUTO 07007KT 10SM CLR 24/06 A3026 RMK T02400060 MADISHF
DEN,2021-07-11 02:05,-104.6575,39.8328,M,M,M,70.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110205Z AUTO 07007KT 10SM CLR 24/06 A3026 RMK T02400060 MADISHF
DEN,2021-07-11 02:10,-104.6575,39.8328,M,M,M,60.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110210Z AUTO 06007KT 10SM CLR 23/06 A3026 RMK T02300060 MADISHF
DEN,2021-07-11 02:15,-104.6575,39.8328,M,M,M,60.00,8.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110215Z AUTO 06008KT 10SM CLR 23/06 A3026 RMK T02300060 MADISHF
DEN,2021-07-11 02:20,-104.6575,39.8328,M,M,M,60.00,8.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110220Z AUTO 06008KT 10SM CLR 23/06 A3026 RMK T02300060 MADISHF
DEN,2021-07-11 02:25,-104.6575,39.8328,M,M,M,60.00,8.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110225Z AUTO 06008KT 10SM CLR 23/05 A3026 RMK T02300050 MADISHF
DEN,2021-07-11 02:30,-104.6575,39.8328,M,M,M,60.00,8.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110230Z AUTO 06008KT 10SM CLR 22/05 A3026 RMK T02200050 MADISHF
DEN,2021-07-11 02:35,-104.6575,39.8328,M,M,M,60.00,8.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDEN 110235Z AUTO 06008KT 10SM CLR 22/05 A3026 RMK T02200050 MADISHF
DEN,2021-07-11 02:40,-104.6575,39.8328,M,M,M,70.00,7.00,M,30.27,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KDEN 110240Z AUTO 07007KT 10SM FEW110 22/05 A3027 RMK T02200050 MADISHF
