#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
DRO,2021-07-11 00:00,-107.7538,37.1515,M,M,M,330.00,15.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110000Z AUTO 33015KT 10SM CLR 36/M10 RMK T03601100 MADISHF
DRO,2021-07-11 00:05,-107.7538,37.1515,M,M,M,320.00,14.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110005Z AUTO 32014KT 10SM CLR 35/M12 RMK T03501120 MADISHF
DRO,2021-07-11 00:10,-107.7538,37.1515,M,M,M,330.00,15.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110010Z AUTO 33015KT 10SM CLR 35/M11 RMK T03501110 MADISHF
DRO,2021-07-11 00:15,-107.7538,37.1515,M,M,M,320.00,13.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110015Z AUTO 32013KT 10SM CLR 35/M13 RMK T03501130 MADISHF
DRO,2021-07-11 00:20,-107.7538,37.1515,M,M,M,330.00,14.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110020Z AUTO 33014KT 10SM CLR 35/M12 RMK T03501120 MADISHF
DRO,2021-07-11 00:25,-107.7538,37.1515,M,M,M,340.00,13.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110025Z AUTO 34013KT 10SM CLR 35/M11 RMK T03501110 MADISHF
DRO,2021-07-11 00:30,-107.7538,37.1515,M,M,M,340.00,15.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110030Z AUTO 34015KT 10SM CLR 35/M11 RMK T03501110 MADISHF
DRO,2021-07-11 00:35,-107.7538,37.1515,M,M,M,340.00,17.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110035Z AUTO 34017KT 10SM CLR 34/M11 RMK T03401110 MADISHF
DRO,2021-07-11 00:40,-107.7538,37.1515,M,M,M,340.00,15.00,M,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110040Z AUTO 34015KT 10SM CLR 34/M11 A3013 RMK T03401110 MADISHF
DRO,2021-07-11 00:45,-107.7538,37.1515,M,M,M,330.00,14.00,M,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110045Z AUTO 33014KT 10SM CLR 34/M11 A3013 RMK T03401110 MADISHF
DRO,2021-07-11 00:50,-107.7538,37.1515,M,M,M,330.00,15.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110050Z AUTO 33015KT 10SM CLR 34/M11 RMK T03401110 MADISHF
DRO,2021-07-11 00:53,-107.7538,37.1515,93.00,12.90,5.16,330.00,15.00,0.00,30.14,1009.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.71,KDRO 110053Z AUTO 33015KT 10SM CLR 34/M11 A3014 RMK AO2 SLP098 T03391106
DRO,2021-07-11 00:55,-107.7538,37.1515,M,M,M,330.00,13.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110055Z AUTO 33013KT 10SM CLR 34/M11 RMK T03401110 MADISHF
DRO,2021-07-11 01:00,-107.7538,37.1515,M,M,M,340.00,16.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110100Z AUTO 34016KT 10SM CLR 34/M10 RMK T03401100 MADISHF
DRO,2021-07-11 01:05,-107.7538,37.1515,M,M,M,330.00,16.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110105Z AUTO 33016KT 10SM CLR 34/M11 RMK T03401110 MADISHF
DRO,2021-07-11 01:10,-107.7538,37.1515,M,M,M,330.00,15.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110110Z AUTO 33015KT 10SM CLR 33/M12 RMK T03301120 MADISHF
DRO,2021-07-11 01:15,-107.7538,37.1515,M,M,M,340.00,15.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110115Z AUTO 34015KT 10SM CLR 33/M11 RMK T03301110 MADISHF
DRO,2021-07-11 01:20,-107.7538,37.1515,M,M,M,340.00,16.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110120Z AUTO 34016KT 10SM CLR 33/M12 RMK T03301120 MADISHF
DRO,2021-07-11 01:25,-107.7538,37.1515,M,M,M,340.00,11.00,M,M,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110125Z AUTO 34011G17KT 10SM CLR 33/M12 RMK T03301120 MADISHF
DRO,2021-07-11 01:30,-107.7538,37.1515,M,M,M,340.00,11.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110130Z AUTO 34011KT 10SM CLR 33/M11 RMK T03301110 MADISHF
DRO,2021-07-11 01:35,-107.7538,37.1515,M,M,M,340.00,11.00,M,M,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110135Z AUTO 34011G19KT 10SM CLR 32/M10 RMK T03201100 MADISHF
DRO,2021-07-11 01:40,-107.7538,37.1515,M,M,M,340.00,11.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110140Z AUTO 34011KT 10SM CLR 32/M10 RMK T03201100 MADISHF
DRO,2021-07-11 01:45,-107.7538,37.1515,M,M,M,340.00,13.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110145Z AUTO 34013KT 10SM CLR 32/M10 RMK T03201100 MADISHF
DRO,2021-07-11 01:50,-107.7538,37.1515,M,M,M,340.00,10.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110150Z AUTO 34010KT 10SM CLR 32/M11 RMK T03201110 MADISHF
DRO,2021-07-11 01:53,-107.7538,37.1515,88.00,12.90,6.04,340.00,10.00,0.00,30.15,1010.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,83.10,KDRO 110153Z AUTO 34010KT 10SM CLR 31/M11 A3015 RMK AO2 SLP102 T03111106
DRO,2021-07-11 01:55,-107.7538,37.1515,M,M,M,340.00,9.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110155Z AUTO 34009KT 10SM CLR 31/M11 RMK T03101110 MADISHF
DRO,2021-07-11 02:00,-107.7538,37.1515,M,M,M,330.00,7.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110200Z AUTO 33007KT 10SM CLR 31/M10 RMK T03101100 MADISHF
DRO,2021-07-11 02:05,-107.7538,37.1515,M,M,M,330.00,8.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110205Z AUTO 33008KT 10SM CLR 30/M09 RMK T03001090 MADISHF
DRO,2021-07-11 02:10,-107.7538,37.1515,M,M,M,330.00,8.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110210Z AUTO 33008KT 10SM CLR 30/M10 RMK T03001100 MADISHF
DRO,2021-07-11 02:15,-107.7538,37.1515,M,M,M,330.00,11.00,M,M,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110215Z AUTO 33011G16KT 10SM CLR 30/M11 RMK T03001110 MADISHF
DRO,2021-07-11 02:20,-107.7538,37.1515,M,M,M,330.00,9.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110220Z AUTO 33009KT 10SM CLR 29/M11 RMK T02901110 MADISHF
DRO,2021-07-11 02:25,-107.7538,37.1515,M,M,M,340.00,9.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110225Z AUTO 34009KT 10SM CLR 29/M11 RMK T02901110 MADISHF
DRO,2021-07-11 02:30,-107.7538,37.1515,M,M,M,10.00,5.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110230Z AUTO 01005KT 10SM CLR 29/M11 RMK T02901110 MADISHF
DRO,2021-07-11 02:35,-107.7538,37.1515,M,M,M,360.00,8.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110235Z AUTO 36008KT 10SM CLR 28/M09 RMK T02801090 MADISHF
DRO,2021-07-11 02:40,-107.7538,37.1515,M,M,M,340.00,8.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110240Z AUTO 34008KT 10SM CLR 28/M10 RMK T02801100 MADISHF
DRO,2021-07-11 02:45,-107.7538,37.1515,M,M,M,350.00,8.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110245Z AUTO 35008KT 10SM CLR 28/M10 RMK T02801100 MADISHF
DRO,2021-07-11 02:50,-107.7538,37.1515,M,M,M,350.00,5.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110250Z AUTO 35005KT 10SM CLR 27/M09 RMK T02701090 MADISHF
DRO,2021-07-11 02:53,-107.7538,37.1515,80.10,16.00,8.92,350.00,5.00,0.00,30.16,1010.30,10.00,14.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.87,KDRO 110253Z AUTO 35005G14KT 10SM CLR 27/M09 A3016 RMK AO2 SLP103 T02671089 53004
DRO,2021-07-11 02:55,-107.7538,37.1515,M,M,M,340.00,5.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110255Z AUTO 34005KT 10SM CLR 27/M09 RMK T02701090 MADISHF
DRO,2021-07-11 03:00,-107.7538,37.1515,M,M,M,360.00,5.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110300Z AUTO 36005KT 10SM CLR 27/M10 RMK T02701100 MADISHF
DRO,2021-07-11 03:05,-107.7538,37.1515,M,M,M,360.00,5.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110305Z AUTO 36005KT 10SM CLR 26/M10 RMK T02601100 MADISHF
DRO,2021-07-11 03:10,-107.7538,37.1515,M,M,M,360.00,5.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110310Z AUTO 36005KT 10SM CLR 27/M10 RMK T02701100 MADISHF
DRO,2021-07-11 03:15,-107.7538,37.1515,M,M,M,360.00,7.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110315Z AUTO 36007KT 10SM CLR 27/M11 RMK T02701110 MADISHF
DRO,2021-07-11 03:20,-107.7538,37.1515,M,M,M,360.00,5.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KDRO 110320Z AUTO 36005KT 10SM CLR 27/M11 RMK T02701110 MADISHF
