#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
EBS,2021-07-11 00:15,-93.8691,42.4392,66.20,62.60,88.18,60.00,10.00,0.00,29.92,M,10.00,M,BKN,BKN,OVC,M,2500.00,3100.00,8500.00,M,M,M,M,M,M,M,M,M,KEBS 110015Z AUTO 06010KT 10SM BKN025 BKN031 OVC085 19/17 A2992 RMK AO2
EBS,2021-07-11 00:35,-93.8691,42.4392,66.20,62.60,88.18,60.00,9.00,0.00,29.92,M,10.00,14.00,BKN,OVC,M,M,3000.00,6500.00,M,M,M,M,M,M,M,M,M,M,KEBS 110035Z AUTO 06009G14KT 10SM BKN030 OVC065 19/17 A2992 RMK AO2
EBS,2021-07-11 00:55,-93.8691,42.4392,66.20,62.60,88.18,60.00,9.00,0.00,29.92,M,10.00,M,OVC,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,M,KEBS 110055Z AUTO 06009KT 10SM OVC031 19/17 A2992 RMK AO2
EBS,2021-07-11 01:15,-93.8691,42.4392,66.20,60.80,82.74,60.00,9.00,0.00,29.92,M,10.00,M,SCT,BKN,OVC,M,3300.00,5500.00,9500.00,M,M,M,M,M,M,M,M,M,KEBS 110115Z AUTO 06009KT 10SM SCT033 BKN055 OVC095 19/16 A2992 RMK AO2
EBS,2021-07-11 01:35,-93.8691,42.4392,66.20,62.60,88.18,50.00,10.00,0.00,29.92,M,10.00,M,FEW,SCT,OVC,M,5500.00,7500.00,9500.00,M,M,M,M,M,M,M,M,M,KEBS 110135Z AUTO 05010KT 10SM FEW055 SCT075 OVC095 19/17 A2992 RMK AO2
EBS,2021-07-11 01:55,-93.8691,42.4392,66.20,60.80,82.74,40.00,9.00,0.00,29.92,M,9.00,15.00,SCT,OVC,M,M,3700.00,9500.00,M,M,M,M,M,M,M,M,M,M,KEBS 110155Z AUTO 04009G15KT 9SM SCT037 OVC095 19/16 A2992 RMK AO2
EBS,2021-07-11 02:15,-93.8691,42.4392,66.20,60.80,82.74,40.00,9.00,0.00,29.93,M,10.00,M,FEW,OVC,M,M,3700.00,9500.00,M,M,M,M,M,M,M,M,M,M,KEBS 110215Z AUTO 04009KT 10SM FEW037 OVC095 19/16 A2993 RMK AO2
EBS,2021-07-11 02:35,-93.8691,42.4392,64.40,60.80,88.09,30.00,10.00,0.00,29.93,M,10.00,M,BKN,OVC,M,M,7000.00,10000.00,M,M,M,M,M,M,M,M,M,M,KEBS 110235Z AUTO 03010KT 10SM BKN070 OVC100 18/16 A2993 RMK AO2
EBS,2021-07-11 02:55,-93.8691,42.4392,64.40,60.80,88.09,20.00,8.00,0.00,29.95,M,10.00,M,BKN,OVC,M,M,6500.00,10000.00,M,M,M,M,M,M,M,M,M,M,KEBS 110255Z AUTO 02008KT 10SM BKN065 OVC100 18/16 A2995 RMK AO2
EBS,2021-07-11 03:15,-93.8691,42.4392,64.40,62.60,93.88,30.00,7.00,0.00,29.96,M,10.00,M,BKN,OVC,M,M,6500.00,7500.00,M,M,M,M,M,M,M,M,M,M,KEBS 110315Z AUTO 03007KT 10SM BKN065 OVC075 18/17 A2996 RMK AO2
EBS,2021-07-11 03:35,-93.8691,42.4392,64.40,62.60,93.88,20.00,6.00,0.00,29.96,M,10.00,M,SCT,OVC,M,M,7500.00,10000.00,M,M,M,M,M,M,M,M,M,M,KEBS 110335Z AUTO 02006KT 10SM SCT075 OVC100 18/17 A2996 RMK AO2
EBS,2021-07-11 03:55,-93.8691,42.4392,64.40,62.60,93.88,20.00,5.00,0.00,29.96,M,10.00,M,BKN,OVC,M,M,7000.00,10000.00,M,M,M,M,M,M,M,M,M,M,KEBS 110355Z AUTO 02005KT 10SM BKN070 OVC100 18/17 A2996 RMK AO2
EBS,2021-07-11 04:15,-93.8691,42.4392,64.40,64.40,100.00,20.00,6.00,0.00,29.96,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KEBS 110415Z AUTO 02006KT 10SM OVC070 18/18 A2996 RMK AO2
EBS,2021-07-11 04:35,-93.8691,42.4392,64.40,64.40,100.00,20.00,6.00,0.00,29.97,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KEBS 110435Z AUTO 02006KT 10SM OVC075 18/18 A2997 RMK AO2
EBS,2021-07-11 04:55,-93.8691,42.4392,64.40,64.40,100.00,30.00,5.00,0.00,29.97,M,8.00,M,FEW,SCT,OVC,M,2700.00,7500.00,9000.00,M,-RA,M,M,M,M,M,M,M,KEBS 110455Z AUTO 03005KT 8SM -RA FEW027 SCT075 OVC090 18/18 A2997 RMK AO2
EBS,2021-07-11 05:15,-93.8691,42.4392,64.40,64.40,100.00,20.00,4.00,0.00,29.97,M,7.00,M,FEW,SCT,BKN,M,3100.00,6500.00,9000.00,M,-RA,M,M,M,M,M,M,M,KEBS 110515Z AUTO 02004KT 7SM -RA FEW031 SCT065 BKN090 18/18 A2997 RMK AO2
EBS,2021-07-11 05:35,-93.8691,42.4392,64.40,64.40,100.00,10.00,6.00,0.00,29.97,M,10.00,M,FEW,SCT,OVC,M,6000.00,8000.00,11000.00,M,M,M,M,M,M,M,M,M,KEBS 110535Z AUTO 01006KT 10SM FEW060 SCT080 OVC110 18/18 A2997 RMK AO2
EBS,2021-07-11 05:55,-93.8691,42.4392,64.40,64.40,100.00,20.00,6.00,0.00,29.96,M,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,M,KEBS 110555Z AUTO 02006KT 10SM OVC095 18/18 A2996 RMK AO2
EBS,2021-07-11 06:15,-93.8691,42.4392,64.40,64.40,100.00,20.00,6.00,0.00,29.96,M,10.00,M,SCT,OVC,M,M,9500.00,12000.00,M,M,M,M,M,M,M,M,M,M,KEBS 110615Z AUTO 02006KT 10SM SCT095 OVC120 18/18 A2996 RMK AO2
EBS,2021-07-11 06:35,-93.8691,42.4392,64.40,64.40,100.00,10.00,7.00,0.00,29.96,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KEBS 110635Z AUTO 01007KT 10SM BKN120 18/18 A2996 RMK AO2
EBS,2021-07-11 06:55,-93.8691,42.4392,64.40,64.40,100.00,20.00,7.00,0.00,29.96,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KEBS 110655Z AUTO 02007KT 10SM FEW120 18/18 A2996 RMK AO2
EBS,2021-07-11 07:15,-93.8691,42.4392,62.60,62.60,100.00,10.00,7.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEBS 110715Z AUTO 01007KT 10SM CLR 17/17 A2996 RMK AO2
EBS,2021-07-11 07:35,-93.8691,42.4392,62.60,62.60,100.00,10.00,6.00,0.00,29.96,M,10.00,M,SCT,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KEBS 110735Z AUTO 01006KT 10SM SCT090 17/17 A2996 RMK AO2
EBS,2021-07-11 07:55,-93.8691,42.4392,62.60,62.60,100.00,10.00,6.00,0.00,29.96,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KEBS 110755Z AUTO 01006KT 10SM BKN090 17/17 A2996 RMK AO2
EBS,2021-07-11 08:15,-93.8691,42.4392,60.80,60.80,100.00,10.00,6.00,0.00,29.96,M,10.00,M,FEW,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KEBS 110815Z AUTO 01006KT 10SM FEW090 16/16 A2996 RMK AO2
