#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
EEO,2021-07-11 00:00,-107.8859,40.0488,M,M,M,360.00,11.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEEO 110000Z AUTO 36011KT 10SM CLR 31/M07 A3027 RMK T03101070 MADISHF
EEO,2021-07-11 00:05,-107.8859,40.0488,M,M,M,20.00,11.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEEO 110005Z AUTO 02011KT 10SM CLR 31/M07 A3027 RMK T03101070 MADISHF
EEO,2021-07-11 00:10,-107.8859,40.0488,M,M,M,20.00,13.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEEO 110010Z AUTO 02013KT 10SM CLR 31/M06 A3027 RMK T03101060 MADISHF
EEO,2021-07-11 00:15,-107.8859,40.0488,M,M,M,10.00,5.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEEO 110015Z AUTO 01005KT 10SM CLR 30/M07 A3027 RMK T03001070 MADISHF
EEO,2021-07-11 00:20,-107.8859,40.0488,M,M,M,10.00,13.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEEO 110020Z AUTO 01013KT 10SM CLR 31/M07 A3027 RMK T03101070 MADISHF
EEO,2021-07-11 00:25,-107.8859,40.0488,M,M,M,350.00,8.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEEO 110025Z AUTO 35008KT 10SM CLR 31/M07 A3027 RMK T03101070 MADISHF
EEO,2021-07-11 00:30,-107.8859,40.0488,M,M,M,10.00,11.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEEO 110030Z AUTO 01011KT 10SM CLR 31/M07 A3027 RMK T03101070 MADISHF
EEO,2021-07-11 00:35,-107.8859,40.0488,M,M,M,350.00,9.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEEO 110035Z AUTO 35009KT 10SM CLR 31/M07 A3027 RMK T03101070 MADISHF
EEO,2021-07-11 00:40,-107.8859,40.0488,M,M,M,360.00,11.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEEO 110040Z AUTO 36011KT 10SM CLR 31/M07 A3027 RMK T03101070 MADISHF
EEO,2021-07-11 00:45,-107.8859,40.0488,M,M,M,360.00,11.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEEO 110045Z AUTO 36011KT 10SM CLR 30/M06 A3027 RMK T03001060 MADISHF
