#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
EGE,2021-07-11 00:00,-106.9177,39.6426,M,M,M,10.00,9.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEGE 110000Z AUTO 01009KT 10SM CLR 32/M03 A3026 RMK T03201030 MADISHF
EGE,2021-07-11 00:05,-106.9177,39.6426,M,M,M,350.00,11.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEGE 110005Z AUTO 35011KT 10SM CLR 32/M03 A3026 RMK T03201030 MADISHF
EGE,2021-07-11 00:10,-106.9177,39.6426,M,M,M,340.00,14.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEGE 110010Z AUTO 34014KT 10SM CLR 32/M03 A3026 RMK T03201030 MADISHF
EGE,2021-07-11 00:15,-106.9177,39.6426,M,M,M,M,13.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEGE 110015Z AUTO ///13KT 10SM CLR 32/M03 A3026 RMK T03201030 MADISHF
EGE,2021-07-11 00:20,-106.9177,39.6426,M,M,M,350.00,10.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEGE 110020Z AUTO 35010KT 10SM CLR 32/M03 A3026 RMK T03201030 MADISHF
EGE,2021-07-11 00:25,-106.9177,39.6426,M,M,M,10.00,10.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEGE 110025Z AUTO 01010KT 10SM CLR 32/M02 A3026 RMK T03201020 MADISHF
EGE,2021-07-11 00:30,-106.9177,39.6426,M,M,M,M,11.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEGE 110030Z AUTO ///11KT 10SM CLR 32/M02 A3026 RMK T03201020 MADISHF
EGE,2021-07-11 00:35,-106.9177,39.6426,M,M,M,20.00,10.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEGE 110035Z AUTO 02010KT 10SM CLR 32/M01 A3026 RMK T03201010 MADISHF
EGE,2021-07-11 00:40,-106.9177,39.6426,M,M,M,40.00,11.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEGE 110040Z AUTO 04011KT 10SM CLR 31/M01 RMK T03101010 MADISHF
EGE,2021-07-11 00:45,-106.9177,39.6426,M,M,M,360.00,10.00,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEGE 110045Z AUTO 36010KT 10SM CLR 31/M02 RMK T03101020 MADISHF
