#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
EIK,2021-07-11 00:15,-105.0480,40.0102,83.50,41.40,22.61,30.00,5.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.04,KEIK 110015Z AUTO 03005KT 10SM CLR 29/05 A3023 RMK AO2 T02860052 PWINO
EIK,2021-07-11 00:35,-105.0480,40.0102,82.90,41.00,22.70,60.00,6.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.62,KEIK 110035Z AUTO 06006KT 10SM CLR 28/05 A3023 RMK AO2 T02830050 PWINO
EIK,2021-07-11 00:55,-105.0480,40.0102,80.80,38.70,22.22,50.00,7.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.20,KEIK 110055Z AUTO 05007KT 10SM CLR 27/04 A3023 RMK AO2 T02710037 PWINO
EIK,2021-07-11 01:15,-105.0480,40.0102,80.60,39.20,22.81,50.00,7.00,0.00,30.24,M,10.00,M,BKN,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,79.10,KEIK 110115Z AUTO 05007KT 10SM BKN100 27/04 A3024 RMK AO2 T02700040 PWINO
EIK,2021-07-11 01:35,-105.0480,40.0102,80.10,39.00,23.00,50.00,5.00,0.00,30.23,M,10.00,M,BKN,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,78.89,KEIK 110135Z AUTO 05005KT 10SM BKN100 27/04 A3023 RMK AO2 T02670039 PWINO
EIK,2021-07-11 01:55,-105.0480,40.0102,79.30,38.50,23.16,50.00,6.00,0.00,30.24,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KEIK 110155Z AUTO 05006KT 10SM BKN110 26/04 A3024 RMK AO2 T02630036 PWINO
EIK,2021-07-11 02:15,-105.0480,40.0102,78.60,37.90,23.14,40.00,5.00,0.00,30.24,M,10.00,M,SCT,OVC,M,M,9000.00,11000.00,M,M,M,M,M,M,M,M,M,M,KEIK 110215Z AUTO 04005KT 10SM SCT090 OVC110 26/03 A3024 RMK AO2 T02590033 PWINO
EIK,2021-07-11 02:35,-105.0480,40.0102,77.90,38.80,24.53,0.00,0.00,0.00,30.25,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KEIK 110235Z AUTO 00000KT 10SM OVC090 26/04 A3025 RMK AO2 T02550038 PWINO
EIK,2021-07-11 02:55,-105.0480,40.0102,77.20,38.70,25.01,60.00,3.00,0.00,30.26,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KEIK 110255Z AUTO 06003KT 10SM OVC080 25/04 A3026 RMK AO2 T02510037 PWINO
EIK,2021-07-11 03:15,-105.0480,40.0102,76.30,39.20,26.28,0.00,0.00,0.00,30.27,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KEIK 110315Z AUTO 00000KT 10SM OVC080 25/04 A3027 RMK AO2 T02460040 PWINO
