#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
EOK,2021-07-11 00:15,-91.4274,40.4615,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEOK 110015Z AUTO RMK AO2 PNO PWINO
EOK,2021-07-11 00:35,-91.4274,40.4615,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEOK 110035Z AUTO RMK AO2 PNO PWINO
EOK,2021-07-11 00:55,-91.4274,40.4615,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEOK 110055Z AUTO RMK AO2 PNO PWINO
EOK,2021-07-11 01:15,-91.4274,40.4615,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEOK 110115Z AUTO RMK AO2 PNO PWINO
EOK,2021-07-11 01:35,-91.4274,40.4615,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEOK 110135Z AUTO RMK AO2 PNO PWINO
EOK,2021-07-11 01:55,-91.4274,40.4615,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEOK 110155Z AUTO RMK AO2 PNO PWINO
EOK,2021-07-11 02:15,-91.4274,40.4615,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEOK 110215Z AUTO RMK AO2 PNO PWINO
EOK,2021-07-11 02:35,-91.4274,40.4615,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEOK 110235Z AUTO RMK AO2 PNO PWINO
EOK,2021-07-11 02:55,-91.4274,40.4615,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEOK 110255Z AUTO RMK AO2 PNO PWINO
EOK,2021-07-11 03:15,-91.4274,40.4615,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KEOK 110315Z AUTO RMK AO2 PNO PWINO
