#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
FFL,2021-07-11 00:15,-91.9834,41.0521,69.80,69.80,100.00,40.00,8.00,0.00,29.89,M,10.00,13.00,BKN,OVC,M,M,1800.00,2200.00,M,M,M,M,M,M,M,M,M,M,KFFL 110015Z AUTO 04008G13KT 10SM BKN018 OVC022 21/21 A2989 RMK A01
FFL,2021-07-11 00:35,-91.9834,41.0521,69.80,69.80,100.00,50.00,7.00,0.00,29.88,M,10.00,12.00,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KFFL 110035Z AUTO 05007G12KT 10SM OVC021 21/21 A2988 RMK A01
FFL,2021-07-11 00:55,-91.9834,41.0521,69.80,69.80,100.00,40.00,8.00,0.00,29.88,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,KFFL 110055Z AUTO 04008KT 10SM OVC025 21/21 A2988 RMK A01
FFL,2021-07-11 01:15,-91.9834,41.0521,69.80,69.80,100.00,30.00,9.00,0.00,29.88,M,10.00,M,FEW,OVC,M,M,1500.00,2600.00,M,M,M,M,M,M,M,M,M,M,KFFL 110115Z AUTO 03009KT 10SM FEW015 OVC026 21/21 A2988 RMK A01
FFL,2021-07-11 01:35,-91.9834,41.0521,68.00,68.00,100.00,30.00,7.00,0.00,29.89,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,M,KFFL 110135Z AUTO 03007KT 10SM OVC027 20/20 A2989 RMK A01
FFL,2021-07-11 01:55,-91.9834,41.0521,68.00,68.00,100.00,30.00,9.00,0.00,29.89,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,M,KFFL 110155Z AUTO 03009KT 10SM OVC026 20/20 A2989 RMK A01
FFL,2021-07-11 02:15,-91.9834,41.0521,68.00,68.00,100.00,30.00,6.00,0.00,29.90,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,M,KFFL 110215Z AUTO 03006KT 10SM OVC027 20/20 A2990 RMK A01
FFL,2021-07-11 02:35,-91.9834,41.0521,68.00,68.00,100.00,30.00,8.00,0.00,29.90,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,M,KFFL 110235Z AUTO 03008KT 10SM OVC028 20/20 A2990 RMK A01
FFL,2021-07-11 02:55,-91.9834,41.0521,68.00,68.00,100.00,30.00,5.00,0.00,29.90,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,KFFL 110255Z AUTO 03005KT 10SM OVC030 20/20 A2990 RMK A01
FFL,2021-07-11 03:15,-91.9834,41.0521,68.00,68.00,100.00,20.00,6.00,0.00,29.90,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,M,M,M,M,M,M,M,KFFL 110315Z AUTO 02006KT 10SM OVC032 20/20 A2990 RMK A01
FFL,2021-07-11 03:35,-91.9834,41.0521,68.00,68.00,100.00,20.00,8.00,0.00,29.89,M,10.00,M,OVC,M,M,M,3400.00,M,M,M,M,M,M,M,M,M,M,M,KFFL 110335Z AUTO 02008KT 10SM OVC034 20/20 A2989 RMK A01
FFL,2021-07-11 03:55,-91.9834,41.0521,68.00,68.00,100.00,30.00,7.00,0.00,29.89,M,10.00,M,OVC,M,M,M,3400.00,M,M,M,M,M,M,M,M,M,M,M,KFFL 110355Z AUTO 03007KT 10SM OVC034 20/20 A2989 RMK A01
FFL,2021-07-11 04:15,-91.9834,41.0521,68.00,68.00,100.00,30.00,9.00,0.00,29.89,M,10.00,M,BKN,OVC,M,M,3300.00,3900.00,M,M,M,M,M,M,M,M,M,M,KFFL 110415Z AUTO 03009KT 10SM BKN033 OVC039 20/20 A2989 RMK A01
FFL,2021-07-11 04:35,-91.9834,41.0521,68.00,68.00,100.00,40.00,11.00,0.00,29.89,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,M,M,M,M,M,M,M,KFFL 110435Z AUTO 04011KT 10SM OVC039 20/20 A2989 RMK A01
FFL,2021-07-11 04:55,-91.9834,41.0521,68.00,68.00,100.00,40.00,11.00,0.00,29.89,M,10.00,M,OVC,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,M,KFFL 110455Z AUTO 04011KT 10SM OVC040 20/20 A2989 RMK A01
FFL,2021-07-11 05:15,-91.9834,41.0521,68.00,68.00,100.00,40.00,11.00,0.00,29.88,M,10.00,M,FEW,OVC,M,M,1400.00,4200.00,M,M,M,M,M,M,M,M,M,M,KFFL 110515Z AUTO 04011KT 10SM FEW014 OVC042 20/20 A2988 RMK A01
FFL,2021-07-11 05:35,-91.9834,41.0521,68.00,68.00,100.00,40.00,13.00,0.00,29.87,M,10.00,M,SCT,OVC,M,M,1300.00,4300.00,M,M,M,M,M,M,M,M,M,M,KFFL 110535Z AUTO 04013KT 10SM SCT013 OVC043 20/20 A2987 RMK A01
FFL,2021-07-11 05:55,-91.9834,41.0521,68.00,68.00,100.00,40.00,14.00,0.00,29.86,M,10.00,19.00,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,KFFL 110555Z AUTO 04014G19KT 10SM OVC012 20/20 A2986 RMK A01
FFL,2021-07-11 06:15,-91.9834,41.0521,66.20,66.20,100.00,40.00,13.00,0.00,29.86,M,10.00,18.00,BKN,OVC,M,M,1100.00,3700.00,M,M,M,M,M,M,M,M,M,M,KFFL 110615Z AUTO 04013G18KT 10SM BKN011 OVC037 19/19 A2986 RMK A01
FFL,2021-07-11 06:35,-91.9834,41.0521,66.20,66.20,100.00,30.00,12.00,0.00,29.86,M,10.00,M,SCT,OVC,M,M,1200.00,3800.00,M,M,M,M,M,M,M,M,M,M,KFFL 110635Z AUTO 03012KT 10SM SCT012 OVC038 19/19 A2986 RMK A01
FFL,2021-07-11 06:55,-91.9834,41.0521,66.20,66.20,100.00,30.00,11.00,0.00,29.87,M,10.00,M,BKN,OVC,M,M,1200.00,4000.00,M,M,M,M,M,M,M,M,M,M,KFFL 110655Z AUTO 03011KT 10SM BKN012 OVC040 19/19 A2987 RMK A01
