#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
FLY,2021-07-11 00:15,-104.5699,38.9457,75.40,41.40,29.49,20.00,9.00,0.00,30.36,M,10.00,14.00,SCT,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KFLY 110015Z AUTO 02009G14KT 350V060 10SM SCT070 24/05 A3036 RMK AO2 T02410052
FLY,2021-07-11 00:35,-104.5699,38.9457,75.60,41.90,29.87,40.00,8.00,0.00,30.36,M,10.00,14.00,SCT,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KFLY 110035Z AUTO 04008G14KT 10SM SCT070 24/06 A3036 RMK AO2 T02420055
FLY,2021-07-11 00:55,-104.5699,38.9457,74.80,41.50,30.21,40.00,9.00,0.00,30.36,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KFLY 110055Z AUTO 04009KT 10SM SCT070 24/05 A3036 RMK AO2 T02380053
FLY,2021-07-11 01:15,-104.5699,38.9457,74.10,40.60,29.87,20.00,10.00,0.00,30.36,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFLY 110115Z AUTO 02010KT 10SM CLR 23/05 A3036 RMK AO2 T02340048
FLY,2021-07-11 01:35,-104.5699,38.9457,72.50,40.60,31.52,30.00,7.00,0.00,30.37,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFLY 110135Z AUTO 03007KT 10SM CLR 23/05 A3037 RMK AO2 T02250048
FLY,2021-07-11 01:55,-104.5699,38.9457,71.80,39.90,31.41,30.00,7.00,0.00,30.38,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFLY 110155Z AUTO 03007KT 10SM CLR 22/04 A3038 RMK AO2 T02210044
FLY,2021-07-11 02:15,-104.5699,38.9457,69.30,41.90,36.95,60.00,7.00,0.00,30.38,M,10.00,M,BKN,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KFLY 110215Z AUTO 06007KT 10SM BKN075 21/06 A3038 RMK AO2 T02070055
FLY,2021-07-11 02:35,-104.5699,38.9457,68.40,42.40,38.85,50.00,5.00,0.00,30.38,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KFLY 110235Z AUTO 05005KT 10SM OVC075 20/06 A3038 RMK AO2 T02020058
FLY,2021-07-11 02:55,-104.5699,38.9457,67.50,42.40,40.08,50.00,7.00,0.00,30.38,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KFLY 110255Z AUTO 05007KT 10SM OVC075 20/06 A3038 RMK AO2 T01970058
FLY,2021-07-11 03:15,-104.5699,38.9457,66.90,41.40,39.37,40.00,5.00,0.00,30.39,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,M,KFLY 110315Z AUTO 04005KT 10SM OVC075 19/05 A3039 RMK AO2 T01940052
