#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
FMM,2021-07-11 00:15,-103.8041,40.3340,83.30,38.50,20.33,80.00,12.00,0.00,30.20,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.78,KFMM 110015Z AUTO 08012G17KT 10SM CLR 29/04 A3020 RMK AO2 T02850036
FMM,2021-07-11 00:35,-103.8041,40.3340,81.50,39.90,22.76,80.00,10.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.67,KFMM 110035Z AUTO 08010KT 10SM CLR 28/04 A3021 RMK AO2 T02750044
FMM,2021-07-11 00:55,-103.8041,40.3340,80.80,40.50,23.83,80.00,8.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.29,KFMM 110055Z AUTO 08008KT 10SM CLR 27/05 A3021 RMK AO2 T02710047
FMM,2021-07-11 01:15,-103.8041,40.3340,78.60,42.40,27.57,90.00,9.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFMM 110115Z AUTO 09009KT 10SM CLR 26/06 A3021 RMK AO2 T02590058
FMM,2021-07-11 01:35,-103.8041,40.3340,76.50,42.10,29.21,90.00,10.00,0.00,30.21,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFMM 110135Z AUTO 09010G15KT 10SM CLR 25/06 A3021 RMK AO2 T02470056
FMM,2021-07-11 01:55,-103.8041,40.3340,74.30,43.50,33.17,110.00,5.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFMM 110155Z AUTO 11005KT 10SM CLR 24/06 A3022 RMK AO2 T02350064
FMM,2021-07-11 02:15,-103.8041,40.3340,71.20,44.40,38.12,120.00,5.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFMM 110215Z AUTO 12005KT 10SM CLR 22/07 A3022 RMK AO2 T02180069
FMM,2021-07-11 02:35,-103.8041,40.3340,68.20,47.30,47.14,120.00,5.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFMM 110235Z AUTO 12005KT 10SM CLR 20/09 A3023 RMK AO2 T02010085
FMM,2021-07-11 02:55,-103.8041,40.3340,67.30,47.80,49.55,110.00,4.00,0.00,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFMM 110255Z AUTO 11004KT 10SM CLR 20/09 A3024 RMK AO2 T01960088
FMM,2021-07-11 03:15,-103.8041,40.3340,65.80,47.30,51.22,110.00,5.00,0.00,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFMM 110315Z AUTO 11005KT 10SM CLR 19/09 A3024 RMK AO2 T01880085
FMM,2021-07-11 03:35,-103.8041,40.3340,64.60,46.90,52.61,110.00,7.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFMM 110335Z AUTO 11007KT 10SM CLR 18/08 A3025 RMK AO2 T01810083
FMM,2021-07-11 03:55,-103.8041,40.3340,64.40,47.70,54.59,100.00,8.00,0.00,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFMM 110355Z AUTO 10008KT 10SM CLR 18/09 A3026 RMK AO2 T01800087
FMM,2021-07-11 04:15,-103.8041,40.3340,63.50,48.20,57.41,110.00,8.00,0.00,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFMM 110415Z AUTO 11008KT 10SM CLR 18/09 A3027 RMK AO2 T01750090
