#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
FNL,2021-07-11 00:00,-105.0113,40.4518,M,M,M,100.00,9.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110000Z AUTO 10009KT 10SM CLR 30/07 A3022 RMK T03000070 MADISHF
FNL,2021-07-11 00:05,-105.0113,40.4518,M,M,M,110.00,5.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110005Z AUTO 11005KT 10SM CLR 30/07 A3022 RMK T03000070 MADISHF
FNL,2021-07-11 00:10,-105.0113,40.4518,M,M,M,130.00,7.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110010Z AUTO 13007KT 10SM CLR 29/07 A3022 RMK T02900070 MADISHF
FNL,2021-07-11 00:15,-105.0113,40.4518,M,M,M,110.00,8.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110015Z AUTO 11008KT 10SM CLR 30/07 A3022 RMK T03000070 MADISHF
FNL,2021-07-11 00:20,-105.0113,40.4518,M,M,M,110.00,7.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110020Z AUTO 11007KT 10SM CLR 29/06 A3022 RMK T02900060 MADISHF
FNL,2021-07-11 00:25,-105.0113,40.4518,M,M,M,110.00,2.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110025Z AUTO 11002KT 10SM CLR 29/06 A3022 RMK T02900060 MADISHF
FNL,2021-07-11 00:30,-105.0113,40.4518,M,M,M,120.00,7.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110030Z AUTO 12007KT 10SM CLR 29/07 A3022 RMK T02900070 MADISHF
FNL,2021-07-11 00:35,-105.0113,40.4518,M,M,M,110.00,10.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110035Z AUTO 11010KT 10SM CLR 29/06 A3022 RMK T02900060 MADISHF
FNL,2021-07-11 00:40,-105.0113,40.4518,M,M,M,90.00,9.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110040Z AUTO 09009KT 10SM CLR 29/06 A3022 RMK T02900060 MADISHF
FNL,2021-07-11 00:45,-105.0113,40.4518,M,M,M,100.00,8.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110045Z AUTO 10008KT 10SM CLR 29/06 A3022 RMK T02900060 MADISHF
FNL,2021-07-11 00:50,-105.0113,40.4518,M,M,M,130.00,7.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110050Z AUTO 13007KT 10SM CLR 29/06 A3022 RMK T02900060 MADISHF
FNL,2021-07-11 00:55,-105.0113,40.4518,M,M,M,130.00,9.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110055Z AUTO 13009KT 10SM CLR 29/06 A3022 RMK T02900060 MADISHF
FNL,2021-07-11 00:56,-105.0113,40.4518,84.00,43.00,23.66,130.00,9.00,0.00,30.23,1017.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.48,KFNL 110056Z 13009KT 10SM CLR 29/06 A3023 RMK AO2 SLP171 T02890061
FNL,2021-07-11 01:00,-105.0113,40.4518,M,M,M,140.00,5.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110100Z AUTO 14005KT 10SM CLR 28/06 A3022 RMK T02800060 MADISHF
FNL,2021-07-11 01:05,-105.0113,40.4518,M,M,M,110.00,8.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110105Z AUTO 11008KT 10SM CLR 29/06 A3022 RMK T02900060 MADISHF
FNL,2021-07-11 01:10,-105.0113,40.4518,M,M,M,110.00,9.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110110Z AUTO 11009KT 10SM CLR 28/06 A3022 RMK T02800060 MADISHF
FNL,2021-07-11 01:15,-105.0113,40.4518,M,M,M,120.00,7.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110115Z AUTO 12007KT 10SM CLR 28/06 A3023 RMK T02800060 MADISHF
FNL,2021-07-11 01:20,-105.0113,40.4518,M,M,M,110.00,10.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110120Z AUTO 11010KT 10SM CLR 28/06 A3023 RMK T02800060 MADISHF
FNL,2021-07-11 01:25,-105.0113,40.4518,M,M,M,90.00,8.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110125Z AUTO 09008KT 10SM CLR 28/06 A3023 RMK T02800060 MADISHF
FNL,2021-07-11 01:30,-105.0113,40.4518,M,M,M,90.00,9.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110130Z AUTO 09009KT 10SM CLR 28/06 A3023 RMK T02800060 MADISHF
FNL,2021-07-11 01:35,-105.0113,40.4518,M,M,M,90.00,8.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110135Z AUTO 09008KT 10SM CLR 28/06 A3023 RMK T02800060 MADISHF
FNL,2021-07-11 01:40,-105.0113,40.4518,M,M,M,90.00,7.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110140Z AUTO 09007KT 10SM CLR 28/06 A3023 RMK T02800060 MADISHF
FNL,2021-07-11 01:45,-105.0113,40.4518,M,M,M,90.00,7.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110145Z AUTO 09007KT 10SM CLR 27/06 A3025 RMK T02700060 MADISHF
FNL,2021-07-11 01:50,-105.0113,40.4518,M,M,M,90.00,7.00,M,30.25,M,5.00,M,CLR,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,KFNL 110150Z AUTO 09007KT 5SM HZ CLR 27/06 A3025 RMK T02700060 MADISHF
FNL,2021-07-11 01:55,-105.0113,40.4518,M,M,M,90.00,5.00,M,30.25,M,5.00,M,CLR,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,KFNL 110155Z AUTO 09005KT 5SM HZ CLR 27/06 A3025 RMK T02700060 MADISHF
FNL,2021-07-11 01:56,-105.0113,40.4518,80.10,43.00,26.85,90.00,7.00,0.00,30.25,1017.70,5.00,M,CLR,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,79.04,KFNL 110156Z 09007KT 5SM HZ CLR 27/06 A3025 RMK AO2 SLP177 T02670061
FNL,2021-07-11 02:00,-105.0113,40.4518,M,M,M,90.00,5.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFNL 110200Z AUTO 09005KT 10SM CLR 27/06 A3025 RMK T02700060 MADISHF
