#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
FOD,2021-07-11 00:00,-94.2032,42.5497,M,M,M,60.00,9.00,M,29.94,M,10.00,M,FEW,BKN,OVC,M,2300.00,3399.00,5500.00,M,M,M,M,M,M,M,M,M,KFOD 110000Z AUTO 06009KT 10SM FEW023 BKN033 OVC055 18/15 A2994 RMK T01800150 MADISHF
FOD,2021-07-11 00:05,-94.2032,42.5497,M,M,M,60.00,10.00,M,29.94,M,10.00,M,BKN,BKN,OVC,M,3399.00,5000.00,6000.00,M,M,M,M,M,M,M,M,M,KFOD 110005Z AUTO 06010KT 10SM BKN033 BKN050 OVC060 18/15 A2994 RMK T01800150 MADISHF
FOD,2021-07-11 00:10,-94.2032,42.5497,M,M,M,60.00,11.00,M,29.94,M,10.00,M,FEW,BKN,OVC,M,2900.00,5000.00,5500.00,M,M,M,M,M,M,M,M,M,KFOD 110010Z AUTO 06011KT 10SM FEW029 BKN050 OVC055 18/15 A2994 RMK T01800150 MADISHF
FOD,2021-07-11 00:15,-94.2032,42.5497,M,M,M,50.00,10.00,M,29.94,M,10.00,M,FEW,BKN,OVC,M,2800.00,5000.00,5500.00,M,M,M,M,M,M,M,M,M,KFOD 110015Z AUTO 05010KT 10SM FEW028 BKN050 OVC055 18/15 A2994 RMK T01800150 MADISHF
FOD,2021-07-11 00:20,-94.2032,42.5497,M,M,M,60.00,10.00,M,29.94,M,10.00,M,SCT,BKN,OVC,M,2800.00,3700.00,6000.00,M,M,M,M,M,M,M,M,M,KFOD 110020Z AUTO 06010KT 10SM SCT028 BKN037 OVC060 18/14 A2994 RMK T01800140 MADISHF
FOD,2021-07-11 00:27,-94.2032,42.5497,64.40,59.00,82.62,50.00,8.00,0.00,29.94,M,10.00,M,BKN,OVC,M,M,2800.00,5000.00,M,M,M,M,M,M,M,M,M,M,KFOD 110027Z AUTO 05008KT 10SM BKN028 OVC050 18/15 A2994 RMK AO2
FOD,2021-07-11 00:30,-94.2032,42.5497,M,M,M,50.00,8.00,M,29.94,M,10.00,M,BKN,OVC,M,M,2800.00,5000.00,M,M,M,M,M,M,M,M,M,M,KFOD 110030Z AUTO 05008KT 10SM BKN028 OVC050 18/15 A2994 RMK T01800150 MADISHF
FOD,2021-07-11 00:35,-94.2032,42.5497,M,M,M,50.00,9.00,M,29.94,M,10.00,M,BKN,OVC,M,M,2800.00,5000.00,M,M,M,M,M,M,M,M,M,M,KFOD 110035Z AUTO 05009KT 10SM BKN028 OVC050 18/15 A2994 RMK T01800150 MADISHF
FOD,2021-07-11 00:40,-94.2032,42.5497,M,M,M,50.00,9.00,M,29.94,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,M,KFOD 110040Z AUTO 05009KT 10SM OVC028 18/14 A2994 RMK T01800140 MADISHF
FOD,2021-07-11 00:45,-94.2032,42.5497,M,M,M,50.00,13.00,M,29.94,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,M,KFOD 110045Z AUTO 05013KT 10SM OVC028 18/14 A2994 RMK T01800140 MADISHF
FOD,2021-07-11 00:50,-94.2032,42.5497,M,M,M,50.00,8.00,M,29.94,M,10.00,M,BKN,BKN,OVC,M,2800.00,3200.00,9000.00,M,M,M,M,M,M,M,M,M,KFOD 110050Z AUTO 05008KT 10SM BKN028 BKN032 OVC090 19/14 A2994 RMK T01900140 MADISHF
FOD,2021-07-11 00:55,-94.2032,42.5497,M,M,M,40.00,9.00,M,29.94,M,10.00,M,BKN,BKN,OVC,M,2800.00,3200.00,9000.00,M,M,M,M,M,M,M,M,M,KFOD 110055Z AUTO 04009KT 10SM BKN028 BKN032 OVC090 18/14 A2994 RMK T01800140 MADISHF
