#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
FSW,2021-07-11 00:15,-91.3267,40.6615,71.60,66.20,83.09,360.00,7.00,0.00,29.87,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110015Z AUTO 36007KT 22/19 A2987 RMK AO2 PWINO
FSW,2021-07-11 00:35,-91.3267,40.6615,69.80,68.00,94.01,350.00,6.00,0.00,29.87,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110035Z AUTO 35006KT 21/20 A2987 RMK AO2 PWINO
FSW,2021-07-11 00:55,-91.3267,40.6615,69.80,66.20,88.34,10.00,5.00,0.00,29.87,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110055Z AUTO 01005KT 21/19 A2987 RMK AO2 PWINO
FSW,2021-07-11 01:15,-91.3267,40.6615,69.80,66.20,88.34,360.00,5.00,0.00,29.86,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110115Z AUTO 36005KT 21/19 A2986 RMK AO2 PWINO
FSW,2021-07-11 01:35,-91.3267,40.6615,69.80,66.20,88.34,360.00,5.00,0.00,29.87,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110135Z AUTO 36005KT 21/19 A2987 RMK AO2 PWINO
FSW,2021-07-11 01:55,-91.3267,40.6615,69.80,66.20,88.34,360.00,7.00,0.00,29.87,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110155Z AUTO 36007KT 21/19 A2987 RMK AO2 PWINO
FSW,2021-07-11 02:15,-91.3267,40.6615,69.80,66.20,88.34,10.00,4.00,0.00,29.88,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110215Z AUTO 01004KT 21/19 A2988 RMK AO2 PWINO
FSW,2021-07-11 02:35,-91.3267,40.6615,69.80,66.20,88.34,360.00,8.00,0.00,29.88,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110235Z AUTO 36008KT 21/19 A2988 RMK AO2 PWINO
FSW,2021-07-11 02:55,-91.3267,40.6615,68.00,66.20,93.97,20.00,7.00,0.00,29.88,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110255Z AUTO 02007KT 20/19 A2988 RMK AO2 PWINO
FSW,2021-07-11 03:15,-91.3267,40.6615,68.00,66.20,93.97,10.00,6.00,0.00,29.88,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110315Z AUTO 01006KT 20/19 A2988 RMK AO2 PWINO
FSW,2021-07-11 03:35,-91.3267,40.6615,68.00,66.20,93.97,10.00,5.00,0.00,29.88,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110335Z AUTO 01005KT 20/19 A2988 RMK AO2 PWINO
FSW,2021-07-11 03:55,-91.3267,40.6615,68.00,66.20,93.97,10.00,6.00,0.00,29.88,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110355Z AUTO 01006KT 20/19 A2988 RMK AO2 PWINO
FSW,2021-07-11 04:15,-91.3267,40.6615,68.00,66.20,93.97,10.00,4.00,0.00,29.88,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110415Z AUTO 01004KT 20/19 A2988 RMK AO2 PWINO
FSW,2021-07-11 04:35,-91.3267,40.6615,66.20,66.20,100.00,10.00,6.00,0.00,29.88,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110435Z AUTO 01006KT 19/19 A2988 RMK AO2 PWINO
FSW,2021-07-11 04:55,-91.3267,40.6615,66.20,66.20,100.00,20.00,8.00,0.00,29.87,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KFSW 110455Z AUTO 02008KT 19/19 A2987 RMK AO2 PWINO
