#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
GGI,2021-07-11 00:15,-92.7332,41.7097,68.50,64.60,87.36,50.00,9.00,0.00,29.93,M,7.00,M,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110015Z AUTO 05009KT 7SM OVC012 20/18 A2993 RMK AO2 T02030181
GGI,2021-07-11 00:35,-92.7332,41.7097,68.40,64.90,88.59,50.00,9.00,0.00,29.93,M,10.00,M,BKN,OVC,M,M,1200.00,2000.00,M,M,M,M,M,M,M,M,M,M,KGGI 110035Z AUTO 05009KT 10SM BKN012 OVC020 20/18 A2993 RMK AO2 T02020183
GGI,2021-07-11 00:55,-92.7332,41.7097,68.20,64.80,88.89,60.00,7.00,0.00,29.93,M,10.00,M,SCT,OVC,M,M,1000.00,1700.00,M,M,M,M,M,M,M,M,M,M,KGGI 110055Z AUTO 06007KT 10SM SCT010 OVC017 20/18 A2993 RMK AO2 T02010182
GGI,2021-07-11 01:15,-92.7332,41.7097,68.20,64.80,88.89,50.00,6.00,0.00,29.92,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110115Z AUTO 05006KT 10SM OVC019 20/18 A2992 RMK AO2 T02010182
GGI,2021-07-11 01:35,-92.7332,41.7097,68.20,64.80,88.89,50.00,8.00,0.00,29.92,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110135Z AUTO 05008KT 10SM OVC021 20/18 A2992 RMK AO2 T02010182
GGI,2021-07-11 01:55,-92.7332,41.7097,68.00,64.60,88.88,60.00,8.00,0.00,29.92,M,10.00,M,SCT,OVC,M,M,2300.00,2800.00,M,M,M,M,M,M,M,M,M,M,KGGI 110155Z AUTO 06008KT 10SM SCT023 OVC028 20/18 A2992 RMK AO2 T02000181
GGI,2021-07-11 02:15,-92.7332,41.7097,67.30,64.60,91.05,50.00,6.00,0.00,29.93,M,10.00,M,BKN,BKN,BKN,M,3000.00,9000.00,12000.00,M,M,M,M,M,M,M,M,M,KGGI 110215Z AUTO 05006KT 10SM BKN030 BKN090 BKN120 20/18 A2993 RMK AO2 T01960181
GGI,2021-07-11 02:35,-92.7332,41.7097,67.30,64.60,91.05,60.00,8.00,0.00,29.92,M,10.00,M,SCT,SCT,OVC,M,3000.00,9000.00,12000.00,M,M,M,M,M,M,M,M,M,KGGI 110235Z AUTO 06008KT 10SM SCT030 SCT090 OVC120 20/18 A2992 RMK AO2 T01960181
GGI,2021-07-11 02:55,-92.7332,41.7097,67.50,64.60,90.42,50.00,7.00,0.00,29.93,M,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110255Z AUTO 05007KT 10SM OVC120 20/18 A2993 RMK AO2 T01970181
GGI,2021-07-11 03:15,-92.7332,41.7097,67.50,64.80,91.06,50.00,9.00,0.00,29.93,M,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110315Z AUTO 05009KT 10SM OVC120 20/18 A2993 RMK AO2 T01970182
GGI,2021-07-11 03:35,-92.7332,41.7097,67.60,64.80,90.74,50.00,8.00,0.00,29.93,M,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110335Z AUTO 05008KT 10SM OVC120 20/18 A2993 RMK AO2 T01980182
GGI,2021-07-11 03:55,-92.7332,41.7097,68.00,64.60,88.88,40.00,8.00,0.00,29.93,M,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110355Z AUTO 04008KT 10SM OVC120 20/18 A2993 RMK AO2 T02000181
GGI,2021-07-11 04:15,-92.7332,41.7097,67.60,64.40,89.48,40.00,9.00,0.00,29.93,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110415Z AUTO 04009KT 10SM BKN120 20/18 A2993 RMK AO2 T01980180
GGI,2021-07-11 04:35,-92.7332,41.7097,67.30,64.00,89.16,40.00,8.00,0.00,29.93,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110435Z AUTO 04008KT 10SM SCT120 20/18 A2993 RMK AO2 T01960178
GGI,2021-07-11 04:55,-92.7332,41.7097,68.00,64.20,87.64,50.00,9.00,0.00,29.93,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110455Z AUTO 05009KT 10SM BKN110 20/18 A2993 RMK AO2 T02000179
GGI,2021-07-11 05:15,-92.7332,41.7097,68.50,64.00,85.55,50.00,12.00,0.00,29.93,M,10.00,M,SCT,OVC,M,M,4800.00,12000.00,M,M,M,M,M,M,M,M,M,M,KGGI 110515Z AUTO 05012KT 10SM SCT048 OVC120 20/18 A2993 RMK AO2 T02030178
GGI,2021-07-11 05:35,-92.7332,41.7097,68.20,64.00,86.44,40.00,7.00,0.00,29.94,M,10.00,M,SCT,SCT,M,M,5000.00,12000.00,M,M,M,M,M,M,M,M,M,M,KGGI 110535Z AUTO 04007KT 10SM SCT050 SCT120 20/18 A2994 RMK AO2 T02010178
GGI,2021-07-11 05:55,-92.7332,41.7097,68.00,64.00,87.03,40.00,8.00,0.00,29.93,M,10.00,M,BKN,BKN,M,M,5000.00,12000.00,M,M,M,M,M,M,M,M,M,M,KGGI 110555Z AUTO 04008KT 10SM BKN050 BKN120 20/18 A2993 RMK AO2 T02000178 10205 20195 402360191
GGI,2021-07-11 06:15,-92.7332,41.7097,67.80,63.90,87.33,30.00,8.00,0.00,29.93,M,10.00,M,BKN,BKN,M,M,5000.00,12000.00,M,M,M,M,M,M,M,M,M,M,KGGI 110615Z AUTO 03008KT 10SM BKN050 BKN120 20/18 A2993 RMK AO2 T01990177
GGI,2021-07-11 06:35,-92.7332,41.7097,67.50,63.50,87.01,30.00,7.00,0.00,29.92,M,10.00,14.00,SCT,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110635Z AUTO 03007G14KT 10SM SCT050 20/18 A2992 RMK AO2 T01970175
GGI,2021-07-11 06:55,-92.7332,41.7097,67.10,63.10,86.99,30.00,7.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGGI 110655Z AUTO 03007KT 10SM CLR 20/17 A2992 RMK AO2 T01950173
GGI,2021-07-11 07:15,-92.7332,41.7097,66.20,62.80,88.80,30.00,8.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGGI 110715Z AUTO 03008KT 10SM CLR 19/17 A2993 RMK AO2 T01900171
GGI,2021-07-11 07:35,-92.7332,41.7097,65.50,62.20,89.08,30.00,7.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGGI 110735Z AUTO 03007KT 10SM CLR 19/17 A2993 RMK AO2 T01860168
GGI,2021-07-11 07:55,-92.7332,41.7097,65.10,61.90,89.38,20.00,7.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGGI 110755Z AUTO 02007KT 10SM CLR 18/17 A2992 RMK AO2 T01840166
GGI,2021-07-11 08:15,-92.7332,41.7097,64.80,61.70,89.68,30.00,7.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGGI 110815Z AUTO 03007KT 10SM CLR 18/17 A2993 RMK AO2 T01820165
GGI,2021-07-11 08:35,-92.7332,41.7097,64.90,61.90,90.00,20.00,7.00,0.00,29.93,M,10.00,M,BKN,M,M,M,2900.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110835Z AUTO 02007KT 10SM BKN029 18/17 A2993 RMK AO2 T01830166
GGI,2021-07-11 08:55,-92.7332,41.7097,65.10,61.70,88.75,20.00,8.00,0.00,29.93,M,10.00,M,OVC,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110855Z AUTO 02008KT 10SM OVC033 18/17 A2993 RMK AO2 T01840165
GGI,2021-07-11 09:15,-92.7332,41.7097,65.30,61.70,88.13,20.00,8.00,0.00,29.92,M,10.00,M,OVC,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,M,KGGI 110915Z AUTO 02008KT 10SM OVC033 19/17 A2992 RMK AO2 T01850165
