#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
GJT,2021-07-11 00:00,-108.5400,39.1342,M,M,M,250.00,8.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110000Z AUTO 25008KT 10SM CLR 37/M08 A3005 RMK T03701080 MADISHF
GJT,2021-07-11 00:05,-108.5400,39.1342,M,M,M,250.00,8.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110005Z AUTO 25008KT 10SM CLR 37/M07 A3005 RMK T03701070 MADISHF
GJT,2021-07-11 00:10,-108.5400,39.1342,M,M,M,260.00,7.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110010Z AUTO 26007KT 10SM CLR 37/M07 A3005 RMK T03701070 MADISHF
GJT,2021-07-11 00:15,-108.5400,39.1342,M,M,M,270.00,7.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110015Z AUTO 27007KT 10SM CLR 37/M07 A3004 RMK T03701070 MADISHF
GJT,2021-07-11 00:20,-108.5400,39.1342,M,M,M,280.00,8.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110020Z AUTO 28008KT 10SM CLR 37/M07 A3005 RMK T03701070 MADISHF
GJT,2021-07-11 00:25,-108.5400,39.1342,M,M,M,310.00,2.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110025Z AUTO 31002KT 10SM CLR 37/M08 A3005 RMK T03701080 VRB03KT  MADISHF
GJT,2021-07-11 00:30,-108.5400,39.1342,M,M,M,320.00,2.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110030Z AUTO 32002KT 10SM CLR 37/M08 A3005 RMK T03701080 MADISHF
GJT,2021-07-11 00:35,-108.5400,39.1342,M,M,M,0.00,0.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110035Z AUTO 00000KT 10SM CLR 37/M08 A3005 RMK T03701080 MADISHF
GJT,2021-07-11 00:40,-108.5400,39.1342,M,M,M,260.00,2.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110040Z AUTO 26002KT 10SM CLR 37/M07 A3005 RMK T03701070 MADISHF
GJT,2021-07-11 00:45,-108.5400,39.1342,M,M,M,220.00,2.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110045Z AUTO 22002KT 10SM CLR 37/M07 A3004 RMK T03701070 MADISHF
GJT,2021-07-11 00:50,-108.5400,39.1342,M,M,M,250.00,5.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110050Z AUTO 25005KT 10SM CLR 37/M07 A3004 RMK T03701070 MADISHF
GJT,2021-07-11 00:53,-108.5400,39.1342,98.10,21.00,6.26,270.00,8.00,0.00,30.05,1009.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,91.18,KGJT 110053Z 27008KT 10SM CLR 37/M06 A3005 RMK AO2 SLP092 T03671061
GJT,2021-07-11 00:55,-108.5400,39.1342,M,M,M,260.00,7.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110055Z AUTO 26007KT 10SM CLR 36/M05 A3004 RMK T03601050 MADISHF
GJT,2021-07-11 01:00,-108.5400,39.1342,M,M,M,270.00,5.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110100Z AUTO 27005KT 10SM CLR 36/M04 A3005 RMK T03601040 MADISHF
GJT,2021-07-11 01:05,-108.5400,39.1342,M,M,M,300.00,5.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110105Z AUTO 30005KT 10SM CLR 35/M03 A3005 RMK T03501030 MADISHF
GJT,2021-07-11 01:10,-108.5400,39.1342,M,M,M,20.00,5.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110110Z AUTO 02005KT 10SM CLR 36/M06 A3005 RMK T03601060 MADISHF
GJT,2021-07-11 01:15,-108.5400,39.1342,M,M,M,70.00,7.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110115Z AUTO 07007KT 10SM CLR 36/M08 A3005 RMK T03601080 MADISHF
GJT,2021-07-11 01:20,-108.5400,39.1342,M,M,M,30.00,4.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110120Z AUTO 03004KT 10SM CLR 36/M08 A3005 RMK T03601080 VRB04KT  MADISHF
GJT,2021-07-11 01:25,-108.5400,39.1342,M,M,M,M,11.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110125Z AUTO ///11KT 10SM CLR 36/M06 A3005 RMK T03601060 MADISHF
GJT,2021-07-11 01:30,-108.5400,39.1342,M,M,M,M,15.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110130Z AUTO ///15KT 10SM CLR 36/M07 A3005 RMK T03601070 MADISHF
GJT,2021-07-11 01:35,-108.5400,39.1342,M,M,M,40.00,11.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110135Z AUTO 04011KT 10SM CLR 36/M07 A3005 RMK T03601070 MADISHF
GJT,2021-07-11 01:40,-108.5400,39.1342,M,M,M,40.00,10.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110140Z AUTO 04010KT 10SM CLR 35/M07 A3005 RMK T03501070 MADISHF
GJT,2021-07-11 01:45,-108.5400,39.1342,M,M,M,40.00,11.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110145Z AUTO 04011KT 10SM CLR 35/M07 A3006 RMK T03501070 MADISHF
GJT,2021-07-11 01:50,-108.5400,39.1342,M,M,M,30.00,11.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110150Z AUTO 03011KT 10SM CLR 35/M07 A3006 RMK T03501070 MADISHF
GJT,2021-07-11 01:53,-108.5400,39.1342,93.90,19.00,6.54,40.00,13.00,0.00,30.07,1009.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.67,KGJT 110153Z 04013KT 10SM CLR 34/M07 A3007 RMK AO2 SLP096 T03441072
GJT,2021-07-11 01:55,-108.5400,39.1342,M,M,M,30.00,10.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110155Z AUTO 03010KT 10SM CLR 34/M07 A3006 RMK T03401070 MADISHF
GJT,2021-07-11 02:00,-108.5400,39.1342,M,M,M,30.00,11.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110200Z AUTO 03011KT 10SM CLR 34/M07 A3006 RMK T03401070 MADISHF
GJT,2021-07-11 02:05,-108.5400,39.1342,M,M,M,20.00,9.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110205Z AUTO 02009KT 10SM CLR 34/M07 A3006 RMK T03401070 MADISHF
GJT,2021-07-11 02:10,-108.5400,39.1342,M,M,M,20.00,8.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110210Z AUTO 02008KT 10SM CLR 34/M07 A3006 RMK T03401070 MADISHF
GJT,2021-07-11 02:15,-108.5400,39.1342,M,M,M,20.00,8.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110215Z AUTO 02008KT 10SM CLR 34/M07 A3006 RMK T03401070 MADISHF
GJT,2021-07-11 02:20,-108.5400,39.1342,M,M,M,30.00,8.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110220Z AUTO 03008KT 10SM CLR 33/M07 A3006 RMK T03301070 MADISHF
GJT,2021-07-11 02:25,-108.5400,39.1342,M,M,M,30.00,4.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110225Z AUTO 03004KT 10SM CLR 33/M07 A3006 RMK T03301070 MADISHF
GJT,2021-07-11 02:30,-108.5400,39.1342,M,M,M,40.00,9.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110230Z AUTO 04009KT 10SM CLR 33/M07 A3006 RMK T03301070 MADISHF
GJT,2021-07-11 02:35,-108.5400,39.1342,M,M,M,20.00,9.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110235Z AUTO 02009KT 10SM CLR 33/M08 A3006 RMK T03301080 MADISHF
GJT,2021-07-11 02:40,-108.5400,39.1342,M,M,M,360.00,5.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110240Z AUTO 36005KT 10SM CLR 32/M08 A3006 RMK T03201080 MADISHF
GJT,2021-07-11 02:45,-108.5400,39.1342,M,M,M,360.00,9.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110245Z AUTO 36009KT 10SM CLR 33/M08 A3006 RMK T03301080 MADISHF
GJT,2021-07-11 02:50,-108.5400,39.1342,M,M,M,20.00,7.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110250Z AUTO 02007KT 10SM CLR 32/M08 A3006 RMK T03201080 MADISHF
GJT,2021-07-11 02:53,-108.5400,39.1342,90.00,17.10,6.81,30.00,9.00,0.00,30.07,1009.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.72,KGJT 110253Z 03009KT 10SM CLR 32/M08 A3007 RMK AO2 SLP098 T03221083 53004
GJT,2021-07-11 02:55,-108.5400,39.1342,M,M,M,30.00,9.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110255Z AUTO 03009KT 10SM CLR 32/M08 A3006 RMK T03201080 MADISHF
GJT,2021-07-11 03:00,-108.5400,39.1342,M,M,M,30.00,10.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGJT 110300Z AUTO 03010KT 10SM CLR 32/M09 A3007 RMK T03201090 MADISHF
