#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
GNB,2021-07-11 00:15,-105.9113,40.0904,76.80,31.10,18.73,350.00,8.00,0.00,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110015Z AUTO 35008KT 10SM CLR 25/00 A3041 RMK AO2 T02491005
GNB,2021-07-11 00:35,-105.9113,40.0904,75.60,31.60,19.89,340.00,8.00,0.00,30.41,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110035Z AUTO 34008G14KT 10SM CLR 24/00 A3041 RMK AO2 T02421002
GNB,2021-07-11 00:55,-105.9113,40.0904,74.50,30.00,19.34,350.00,7.00,0.00,30.41,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110055Z AUTO 35007G15KT 10SM CLR 24/M01 A3041 RMK AO2 T02361011
GNB,2021-07-11 01:15,-105.9113,40.0904,73.80,30.70,20.37,350.00,6.00,0.00,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110115Z AUTO 35006KT 10SM CLR 23/M01 A3041 RMK AO2 T02321007
GNB,2021-07-11 01:35,-105.9113,40.0904,72.70,30.40,20.89,350.00,5.00,0.00,30.41,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110135Z AUTO 35005KT 10SM CLR 23/M01 A3041 RMK AO2 T02261009
GNB,2021-07-11 01:55,-105.9113,40.0904,69.60,32.70,25.46,340.00,5.00,0.00,30.42,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110155Z AUTO 34005KT 10SM CLR 21/00 A3042 RMK AO2 T02090004
GNB,2021-07-11 02:15,-105.9113,40.0904,68.00,31.10,25.22,340.00,3.00,0.00,30.42,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110215Z AUTO 34003KT 10SM CLR 20/00 A3042 RMK AO2 T02001005
GNB,2021-07-11 02:35,-105.9113,40.0904,65.30,30.00,26.48,360.00,4.00,0.00,30.43,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110235Z AUTO 36004KT 10SM CLR 19/M01 A3043 RMK AO2 T01851011
GNB,2021-07-11 02:55,-105.9113,40.0904,62.80,30.00,28.90,0.00,0.00,0.00,30.43,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110255Z AUTO 00000KT 10SM CLR 17/M01 A3043 RMK AO2 T01711011
GNB,2021-07-11 03:15,-105.9113,40.0904,61.70,29.70,29.68,0.00,0.00,0.00,30.44,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110315Z AUTO 00000KT 10SM CLR 17/M01 A3044 RMK AO2 T01651013
GNB,2021-07-11 03:35,-105.9113,40.0904,60.40,30.90,32.64,0.00,0.00,0.00,30.45,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110335Z AUTO 00000KT 10SM CLR 16/M01 A3045 RMK AO2 T01581006
GNB,2021-07-11 03:55,-105.9113,40.0904,59.70,31.60,34.42,120.00,3.00,0.00,30.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110355Z AUTO 12003KT 10SM CLR 15/00 A3047 RMK AO2 T01541002
GNB,2021-07-11 04:15,-105.9113,40.0904,59.90,32.20,35.01,0.00,0.00,0.00,30.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110415Z AUTO 00000KT 10SM CLR 16/00 A3047 RMK AO2 T01550001
GNB,2021-07-11 04:35,-105.9113,40.0904,61.30,41.20,47.52,70.00,3.00,0.00,30.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110435Z AUTO 07003KT 10SM CLR 16/05 A3047 RMK AO2 T01630051
GNB,2021-07-11 04:55,-105.9113,40.0904,56.30,38.80,51.78,120.00,3.00,0.00,30.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110455Z AUTO 12003KT 10SM CLR 14/04 A3048 RMK AO2 T01350038
GNB,2021-07-11 05:15,-105.9113,40.0904,54.90,38.80,54.48,0.00,0.00,0.00,30.48,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110515Z AUTO 00000KT 10SM CLR 13/04 A3048 RMK AO2 T01270038
GNB,2021-07-11 05:35,-105.9113,40.0904,54.70,40.30,58.18,120.00,4.00,0.00,30.47,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGNB 110535Z AUTO 12004KT 10SM CLR 13/05 A3047 RMK AO2 T01260046
