#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
GUC,2021-07-11 00:00,-106.9330,38.5339,M,M,M,340.00,11.00,M,30.32,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGUC 110000Z AUTO 34011KT 10SM CLR 29/M07 A3031 RMK T02901070 MADISHF
GUC,2021-07-11 00:05,-106.9330,38.5339,M,M,M,330.00,8.00,M,30.32,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGUC 110005Z AUTO 33008KT 10SM CLR 29/M06 A3031 RMK T02901060 MADISHF
GUC,2021-07-11 00:10,-106.9330,38.5339,M,M,M,330.00,13.00,M,30.32,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGUC 110010Z AUTO 33013KT 10SM CLR 29/M07 A3031 RMK T02901070 MADISHF
GUC,2021-07-11 00:15,-106.9330,38.5339,M,M,M,350.00,10.00,M,30.32,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGUC 110015Z AUTO 35010KT 10SM CLR 29/M07 A3031 RMK T02901070 MADISHF
GUC,2021-07-11 00:20,-106.9330,38.5339,M,M,M,330.00,10.00,M,30.32,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGUC 110020Z AUTO 33010KT 10SM CLR 29/M07 A3031 RMK T02901070 MADISHF
GUC,2021-07-11 00:25,-106.9330,38.5339,M,M,M,330.00,8.00,M,30.32,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGUC 110025Z AUTO 33008KT 10SM CLR 29/M07 A3031 RMK T02901070 MADISHF
GUC,2021-07-11 00:30,-106.9330,38.5339,M,M,M,330.00,11.00,M,30.32,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGUC 110030Z AUTO 33011KT 10SM CLR 29/M07 A3031 RMK T02901070 MADISHF
GUC,2021-07-11 00:35,-106.9330,38.5339,M,M,M,330.00,8.00,M,30.32,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGUC 110035Z AUTO 33008KT 10SM CLR 29/M08 A3031 RMK T02901080 MADISHF
GUC,2021-07-11 00:40,-106.9330,38.5339,M,M,M,340.00,11.00,M,30.31,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGUC 110040Z AUTO 34011KT 10SM CLR 29/M07 A3030 RMK T02901070 MADISHF
GUC,2021-07-11 00:45,-106.9330,38.5339,M,M,M,330.00,9.00,M,30.31,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGUC 110045Z AUTO 33009KT 10SM CLR 29/M08 A3030 RMK T02901080 MADISHF
