#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
GXY,2021-07-11 00:00,-104.6332,40.4374,M,M,M,70.00,8.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGXY 110000Z AUTO 07008KT 10SM CLR 29/06 A3020 RMK T02900060 MADISHF
GXY,2021-07-11 00:05,-104.6332,40.4374,M,M,M,60.00,7.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGXY 110005Z AUTO 06007KT 10SM CLR 29/07 A3020 RMK T02900070 MADISHF
GXY,2021-07-11 00:10,-104.6332,40.4374,M,M,M,50.00,5.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGXY 110010Z AUTO 05005KT 10SM CLR 29/07 A3020 RMK T02900070 MADISHF
GXY,2021-07-11 00:15,-104.6332,40.4374,M,M,M,60.00,10.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGXY 110015Z AUTO 06010KT 10SM CLR 29/07 A3020 RMK T02900070 MADISHF
GXY,2021-07-11 00:20,-104.6332,40.4374,M,M,M,40.00,8.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGXY 110020Z AUTO 04008KT 10SM CLR 28/07 A3020 RMK T02800070 MADISHF
GXY,2021-07-11 00:25,-104.6332,40.4374,M,M,M,50.00,8.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGXY 110025Z AUTO 05008KT 10SM CLR 28/07 A3020 RMK T02800070 MADISHF
GXY,2021-07-11 00:30,-104.6332,40.4374,M,M,M,50.00,10.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGXY 110030Z AUTO 05010KT 10SM CLR 28/07 A3020 RMK T02800070 MADISHF
GXY,2021-07-11 00:35,-104.6332,40.4374,M,M,M,60.00,9.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGXY 110035Z AUTO 06009KT 10SM CLR 28/07 A3020 RMK T02800070 MADISHF
GXY,2021-07-11 00:40,-104.6332,40.4374,M,M,M,70.00,9.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGXY 110040Z AUTO 07009KT 10SM CLR 28/07 A3020 RMK T02800070 MADISHF
GXY,2021-07-11 00:45,-104.6332,40.4374,M,M,M,70.00,10.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KGXY 110045Z AUTO 07010KT 10SM CLR 28/07 A3020 RMK T02800070 MADISHF
