#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
HDN,2021-07-11 00:00,-107.2200,40.4800,M,M,M,360.00,2.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110000Z AUTO 36002KT 10SM CLR 29/M02 A3029 RMK T02901020 MADISHF
HDN,2021-07-11 00:05,-107.2200,40.4800,M,M,M,350.00,8.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110005Z AUTO 35008KT 10SM CLR 29/M02 A3029 RMK T02901020 MADISHF
HDN,2021-07-11 00:10,-107.2200,40.4800,M,M,M,330.00,9.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110010Z AUTO 33009KT 10SM CLR 29/M01 A3029 RMK T02901010 MADISHF
HDN,2021-07-11 00:15,-107.2200,40.4800,M,M,M,340.00,9.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110015Z AUTO 34009KT 10SM CLR 29/M01 A3029 RMK T02901010 MADISHF
HDN,2021-07-11 00:20,-107.2200,40.4800,M,M,M,320.00,7.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110020Z AUTO 32007KT 10SM CLR 29/M01 A3029 RMK T02901010 MADISHF
HDN,2021-07-11 00:25,-107.2200,40.4800,M,M,M,360.00,9.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110025Z AUTO 36009KT 10SM CLR 29/M01 A3029 RMK T02901010 MADISHF
HDN,2021-07-11 00:30,-107.2200,40.4800,M,M,M,330.00,9.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110030Z AUTO 33009KT 10SM CLR 29/M02 A3029 RMK T02901020 MADISHF
HDN,2021-07-11 00:35,-107.2200,40.4800,M,M,M,340.00,2.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110035Z AUTO 34002KT 10SM CLR 29/M02 A3029 RMK T02901020 VRB03KT  MADISHF
HDN,2021-07-11 00:40,-107.2200,40.4800,M,M,M,330.00,9.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110040Z AUTO 33009KT 10SM CLR 29/M01 A3029 RMK T02901010 MADISHF
HDN,2021-07-11 00:45,-107.2200,40.4800,M,M,M,340.00,8.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110045Z AUTO 34008KT 10SM CLR 29/00 A3029 RMK T02900000 MADISHF
HDN,2021-07-11 00:50,-107.2200,40.4800,M,M,M,360.00,10.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110050Z AUTO 36010KT 10SM CLR 29/M01 A3029 RMK T02901010 MADISHF
HDN,2021-07-11 00:55,-107.2200,40.4800,M,M,M,350.00,9.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110055Z AUTO 35009KT 10SM CLR 29/M02 A3029 RMK T02901020 MADISHF
HDN,2021-07-11 00:56,-107.2200,40.4800,84.00,28.90,13.53,360.00,9.00,0.00,30.30,1017.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.10,KHDN 110056Z AUTO 36009KT 10SM CLR 29/M02 A3030 RMK AO2 SLP174 T02891017
HDN,2021-07-11 01:00,-107.2200,40.4800,M,M,M,360.00,9.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110100Z AUTO 36009KT 10SM CLR 28/M02 A3029 RMK T02801020 MADISHF
HDN,2021-07-11 01:05,-107.2200,40.4800,M,M,M,340.00,9.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110105Z AUTO 34009KT 10SM CLR 28/M01 A3029 RMK T02801010 MADISHF
HDN,2021-07-11 01:10,-107.2200,40.4800,M,M,M,340.00,8.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110110Z AUTO 34008KT 10SM CLR 28/00 A3029 RMK T02800000 MADISHF
HDN,2021-07-11 01:15,-107.2200,40.4800,M,M,M,340.00,10.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110115Z AUTO 34010KT 10SM CLR 28/M01 A3029 RMK T02801010 MADISHF
HDN,2021-07-11 01:20,-107.2200,40.4800,M,M,M,350.00,9.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110120Z AUTO 35009KT 10SM CLR 28/M01 A3029 RMK T02801010 MADISHF
HDN,2021-07-11 01:25,-107.2200,40.4800,M,M,M,350.00,9.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110125Z AUTO 35009KT 10SM CLR 28/M01 A3029 RMK T02801010 MADISHF
HDN,2021-07-11 01:30,-107.2200,40.4800,M,M,M,350.00,10.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110130Z AUTO 35010KT 10SM CLR 27/M01 A3029 RMK T02701010 MADISHF
HDN,2021-07-11 01:35,-107.2200,40.4800,M,M,M,360.00,9.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110135Z AUTO 36009KT 10SM CLR 27/M01 A3029 RMK T02701010 MADISHF
HDN,2021-07-11 01:40,-107.2200,40.4800,M,M,M,360.00,10.00,M,30.30,M,5.00,M,CLR,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,KHDN 110140Z AUTO 36010KT 5SM HZ CLR 27/M02 A3029 RMK T02701020 MADISHF
HDN,2021-07-11 01:45,-107.2200,40.4800,M,M,M,350.00,10.00,M,30.30,M,5.00,M,CLR,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,KHDN 110145Z AUTO 35010KT 5SM HZ CLR 27/M02 A3029 RMK T02701020 MADISHF
HDN,2021-07-11 01:50,-107.2200,40.4800,M,M,M,350.00,9.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110150Z AUTO 35009KT 10SM CLR 26/M01 A3029 RMK T02601010 MADISHF
HDN,2021-07-11 01:55,-107.2200,40.4800,M,M,M,350.00,10.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHDN 110155Z AUTO 35010KT 10SM CLR 26/M02 A3029 RMK T02601020 MADISHF
