#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
HEQ,2021-07-11 00:15,-102.2727,40.5694,82.40,46.40,28.36,10.00,10.00,0.00,30.15,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.64,KHEQ 110015Z AUTO 01010G18KT 10SM CLR 28/08 A3015 RMK AO2
HEQ,2021-07-11 00:35,-102.2727,40.5694,82.40,46.40,28.36,10.00,12.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.64,KHEQ 110035Z AUTO 01012KT 10SM CLR 28/08 A3016 RMK AO2
HEQ,2021-07-11 00:55,-102.2727,40.5694,80.60,46.40,30.07,10.00,11.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.56,KHEQ 110055Z AUTO 01011KT 10SM CLR 27/08 A3016 RMK AO2
HEQ,2021-07-11 01:15,-102.2727,40.5694,80.60,48.20,32.18,10.00,12.00,0.00,30.16,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.71,KHEQ 110115Z AUTO 01012G16KT 10SM CLR 27/09 A3016 RMK AO2
HEQ,2021-07-11 01:35,-102.2727,40.5694,78.80,50.00,36.51,20.00,11.00,0.00,30.17,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHEQ 110135Z AUTO 02011G16KT 10SM CLR 26/10 A3017 RMK AO2
HEQ,2021-07-11 01:55,-102.2727,40.5694,78.80,51.80,39.02,20.00,8.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHEQ 110155Z AUTO 02008KT 10SM CLR 26/11 A3017 RMK AO2
HEQ,2021-07-11 02:15,-102.2727,40.5694,73.40,53.60,49.90,50.00,7.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHEQ 110215Z AUTO 05007KT 10SM CLR 23/12 A3018 RMK AO2
HEQ,2021-07-11 02:35,-102.2727,40.5694,69.80,55.40,60.21,50.00,6.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHEQ 110235Z AUTO 05006KT 10SM CLR 21/13 A3018 RMK AO2
HEQ,2021-07-11 02:55,-102.2727,40.5694,68.00,53.60,59.97,40.00,6.00,0.00,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHEQ 110255Z AUTO 04006KT 10SM CLR 20/12 A3019 RMK AO2
HEQ,2021-07-11 03:15,-102.2727,40.5694,64.40,55.40,72.56,40.00,5.00,0.00,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHEQ 110315Z AUTO 04005KT 10SM CLR 18/13 A3020 RMK AO2
HEQ,2021-07-11 03:35,-102.2727,40.5694,62.60,55.40,77.29,40.00,6.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHEQ 110335Z AUTO 04006KT 10SM CLR 17/13 A3021 RMK AO2
