#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
HNR,2021-07-11 00:15,-95.3355,41.5834,68.00,68.00,100.00,350.00,9.00,0.00,29.90,M,10.00,M,BKN,OVC,M,M,1400.00,1800.00,M,M,M,M,M,M,M,M,M,M,KHNR 110015Z AUTO 35009KT 10SM BKN014 OVC018 20/20 A2990 RMK A01
HNR,2021-07-11 00:35,-95.3355,41.5834,68.00,68.00,100.00,10.00,7.00,0.00,29.91,M,10.00,M,BKN,OVC,M,M,1600.00,2100.00,M,M,M,M,M,M,M,M,M,M,KHNR 110035Z AUTO 01007KT 10SM BKN016 OVC021 20/20 A2991 RMK A01
HNR,2021-07-11 00:55,-95.3355,41.5834,66.20,66.20,100.00,350.00,5.00,0.01,29.90,M,10.00,M,FEW,BKN,OVC,M,1400.00,2000.00,2700.00,M,M,M,M,M,M,M,M,M,KHNR 110055Z AUTO 35005KT 10SM FEW014 BKN020 OVC027 19/19 A2990 RMK A01 P0001
HNR,2021-07-11 01:15,-95.3355,41.5834,66.20,66.20,100.00,360.00,6.00,0.00,29.90,M,10.00,M,SCT,BKN,BKN,M,1500.00,2300.00,3500.00,M,M,M,M,M,M,M,M,M,KHNR 110115Z AUTO 36006KT 10SM SCT015 BKN023 BKN035 19/19 A2990 RMK A01
HNR,2021-07-11 01:35,-95.3355,41.5834,66.20,68.00,M,10.00,11.00,0.00,29.90,M,10.00,M,SCT,BKN,OVC,M,1000.00,1500.00,6500.00,M,M,M,M,M,M,M,M,M,KHNR 110135Z AUTO 01011KT 10SM SCT010 BKN015 OVC065 19/20 A2990 RMK A01
HNR,2021-07-11 01:55,-95.3355,41.5834,66.20,66.20,100.00,20.00,12.00,0.00,29.90,M,10.00,17.00,BKN,OVC,M,M,900.00,1300.00,M,M,M,M,M,M,M,M,M,M,KHNR 110155Z AUTO 02012G17KT 10SM BKN009 OVC013 19/19 A2990 RMK A01
HNR,2021-07-11 02:15,-95.3355,41.5834,66.20,66.20,100.00,30.00,12.00,0.00,29.91,M,9.00,19.00,BKN,OVC,M,M,900.00,1300.00,M,M,M,M,M,M,M,M,M,M,KHNR 110215Z AUTO 03012G19KT 9SM BKN009 OVC013 19/19 A2991 RMK A01
HNR,2021-07-11 02:35,-95.3355,41.5834,66.20,66.20,100.00,20.00,15.00,0.00,29.92,M,10.00,M,BKN,OVC,M,M,800.00,1300.00,M,M,M,M,M,M,M,M,M,M,KHNR 110235Z AUTO 02015KT 10SM BKN008 OVC013 19/19 A2992 RMK A01
HNR,2021-07-11 02:55,-95.3355,41.5834,64.40,64.40,100.00,30.00,15.00,0.00,29.93,M,10.00,22.00,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,M,KHNR 110255Z AUTO 03015G22KT 10SM OVC008 18/18 A2993 RMK A01
HNR,2021-07-11 03:15,-95.3355,41.5834,64.40,64.40,100.00,20.00,10.00,0.00,29.94,M,9.00,M,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,M,KHNR 110315Z AUTO 02010KT 9SM OVC008 18/18 A2994 RMK A01
