#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
HPT,2021-07-11 00:15,-93.2244,42.7175,68.00,59.00,72.92,50.00,7.00,0.00,29.96,M,10.00,M,SCT,OVC,M,M,8500.00,11000.00,M,M,M,M,M,M,M,M,M,M,KHPT 110015Z AUTO 05007KT 10SM SCT085 OVC110 20/15 A2996 RMK AO2
HPT,2021-07-11 00:35,-93.2244,42.7175,66.20,59.00,77.60,40.00,5.00,0.00,29.96,M,10.00,M,BKN,BKN,OVC,M,7000.00,9000.00,12000.00,M,M,M,M,M,M,M,M,M,KHPT 110035Z AUTO 04005KT 10SM BKN070 BKN090 OVC120 19/15 A2996 RMK AO2
HPT,2021-07-11 00:55,-93.2244,42.7175,64.40,60.80,88.09,30.00,4.00,0.00,29.95,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KHPT 110055Z AUTO 03004KT 10SM OVC080 18/16 A2995 RMK AO2
HPT,2021-07-11 01:15,-93.2244,42.7175,64.40,60.80,88.09,30.00,4.00,0.00,29.95,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KHPT 110115Z AUTO 03004KT 10SM OVC080 18/16 A2995 RMK AO2
HPT,2021-07-11 01:35,-93.2244,42.7175,64.40,60.80,88.09,20.00,6.00,0.00,29.95,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KHPT 110135Z AUTO 02006KT 10SM OVC080 18/16 A2995 RMK AO2
HPT,2021-07-11 01:55,-93.2244,42.7175,64.40,60.80,88.09,20.00,6.00,0.00,29.95,M,10.00,M,SCT,OVC,M,M,7000.00,9000.00,M,M,M,M,M,M,M,M,M,M,KHPT 110155Z AUTO 02006KT 10SM SCT070 OVC090 18/16 A2995 RMK AO2
HPT,2021-07-11 02:15,-93.2244,42.7175,64.40,60.80,88.09,20.00,5.00,0.00,29.96,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KHPT 110215Z AUTO 02005KT 10SM OVC090 18/16 A2996 RMK AO2
HPT,2021-07-11 02:35,-93.2244,42.7175,64.40,60.80,88.09,10.00,4.00,0.00,29.97,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KHPT 110235Z AUTO 01004KT 10SM OVC100 18/16 A2997 RMK AO2
HPT,2021-07-11 02:55,-93.2244,42.7175,64.40,60.80,88.09,10.00,4.00,0.00,29.97,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KHPT 110255Z AUTO 01004KT 10SM OVC110 18/16 A2997 RMK AO2
HPT,2021-07-11 03:15,-93.2244,42.7175,64.40,60.80,88.09,10.00,4.00,0.00,29.98,M,10.00,M,SCT,BKN,M,M,10000.00,12000.00,M,M,M,M,M,M,M,M,M,M,KHPT 110315Z AUTO 01004KT 10SM SCT100 BKN120 18/16 A2998 RMK AO2
HPT,2021-07-11 03:35,-93.2244,42.7175,64.40,60.80,88.09,20.00,5.00,0.00,29.98,M,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KHPT 110335Z AUTO 02005KT 10SM SCT100 18/16 A2998 RMK AO2
HPT,2021-07-11 03:55,-93.2244,42.7175,64.40,60.80,88.09,20.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHPT 110355Z AUTO 02005KT 10SM CLR 18/16 A2998 RMK AO2
HPT,2021-07-11 04:15,-93.2244,42.7175,64.40,60.80,88.09,20.00,8.00,0.00,29.98,M,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KHPT 110415Z AUTO 02008KT 10SM SCT100 18/16 A2998 RMK AO2
HPT,2021-07-11 04:35,-93.2244,42.7175,64.40,60.80,88.09,30.00,7.00,0.00,29.98,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KHPT 110435Z AUTO 03007KT 10SM BKN110 18/16 A2998 RMK AO2
HPT,2021-07-11 04:55,-93.2244,42.7175,64.40,60.80,88.09,20.00,8.00,0.00,29.98,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KHPT 110455Z AUTO 02008KT 10SM SCT110 18/16 A2998 RMK AO2
HPT,2021-07-11 05:15,-93.2244,42.7175,64.40,60.80,88.09,30.00,6.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KHPT 110515Z AUTO 03006KT 10SM CLR 18/16 A2999 RMK AO2
HPT,2021-07-11 05:35,-93.2244,42.7175,64.40,60.80,88.09,30.00,7.00,0.00,29.98,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KHPT 110535Z AUTO 03007KT 10SM SCT120 18/16 A2998 RMK AO2
HPT,2021-07-11 05:55,-93.2244,42.7175,64.40,60.80,88.09,30.00,7.00,0.00,29.98,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,M,KHPT 110555Z AUTO 03007KT 10SM BKN120 18/16 A2998 RMK AO2
