#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
I75,2021-07-11 00:15,-93.6876,41.0472,66.20,64.60,94.58,40.00,12.00,0.03,29.84,M,7.00,M,M,M,M,M,M,M,M,M,-RA,M,M,M,M,M,M,M,KI75 110015Z AUTO 04012KT 7SM -RA 19/18 A2984 RMK AO2 P0003 T01900181
I75,2021-07-11 00:35,-93.6876,41.0472,66.40,65.30,96.25,60.00,10.00,0.04,29.85,M,10.00,M,M,M,M,M,M,M,M,M,-RA,M,M,M,M,M,M,M,KI75 110035Z AUTO 06010KT 10SM -RA 19/19 A2985 RMK AO2 P0004 T01910185
I75,2021-07-11 00:55,-93.6876,41.0472,66.20,64.90,95.58,60.00,9.00,0.05,29.84,M,10.00,15.00,M,M,M,M,M,M,M,M,-RA,M,M,M,M,M,M,M,KI75 110055Z AUTO 06009G15KT 10SM -RA 19/18 A2984 RMK AO2 P0005 T01900183
I75,2021-07-11 01:15,-93.6876,41.0472,66.60,64.90,94.26,80.00,7.00,0.00,29.84,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110115Z AUTO 08007KT 10SM 19/18 A2984 RMK AO2 T01920183
I75,2021-07-11 01:35,-93.6876,41.0472,66.70,65.50,95.92,100.00,7.00,0.00,29.85,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110135Z AUTO 10007KT 7SM 19/19 A2985 RMK AO2 T01930186
I75,2021-07-11 01:55,-93.6876,41.0472,67.10,66.20,96.93,90.00,6.00,0.00,29.85,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110155Z AUTO 09006KT 10SM 20/19 A2985 RMK AO2 T01950190
I75,2021-07-11 02:15,-93.6876,41.0472,67.30,66.20,96.26,90.00,6.00,0.00,29.86,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110215Z AUTO 09006KT 7SM 20/19 A2986 RMK AO2 T01960190
I75,2021-07-11 02:35,-93.6876,41.0472,67.50,66.40,96.27,50.00,3.00,0.00,29.88,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110235Z AUTO 05003KT 7SM 20/19 A2988 RMK AO2 T01970191
I75,2021-07-11 02:55,-93.6876,41.0472,67.80,66.40,95.28,60.00,6.00,0.00,29.89,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110255Z AUTO 06006KT 7SM 20/19 A2989 RMK AO2 60005 T01990191
I75,2021-07-11 03:15,-93.6876,41.0472,67.80,66.20,94.62,50.00,6.00,0.00,29.90,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110315Z AUTO 05006KT 7SM 20/19 A2990 RMK AO2 T01990190
I75,2021-07-11 03:35,-93.6876,41.0472,67.50,65.80,94.28,60.00,5.00,0.00,29.91,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110335Z AUTO 06005KT 7SM 20/19 A2991 RMK AO2 T01970188
I75,2021-07-11 03:55,-93.6876,41.0472,67.30,65.70,94.61,60.00,6.00,0.00,29.92,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110355Z AUTO 06006KT 7SM 20/19 A2992 RMK AO2 T01960187
I75,2021-07-11 04:15,-93.6876,41.0472,67.10,65.50,94.60,60.00,5.00,0.00,29.92,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110415Z AUTO 06005KT 7SM 20/19 A2992 RMK AO2 T01950186
I75,2021-07-11 04:35,-93.6876,41.0472,67.30,65.70,94.61,30.00,5.00,0.00,29.92,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110435Z AUTO 03005KT 7SM 20/19 A2992 RMK AO2 T01960187
I75,2021-07-11 04:55,-93.6876,41.0472,67.10,65.70,95.26,10.00,4.00,0.00,29.92,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110455Z AUTO 01004KT 7SM 20/19 A2992 RMK AO2 T01950187
I75,2021-07-11 05:15,-93.6876,41.0472,66.60,65.50,96.25,360.00,4.00,0.00,29.92,M,5.00,M,M,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,KI75 110515Z AUTO 36004KT 5SM BR 19/19 A2992 RMK AO2 T01920186
I75,2021-07-11 05:35,-93.6876,41.0472,66.40,65.30,96.25,360.00,6.00,0.00,29.91,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110535Z AUTO 36006KT 7SM 19/19 A2991 RMK AO2 T01910185
I75,2021-07-11 05:55,-93.6876,41.0472,66.40,65.30,96.25,360.00,5.00,0.00,29.91,M,5.00,M,M,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,KI75 110555Z AUTO 36005KT 5SM BR 19/19 A2991 RMK AO2 60005 T01910185 10200 20189 402620181
I75,2021-07-11 06:15,-93.6876,41.0472,66.40,65.50,96.92,360.00,5.00,0.00,29.92,M,5.00,M,M,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,KI75 110615Z AUTO 36005KT 5SM BR 19/19 A2992 RMK AO2 T01910186
I75,2021-07-11 06:35,-93.6876,41.0472,66.20,65.30,96.92,10.00,6.00,0.00,29.91,M,7.00,M,M,M,M,M,M,M,M,M,-DZ,M,M,M,M,M,M,M,KI75 110635Z AUTO 01006KT 7SM -DZ 19/19 A2991 RMK AO2 T01900185
I75,2021-07-11 06:55,-93.6876,41.0472,66.20,65.30,96.92,360.00,7.00,0.00,29.91,M,5.00,M,M,M,M,M,M,M,M,M,-RA,M,M,M,M,M,M,M,KI75 110655Z AUTO 36007KT 5SM -RA 19/19 A2991 RMK AO2 T01900185
I75,2021-07-11 07:15,-93.6876,41.0472,65.80,64.90,96.92,360.00,7.00,0.00,29.91,M,5.00,M,M,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,KI75 110715Z AUTO 36007KT 5SM BR 19/18 A2991 RMK AO2 T01880183
I75,2021-07-11 07:35,-93.6876,41.0472,65.80,64.90,96.92,10.00,7.00,0.00,29.91,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110735Z AUTO 01007KT 7SM 19/18 A2991 RMK AO2 T01880183
I75,2021-07-11 07:55,-93.6876,41.0472,65.70,64.60,96.24,360.00,8.00,0.00,29.91,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110755Z AUTO 36008KT 7SM 19/18 A2991 RMK AO2 T01870181
I75,2021-07-11 08:15,-93.6876,41.0472,65.50,64.40,96.24,10.00,6.00,0.00,29.91,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110815Z AUTO 01006KT 10SM 19/18 A2991 RMK AO2 T01860180
I75,2021-07-11 08:35,-93.6876,41.0472,65.50,64.40,96.24,360.00,7.00,0.00,29.91,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110835Z AUTO 36007KT 10SM 19/18 A2991 RMK AO2 T01860180
I75,2021-07-11 08:55,-93.6876,41.0472,65.30,64.00,95.56,350.00,6.00,0.00,29.91,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110855Z AUTO 35006KT 7SM 19/18 A2991 RMK AO2 T01850178
I75,2021-07-11 09:15,-93.6876,41.0472,65.30,63.90,95.23,360.00,6.00,0.00,29.91,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110915Z AUTO 36006KT 10SM 19/18 A2991 RMK AO2 T01850177
I75,2021-07-11 09:35,-93.6876,41.0472,65.30,63.70,94.56,360.00,7.00,0.00,29.92,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110935Z AUTO 36007KT 7SM 19/18 A2992 RMK AO2 T01850176
I75,2021-07-11 09:55,-93.6876,41.0472,64.90,63.70,95.89,350.00,7.00,0.00,29.92,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 110955Z AUTO 35007KT 10SM 18/18 A2992 RMK AO2 T01830176
I75,2021-07-11 10:15,-93.6876,41.0472,64.60,63.50,96.22,350.00,8.00,0.00,29.92,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KI75 111015Z AUTO 35008KT 10SM 18/18 A2992 RMK AO2 T01810175
