#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ICL,2021-07-11 00:15,-95.0223,40.7242,68.00,66.20,93.97,320.00,5.00,0.00,29.89,M,10.00,M,BKN,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KICL 110015Z AUTO 32005KT 10SM BKN019 20/19 A2989 RMK AO2
ICL,2021-07-11 00:35,-95.0223,40.7242,68.00,66.20,93.97,0.00,0.00,0.00,29.89,M,10.00,M,SCT,BKN,M,M,1700.00,2100.00,M,M,M,M,M,M,M,M,M,M,KICL 110035Z AUTO 00000KT 10SM SCT017 BKN021 20/19 A2989 RMK AO2
ICL,2021-07-11 00:55,-95.0223,40.7242,68.00,68.00,100.00,0.00,0.00,0.00,29.89,M,10.00,M,BKN,BKN,M,M,1500.00,1900.00,M,M,M,M,M,M,M,M,M,M,KICL 110055Z AUTO 00000KT 10SM BKN015 BKN019 20/20 A2989 RMK AO2
ICL,2021-07-11 01:15,-95.0223,40.7242,68.00,68.00,100.00,0.00,0.00,0.00,29.88,M,10.00,M,BKN,BKN,M,M,1500.00,3100.00,M,M,M,M,M,M,M,M,M,M,KICL 110115Z AUTO 00000KT 10SM BKN015 BKN031 20/20 A2988 RMK AO2
ICL,2021-07-11 01:35,-95.0223,40.7242,68.00,68.00,100.00,0.00,0.00,0.00,29.88,M,10.00,M,BKN,BKN,OVC,M,1800.00,2600.00,3100.00,M,M,M,M,M,M,M,M,M,KICL 110135Z AUTO 00000KT 10SM BKN018 BKN026 OVC031 20/20 A2988 RMK AO2
ICL,2021-07-11 01:55,-95.0223,40.7242,68.00,68.00,100.00,300.00,4.00,0.00,29.88,M,10.00,M,BKN,BKN,OVC,M,1500.00,1900.00,2700.00,M,M,M,M,M,M,M,M,M,KICL 110155Z AUTO 30004KT 10SM BKN015 BKN019 OVC027 20/20 A2988 RMK AO2
ICL,2021-07-11 02:15,-95.0223,40.7242,68.00,68.00,100.00,300.00,3.00,0.00,29.89,M,10.00,M,BKN,BKN,OVC,M,1400.00,1900.00,2700.00,M,M,M,M,M,M,M,M,M,KICL 110215Z AUTO 30003KT 10SM BKN014 BKN019 OVC027 20/20 A2989 RMK AO2
ICL,2021-07-11 02:35,-95.0223,40.7242,68.00,68.00,100.00,0.00,0.00,0.00,29.89,M,10.00,M,BKN,BKN,OVC,M,1500.00,2100.00,2800.00,M,M,M,M,M,M,M,M,M,KICL 110235Z AUTO 00000KT 10SM BKN015 BKN021 OVC028 20/20 A2989 RMK AO2
ICL,2021-07-11 02:55,-95.0223,40.7242,68.00,68.00,100.00,0.00,0.00,0.00,29.90,M,7.00,M,BKN,OVC,M,M,1300.00,1900.00,M,M,M,M,M,M,M,M,M,M,KICL 110255Z AUTO 00000KT 7SM BKN013 OVC019 20/20 A2990 RMK AO2
ICL,2021-07-11 03:15,-95.0223,40.7242,68.00,68.00,100.00,0.00,0.00,0.00,29.90,M,3.00,M,FEW,BKN,OVC,M,300.00,1200.00,1600.00,M,-RA,M,M,M,M,M,M,M,KICL 110315Z AUTO 00000KT 3SM -RA FEW003 BKN012 OVC016 20/20 A2990 RMK AO2
ICL,2021-07-11 03:35,-95.0223,40.7242,68.00,68.00,100.00,0.00,0.00,0.00,29.90,M,9.00,M,BKN,OVC,M,M,1100.00,1600.00,M,M,M,M,M,M,M,M,M,M,KICL 110335Z AUTO 00000KT 9SM BKN011 OVC016 20/20 A2990 RMK AO2
ICL,2021-07-11 03:55,-95.0223,40.7242,68.00,68.00,100.00,10.00,4.00,0.01,29.91,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,M,KICL 110355Z AUTO 01004KT 10SM OVC011 20/20 A2991 RMK AO2 P0001
ICL,2021-07-11 04:15,-95.0223,40.7242,66.20,66.20,100.00,120.00,3.00,0.00,29.91,M,7.00,M,SCT,BKN,OVC,M,500.00,1200.00,2200.00,M,M,M,M,M,M,M,M,M,KICL 110415Z AUTO 12003KT 7SM SCT005 BKN012 OVC022 19/19 A2991 RMK AO2
ICL,2021-07-11 04:35,-95.0223,40.7242,66.20,66.20,100.00,100.00,4.00,0.00,29.91,M,10.00,M,SCT,BKN,OVC,M,500.00,900.00,2800.00,M,M,M,M,M,M,M,M,M,KICL 110435Z AUTO 10004KT 10SM SCT005 BKN009 OVC028 19/19 A2991 RMK AO2
ICL,2021-07-11 04:55,-95.0223,40.7242,66.20,66.20,100.00,0.00,0.00,0.00,29.91,M,10.00,M,FEW,SCT,BKN,M,500.00,2600.00,7000.00,M,M,M,M,M,M,M,M,M,KICL 110455Z AUTO 00000KT 10SM FEW005 SCT026 BKN070 19/19 A2991 RMK AO2
ICL,2021-07-11 05:15,-95.0223,40.7242,66.20,66.20,100.00,70.00,4.00,0.00,29.91,M,10.00,M,BKN,OVC,M,M,1400.00,7000.00,M,M,M,M,M,M,M,M,M,M,KICL 110515Z AUTO 07004KT 10SM BKN014 OVC070 19/19 A2991 RMK AO2
ICL,2021-07-11 05:35,-95.0223,40.7242,66.20,66.20,100.00,40.00,3.00,0.00,29.91,M,10.00,M,SCT,OVC,M,M,1300.00,12000.00,M,M,M,M,M,M,M,M,M,M,KICL 110535Z AUTO 04003KT 10SM SCT013 OVC120 19/19 A2991 RMK AO2
ICL,2021-07-11 05:55,-95.0223,40.7242,66.20,66.20,100.00,10.00,5.00,0.00,29.91,M,10.00,M,BKN,BKN,M,M,1000.00,12000.00,M,M,M,M,M,M,M,M,M,M,KICL 110555Z AUTO 01005KT 10SM BKN010 BKN120 19/19 A2991 RMK AO2
ICL,2021-07-11 06:15,-95.0223,40.7242,66.20,66.20,100.00,20.00,4.00,0.00,29.91,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,M,KICL 110615Z AUTO 02004KT 10SM OVC008 19/19 A2991 RMK AO2
ICL,2021-07-11 06:35,-95.0223,40.7242,66.20,66.20,100.00,30.00,7.00,0.00,29.91,M,10.00,M,BKN,OVC,M,M,800.00,3000.00,M,M,M,M,M,M,M,M,M,M,KICL 110635Z AUTO 03007KT 10SM BKN008 OVC030 19/19 A2991 RMK AO2
ICL,2021-07-11 06:55,-95.0223,40.7242,66.20,66.20,100.00,20.00,6.00,0.00,29.91,M,10.00,M,BKN,OVC,M,M,700.00,2500.00,M,M,M,M,M,M,M,M,M,M,KICL 110655Z AUTO 02006KT 10SM BKN007 OVC025 19/19 A2991 RMK AO2
ICL,2021-07-11 07:15,-95.0223,40.7242,66.20,66.20,100.00,40.00,8.00,0.00,29.91,M,10.00,M,SCT,OVC,M,M,700.00,1300.00,M,M,M,M,M,M,M,M,M,M,KICL 110715Z AUTO 04008KT 10SM SCT007 OVC013 19/19 A2991 RMK AO2
ICL,2021-07-11 07:35,-95.0223,40.7242,66.20,66.20,100.00,40.00,7.00,0.00,29.92,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,KICL 110735Z AUTO 04007KT 10SM OVC012 19/19 A2992 RMK AO2
ICL,2021-07-11 07:55,-95.0223,40.7242,66.20,66.20,100.00,40.00,8.00,0.00,29.92,M,9.00,M,OVC,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,M,KICL 110755Z AUTO 04008KT 9SM OVC014 19/19 A2992 RMK AO2
ICL,2021-07-11 08:15,-95.0223,40.7242,66.20,66.20,100.00,40.00,10.00,0.00,29.92,M,9.00,M,BKN,OVC,M,M,1300.00,1800.00,M,M,M,M,M,M,M,M,M,M,KICL 110815Z AUTO 04010KT 9SM BKN013 OVC018 19/19 A2992 RMK AO2
