#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
IFA,2021-07-11 00:15,-93.2651,42.4691,68.20,61.70,79.72,40.00,6.00,0.00,29.95,M,10.00,M,SCT,BKN,OVC,M,2900.00,6500.00,9500.00,M,M,M,M,M,M,M,M,M,KIFA 110015Z AUTO 04006KT 10SM SCT029 BKN065 OVC095 20/17 A2995 RMK AO2 T02010165
IFA,2021-07-11 00:35,-93.2651,42.4691,67.60,61.70,81.38,30.00,4.00,0.00,29.96,M,10.00,M,BKN,OVC,M,M,3100.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIFA 110035Z AUTO 03004KT 10SM BKN031 OVC065 20/17 A2996 RMK AO2 T01980165
IFA,2021-07-11 00:55,-93.2651,42.4691,67.30,62.20,83.69,30.00,4.00,0.00,29.95,M,10.00,M,SCT,OVC,M,M,3100.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIFA 110055Z AUTO 03004KT 10SM SCT031 OVC065 20/17 A2995 RMK AO2 T01960168
IFA,2021-07-11 01:15,-93.2651,42.4691,67.10,62.60,85.47,30.00,6.00,0.00,29.95,M,10.00,M,SCT,OVC,M,M,6500.00,10000.00,M,M,M,M,M,M,M,M,M,M,KIFA 110115Z AUTO 03006KT 10SM SCT065 OVC100 20/17 A2995 RMK AO2 T01950170
IFA,2021-07-11 01:35,-93.2651,42.4691,66.70,62.20,85.45,40.00,4.00,0.00,29.95,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KIFA 110135Z AUTO 04004KT 10SM OVC100 19/17 A2995 RMK AO2 T01930168
IFA,2021-07-11 01:55,-93.2651,42.4691,66.20,61.70,85.42,20.00,4.00,0.00,29.95,M,10.00,M,BKN,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KIFA 110155Z AUTO 02004KT 10SM BKN100 19/17 A2995 RMK AO2 T01900165
IFA,2021-07-11 02:15,-93.2651,42.4691,65.80,61.70,86.61,30.00,5.00,0.00,29.95,M,10.00,M,SCT,BKN,M,M,8000.00,11000.00,M,M,M,M,M,M,M,M,M,M,KIFA 110215Z AUTO 03005KT 10SM SCT080 BKN110 19/17 A2995 RMK AO2 T01880165
IFA,2021-07-11 02:35,-93.2651,42.4691,65.50,61.70,87.52,20.00,7.00,0.00,29.96,M,10.00,M,SCT,BKN,M,M,8000.00,11000.00,M,M,M,M,M,M,M,M,M,M,KIFA 110235Z AUTO 02007KT 10SM SCT080 BKN110 19/17 A2996 RMK AO2 T01860165
IFA,2021-07-11 02:55,-93.2651,42.4691,65.50,61.70,87.52,20.00,6.00,0.00,29.96,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KIFA 110255Z AUTO 02006KT 10SM BKN110 19/17 A2996 RMK AO2 T01860165
IFA,2021-07-11 03:15,-93.2651,42.4691,65.50,62.10,88.77,20.00,6.00,0.00,29.97,M,10.00,M,SCT,BKN,M,M,9500.00,12000.00,M,M,M,M,M,M,M,M,M,M,KIFA 110315Z AUTO 02006KT 10SM SCT095 BKN120 19/17 A2997 RMK AO2 T01860167
IFA,2021-07-11 03:35,-93.2651,42.4691,65.80,61.30,85.40,20.00,7.00,0.00,29.98,M,10.00,M,BKN,OVC,M,M,9500.00,12000.00,M,M,M,M,M,M,M,M,M,M,KIFA 110335Z AUTO 02007KT 10SM BKN095 OVC120 19/16 A2998 RMK AO2 T01880163
