#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
IIB,2021-07-11 00:15,-91.9504,42.4544,72.90,63.00,71.11,80.00,5.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KIIB 110015Z AUTO 08005KT 10SM CLR 23/17 A2994 RMK AO2 T02270172
IIB,2021-07-11 00:35,-91.9504,42.4544,72.90,63.50,72.37,60.00,5.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KIIB 110035Z AUTO 06005KT 10SM CLR 23/18 A2993 RMK AO2 T02270175
IIB,2021-07-11 00:55,-91.9504,42.4544,72.50,62.80,71.57,50.00,5.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KIIB 110055Z AUTO 05005KT 10SM CLR 23/17 A2994 RMK AO2 T02250171
IIB,2021-07-11 01:15,-91.9504,42.4544,71.60,63.00,74.31,40.00,5.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KIIB 110115Z AUTO 04005KT 10SM CLR 22/17 A2994 RMK AO2 T02200172
IIB,2021-07-11 01:35,-91.9504,42.4544,70.90,63.00,76.09,40.00,5.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KIIB 110135Z AUTO 04005KT 10SM CLR 22/17 A2994 RMK AO2 T02160172
IIB,2021-07-11 01:55,-91.9504,42.4544,70.00,63.50,79.85,30.00,5.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KIIB 110155Z AUTO 03005KT 10SM CLR 21/18 A2994 RMK AO2 T02110175
IIB,2021-07-11 02:15,-91.9504,42.4544,68.90,64.40,85.57,20.00,4.00,0.00,29.94,M,10.00,M,SCT,M,M,M,3500.00,M,M,M,M,M,M,M,M,M,M,M,KIIB 110215Z AUTO 02004KT 10SM SCT035 21/18 A2994 RMK AO2 T02050180
IIB,2021-07-11 02:35,-91.9504,42.4544,68.40,64.80,88.28,20.00,5.00,0.00,29.94,M,10.00,M,SCT,SCT,BKN,M,3300.00,3900.00,4700.00,M,M,M,M,M,M,M,M,M,KIIB 110235Z AUTO 02005KT 10SM SCT033 SCT039 BKN047 20/18 A2994 RMK AO2 T02020182
IIB,2021-07-11 02:55,-91.9504,42.4544,69.40,64.40,84.12,30.00,6.00,0.00,29.95,M,10.00,M,BKN,OVC,M,M,3300.00,4900.00,M,M,M,M,M,M,M,M,M,M,KIIB 110255Z AUTO 03006KT 10SM BKN033 OVC049 21/18 A2995 RMK AO2 T02080180
IIB,2021-07-11 03:15,-91.9504,42.4544,70.00,63.50,79.85,40.00,7.00,0.00,29.96,M,10.00,M,BKN,BKN,OVC,M,3100.00,3800.00,4400.00,M,M,M,M,M,M,M,M,M,KIIB 110315Z AUTO 04007KT 10SM BKN031 BKN038 OVC044 21/18 A2996 RMK AO2 T02110175
