#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
IKV,2021-07-11 00:15,-93.5695,41.6878,66.20,66.20,100.00,80.00,10.00,0.00,29.89,M,5.00,15.00,FEW,SCT,BKN,M,2800.00,3700.00,4700.00,M,-RA,M,M,M,M,M,M,M,KIKV 110015Z AUTO 08010G15KT 5SM -RA FEW028 SCT037 BKN047 19/19 A2989 RMK AO2
IKV,2021-07-11 00:35,-93.5695,41.6878,66.20,64.40,93.92,80.00,10.00,0.00,29.88,M,5.00,16.00,FEW,SCT,M,M,3700.00,4700.00,M,M,-RA,M,M,M,M,M,M,M,KIKV 110035Z AUTO 08010G16KT 050V110 5SM -RA FEW037 SCT047 19/18 A2988 RMK AO2
IKV,2021-07-11 00:55,-93.5695,41.6878,66.20,64.40,93.92,80.00,10.00,0.06,29.87,M,8.00,M,FEW,M,M,M,4800.00,M,M,M,-RA,M,M,M,M,M,M,M,KIKV 110055Z AUTO 08010KT 8SM -RA FEW048 19/18 A2987 RMK AO2 P0006
IKV,2021-07-11 01:15,-93.5695,41.6878,66.20,64.40,93.92,70.00,12.00,0.00,29.87,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KIKV 110115Z AUTO 07012KT 8SM CLR 19/18 A2987 RMK AO2
IKV,2021-07-11 01:35,-93.5695,41.6878,66.20,64.40,93.92,70.00,10.00,0.00,29.87,M,8.00,17.00,FEW,FEW,M,M,1000.00,12000.00,M,M,M,M,M,M,M,M,M,M,KIKV 110135Z AUTO 07010G17KT 8SM FEW010 FEW120 19/18 A2987 RMK AO2
IKV,2021-07-11 01:55,-93.5695,41.6878,66.20,64.40,93.92,70.00,13.00,0.00,29.88,M,7.00,19.00,FEW,BKN,M,M,1100.00,12000.00,M,M,M,M,M,M,M,M,M,M,KIKV 110155Z AUTO 07013G19KT 7SM FEW011 BKN120 19/18 A2988 RMK AO2
IKV,2021-07-11 02:15,-93.5695,41.6878,66.20,64.40,93.92,70.00,12.00,0.00,29.88,M,9.00,M,OVC,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KIKV 110215Z AUTO 07012KT 9SM OVC110 19/18 A2988 RMK AO2
IKV,2021-07-11 02:35,-93.5695,41.6878,66.20,62.60,88.18,70.00,8.00,0.00,29.90,M,10.00,14.00,BKN,BKN,M,M,2200.00,12000.00,M,M,M,M,M,M,M,M,M,M,KIKV 110235Z AUTO 07008G14KT 10SM BKN022 BKN120 19/17 A2990 RMK AO2
IKV,2021-07-11 02:55,-93.5695,41.6878,66.20,62.60,88.18,70.00,6.00,0.00,29.92,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,KIKV 110255Z AUTO 07006KT 10SM OVC025 19/17 A2992 RMK AO2
IKV,2021-07-11 03:15,-93.5695,41.6878,66.20,62.60,88.18,50.00,7.00,0.00,29.93,M,10.00,M,FEW,BKN,OVC,M,2600.00,9000.00,11000.00,M,M,M,M,M,M,M,M,M,KIKV 110315Z AUTO 05007KT 020V080 10SM FEW026 BKN090 OVC110 19/17 A2993 RMK AO2
