#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ITR,2021-07-11 00:00,-102.2854,39.2425,M,M,M,30.00,17.00,M,30.16,M,10.00,23.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110000Z AUTO 03017G23KT 10SM CLR 29/08 A3015 RMK T02900080 MADISHF
ITR,2021-07-11 00:05,-102.2854,39.2425,M,M,M,20.00,16.00,M,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110005Z AUTO 02016KT 10SM CLR 29/08 A3015 RMK T02900080 MADISHF
ITR,2021-07-11 00:10,-102.2854,39.2425,M,M,M,30.00,15.00,M,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110010Z AUTO 03015KT 10SM CLR 29/08 A3015 RMK T02900080 MADISHF
ITR,2021-07-11 00:25,-102.2854,39.2425,M,M,M,50.00,13.00,M,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110025Z AUTO 05013KT 10SM CLR 28/09 A3015 RMK T02800090 MADISHF
ITR,2021-07-11 00:30,-102.2854,39.2425,M,M,M,40.00,11.00,M,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110030Z AUTO 04011KT 10SM CLR 28/09 A3015 RMK T02800090 MADISHF
ITR,2021-07-11 00:35,-102.2854,39.2425,M,M,M,40.00,17.00,M,30.17,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110035Z AUTO 04017G22KT 10SM CLR 28/10 A3017 RMK T02800100 MADISHF
ITR,2021-07-11 00:40,-102.2854,39.2425,M,M,M,40.00,13.00,M,30.17,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110040Z AUTO 04013G18KT 10SM CLR 28/10 A3017 RMK T02800100 MADISHF
ITR,2021-07-11 00:45,-102.2854,39.2425,M,M,M,30.00,16.00,M,30.17,M,10.00,21.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110045Z AUTO 03016G21KT 10SM CLR 28/10 A3017 RMK T02800100 MADISHF
ITR,2021-07-11 00:50,-102.2854,39.2425,M,M,M,30.00,14.00,M,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110050Z AUTO 03014KT 10SM CLR 27/10 A3017 RMK T02700100 MADISHF
ITR,2021-07-11 00:53,-102.2854,39.2425,81.00,50.00,33.97,40.00,15.00,0.00,30.17,1016.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.12,KITR 110053Z AUTO 04015KT 10SM CLR 27/10 A3017 RMK AO2 SLP164 T02720100
ITR,2021-07-11 01:05,-102.2854,39.2425,M,M,M,40.00,13.00,M,30.17,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110105Z AUTO 04013G18KT 10SM CLR 27/11 A3017 RMK T02700110 MADISHF
ITR,2021-07-11 01:10,-102.2854,39.2425,M,M,M,40.00,11.00,M,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110110Z AUTO 04011KT 10SM CLR 27/11 A3017 RMK T02700110 MADISHF
ITR,2021-07-11 01:15,-102.2854,39.2425,M,M,M,40.00,11.00,M,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110115Z AUTO 04011KT 10SM CLR 27/11 A3018 RMK T02700110 MADISHF
ITR,2021-07-11 01:20,-102.2854,39.2425,M,M,M,30.00,11.00,M,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110120Z AUTO 03011KT 10SM CLR 26/11 A3018 RMK T02600110 MADISHF
ITR,2021-07-11 01:25,-102.2854,39.2425,M,M,M,40.00,10.00,M,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110125Z AUTO 04010KT 10SM CLR 26/11 A3018 RMK T02600110 MADISHF
ITR,2021-07-11 01:35,-102.2854,39.2425,M,M,M,40.00,10.00,M,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110135Z AUTO 04010KT 10SM CLR 26/10 A3018 RMK T02600100 MADISHF
ITR,2021-07-11 01:40,-102.2854,39.2425,M,M,M,40.00,10.00,M,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110140Z AUTO 04010KT 10SM CLR 26/10 A3018 RMK T02600100 MADISHF
ITR,2021-07-11 01:45,-102.2854,39.2425,M,M,M,40.00,9.00,M,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110145Z AUTO 04009KT 10SM CLR 25/10 A3018 RMK T02500100 MADISHF
ITR,2021-07-11 01:50,-102.2854,39.2425,M,M,M,40.00,8.00,M,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110150Z AUTO 04008KT 10SM CLR 25/10 A3018 RMK T02500100 MADISHF
ITR,2021-07-11 01:53,-102.2854,39.2425,75.90,50.00,40.19,40.00,7.00,0.00,30.18,1016.80,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110153Z AUTO 04007KT 9SM CLR 24/10 A3018 RMK AO2 SLP168 T02440100
ITR,2021-07-11 02:05,-102.2854,39.2425,M,M,M,40.00,5.00,M,30.19,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110205Z AUTO 04005KT 9SM CLR 23/11 A3019 RMK T02300110 MADISHF
ITR,2021-07-11 02:10,-102.2854,39.2425,M,M,M,40.00,5.00,M,M,M,7.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KITR 110210Z AUTO 04005KT 7SM CLR 23/11 RMK T02300110 MADISHF
