#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LAA,2021-07-11 00:05,-102.6881,38.0700,M,M,M,40.00,9.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLAA 110005Z AUTO 04009KT 10SM CLR 31/11 A3010 RMK T03100110 MADISHF
LAA,2021-07-11 00:10,-102.6881,38.0700,M,M,M,40.00,10.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLAA 110010Z AUTO 04010KT 10SM CLR 31/11 A3010 RMK T03100110 MADISHF
LAA,2021-07-11 00:15,-102.6881,38.0700,M,M,M,40.00,11.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLAA 110015Z AUTO 04011KT 10SM CLR 31/11 A3009 RMK T03100110 MADISHF
LAA,2021-07-11 00:20,-102.6881,38.0700,M,M,M,40.00,8.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLAA 110020Z AUTO 04008KT 10SM CLR 30/11 A3009 RMK T03000110 MADISHF
LAA,2021-07-11 00:25,-102.6881,38.0700,M,M,M,50.00,8.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLAA 110025Z AUTO 05008KT 10SM CLR 30/11 A3010 RMK T03000110 MADISHF
LAA,2021-07-11 00:30,-102.6881,38.0700,M,M,M,50.00,9.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLAA 110030Z AUTO 05009KT 10SM CLR 30/11 A3010 RMK T03000110 MADISHF
LAA,2021-07-11 00:35,-102.6881,38.0700,M,M,M,50.00,8.00,M,30.10,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KLAA 110035Z AUTO 05008KT 10SM FEW110 30/11 A3010 RMK T03000110 MADISHF
LAA,2021-07-11 00:40,-102.6881,38.0700,M,M,M,40.00,8.00,M,30.10,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KLAA 110040Z AUTO 04008KT 10SM SCT110 30/10 A3010 RMK T03000100 MADISHF
LAA,2021-07-11 00:53,-102.6881,38.0700,84.90,51.10,31.19,60.00,8.00,0.00,30.10,1014.10,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,82.90,KLAA 110053Z AUTO 06008KT 10SM FEW110 29/11 A3010 RMK AO2 SLP141 T02940106
LAA,2021-07-11 00:55,-102.6881,38.0700,M,M,M,60.00,8.00,M,30.10,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KLAA 110055Z AUTO 06008KT 10SM FEW110 29/11 A3010 RMK T02900110 MADISHF
LAA,2021-07-11 01:00,-102.6881,38.0700,M,M,M,60.00,5.00,M,30.10,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KLAA 110100Z AUTO 06005KT 10SM FEW110 29/11 A3010 RMK T02900110 MADISHF
