#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LHX,2021-07-11 00:00,-103.5122,38.0494,M,M,M,50.00,13.00,M,30.14,M,10.00,M,BKN,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,M,KLHX 110000Z AUTO 05013KT 10SM BKN095 31/10 A3013 RMK T03100100 MADISHF
LHX,2021-07-11 00:02,-103.5122,38.0494,87.10,50.00,27.91,50.00,13.00,0.00,30.14,M,10.00,M,BKN,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,84.51,KLHX 110002Z AUTO 05013KT 10SM BKN095 31/10 A3014 RMK AO2 WSHFT 2342 T03060100
LHX,2021-07-11 00:15,-103.5122,38.0494,M,M,M,60.00,15.00,M,30.14,M,10.00,M,BKN,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,M,KLHX 110015Z AUTO 06015KT 10SM BKN095 31/10 A3013 RMK T03100100 MADISHF
LHX,2021-07-11 00:20,-103.5122,38.0494,M,M,M,70.00,16.00,M,30.15,M,10.00,M,SCT,BKN,M,M,7999.00,10000.00,M,M,M,M,M,M,M,M,M,M,KLHX 110020Z AUTO 07016KT 10SM SCT079 BKN100 31/11 A3014 RMK T03100110 MADISHF
LHX,2021-07-11 00:25,-103.5122,38.0494,M,M,M,80.00,13.00,M,30.15,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KLHX 110025Z AUTO 08013KT 10SM OVC090 31/10 A3014 RMK T03100100 MADISHF
LHX,2021-07-11 00:30,-103.5122,38.0494,M,M,M,70.00,15.00,M,30.14,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KLHX 110030Z AUTO 07015KT 10SM OVC090 31/10 A3013 RMK T03100100 MADISHF
LHX,2021-07-11 00:35,-103.5122,38.0494,M,M,M,70.00,14.00,M,30.15,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KLHX 110035Z AUTO 07014KT 10SM OVC090 30/10 A3014 RMK T03000100 MADISHF
LHX,2021-07-11 00:40,-103.5122,38.0494,M,M,M,90.00,11.00,M,30.15,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,M,KLHX 110040Z AUTO 09011KT 10SM OVC090 30/10 A3014 RMK T03000100 MADISHF
LHX,2021-07-11 00:45,-103.5122,38.0494,M,M,M,70.00,10.00,M,30.15,M,10.00,M,BKN,OVC,M,M,9000.00,10000.00,M,M,M,M,M,M,M,M,M,M,KLHX 110045Z AUTO 07010KT 10SM BKN090 OVC100 30/10 A3014 RMK T03000100 MADISHF
LHX,2021-07-11 00:50,-103.5122,38.0494,M,M,M,80.00,11.00,M,30.15,M,10.00,16.00,BKN,BKN,M,M,9000.00,11000.00,M,M,M,M,M,M,M,M,M,M,KLHX 110050Z AUTO 08011G16KT 10SM BKN090 BKN110 30/09 A3014 RMK T03000090 MADISHF
