#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LIC,2021-07-11 00:00,-103.6659,39.2748,M,M,M,360.00,10.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110000Z AUTO 36010KT 10SM CLR 28/05 A3023 RMK T02800050 MADISHF
LIC,2021-07-11 00:05,-103.6659,39.2748,M,M,M,20.00,13.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110005Z AUTO 02013KT 10SM CLR 28/05 A3023 RMK T02800050 MADISHF
LIC,2021-07-11 00:10,-103.6659,39.2748,M,M,M,30.00,14.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110010Z AUTO 03014KT 10SM CLR 28/05 A3023 RMK T02800050 MADISHF
LIC,2021-07-11 00:15,-103.6659,39.2748,M,M,M,40.00,15.00,M,30.24,M,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KLIC 110015Z AUTO 04015KT 10SM FEW100 28/05 A3023 RMK T02800050 MADISHF
LIC,2021-07-11 00:20,-103.6659,39.2748,M,M,M,30.00,11.00,M,30.25,M,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KLIC 110020Z AUTO 03011KT 10SM SCT100 27/05 A3025 RMK T02700050 MADISHF
LIC,2021-07-11 00:25,-103.6659,39.2748,M,M,M,20.00,13.00,M,30.25,M,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KLIC 110025Z AUTO 02013KT 10SM SCT100 27/05 A3025 RMK T02700050 MADISHF
LIC,2021-07-11 00:30,-103.6659,39.2748,M,M,M,20.00,13.00,M,30.25,M,10.00,18.00,SCT,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KLIC 110030Z AUTO 02013G18KT 10SM SCT100 27/05 A3025 RMK T02700050 MADISHF
LIC,2021-07-11 00:35,-103.6659,39.2748,M,M,M,30.00,14.00,M,30.25,M,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KLIC 110035Z AUTO 03014KT 10SM SCT100 27/05 A3025 RMK T02700050 MADISHF
LIC,2021-07-11 00:40,-103.6659,39.2748,M,M,M,20.00,14.00,M,30.25,M,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KLIC 110040Z AUTO 02014KT 10SM SCT100 27/05 A3025 RMK T02700050 MADISHF
LIC,2021-07-11 00:45,-103.6659,39.2748,M,M,M,30.00,14.00,M,30.25,M,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KLIC 110045Z AUTO 03014KT 10SM SCT100 27/05 A3025 RMK T02700050 MADISHF
LIC,2021-07-11 00:50,-103.6659,39.2748,M,M,M,30.00,11.00,M,30.25,M,10.00,16.00,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KLIC 110050Z AUTO 03011G16KT 10SM FEW100 26/05 A3025 RMK T02600050 MADISHF
LIC,2021-07-11 00:55,-103.6659,39.2748,79.00,39.90,24.70,30.00,14.00,0.00,30.25,1016.70,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KLIC 110055Z AUTO 03014KT 10SM FEW100 26/04 A3025 RMK AO2 SLP167 T02610044
LIC,2021-07-11 00:55,-103.6659,39.2748,M,M,M,30.00,13.00,M,30.25,M,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,KLIC 110055Z AUTO 03013KT 10SM FEW100 26/04 A3025 RMK T02600040 MADISHF
LIC,2021-07-11 01:00,-103.6659,39.2748,M,M,M,20.00,13.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110100Z AUTO 02013KT 10SM CLR 26/04 A3025 RMK T02600040 MADISHF
LIC,2021-07-11 01:05,-103.6659,39.2748,M,M,M,30.00,11.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110105Z AUTO 03011KT 10SM CLR 26/05 A3025 RMK T02600050 MADISHF
LIC,2021-07-11 01:10,-103.6659,39.2748,M,M,M,30.00,13.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110110Z AUTO 03013KT 10SM CLR 26/05 A3025 RMK T02600050 MADISHF
LIC,2021-07-11 01:15,-103.6659,39.2748,M,M,M,40.00,11.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110115Z AUTO 04011KT 10SM CLR 26/04 A3025 RMK T02600040 MADISHF
LIC,2021-07-11 01:20,-103.6659,39.2748,M,M,M,30.00,13.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110120Z AUTO 03013KT 10SM CLR 26/04 A3025 RMK T02600040 MADISHF
LIC,2021-07-11 01:25,-103.6659,39.2748,M,M,M,40.00,11.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110125Z AUTO 04011KT 10SM CLR 26/04 A3025 RMK T02600040 MADISHF
LIC,2021-07-11 01:30,-103.6659,39.2748,M,M,M,30.00,11.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110130Z AUTO 03011KT 10SM CLR 25/04 A3025 RMK T02500040 MADISHF
LIC,2021-07-11 01:35,-103.6659,39.2748,M,M,M,20.00,11.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110135Z AUTO 02011KT 10SM CLR 25/04 A3026 RMK T02500040 MADISHF
LIC,2021-07-11 01:40,-103.6659,39.2748,M,M,M,30.00,11.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110140Z AUTO 03011KT 10SM CLR 25/04 A3026 RMK T02500040 MADISHF
LIC,2021-07-11 01:45,-103.6659,39.2748,M,M,M,30.00,10.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110145Z AUTO 03010KT 10SM CLR 24/04 A3026 RMK T02400040 MADISHF
LIC,2021-07-11 01:50,-103.6659,39.2748,M,M,M,30.00,10.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110150Z AUTO 03010KT 10SM CLR 24/04 A3026 RMK T02400040 MADISHF
LIC,2021-07-11 01:55,-103.6659,39.2748,75.00,39.90,28.20,30.00,9.00,0.00,30.26,1017.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110155Z AUTO 03009KT 10SM CLR 24/04 A3026 RMK AO2 SLP170 T02390044
LIC,2021-07-11 01:55,-103.6659,39.2748,M,M,M,30.00,9.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110155Z AUTO 03009KT 10SM CLR 24/04 A3026 RMK T02400040 MADISHF
LIC,2021-07-11 02:00,-103.6659,39.2748,M,M,M,30.00,8.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110200Z AUTO 03008KT 10SM CLR 23/04 A3026 RMK T02300040 MADISHF
LIC,2021-07-11 02:05,-103.6659,39.2748,M,M,M,30.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110205Z AUTO 03007KT 10SM CLR 23/04 A3026 RMK T02300040 MADISHF
LIC,2021-07-11 02:10,-103.6659,39.2748,M,M,M,30.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110210Z AUTO 03007KT 10SM CLR 23/05 A3026 RMK T02300050 MADISHF
LIC,2021-07-11 02:15,-103.6659,39.2748,M,M,M,30.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110215Z AUTO 03007KT 10SM CLR 22/05 A3026 RMK T02200050 MADISHF
LIC,2021-07-11 02:20,-103.6659,39.2748,M,M,M,30.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110220Z AUTO 03007KT 10SM CLR 22/05 A3026 RMK T02200050 MADISHF
LIC,2021-07-11 02:25,-103.6659,39.2748,M,M,M,30.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110225Z AUTO 03007KT 10SM CLR 21/05 A3026 RMK T02100050 MADISHF
LIC,2021-07-11 02:30,-103.6659,39.2748,M,M,M,30.00,5.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110230Z AUTO 03005KT 10SM CLR 21/05 A3026 RMK T02100050 MADISHF
LIC,2021-07-11 02:35,-103.6659,39.2748,M,M,M,30.00,7.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110235Z AUTO 03007KT 10SM CLR 21/05 A3026 RMK T02100050 MADISHF
LIC,2021-07-11 02:40,-103.6659,39.2748,M,M,M,20.00,5.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110240Z AUTO 02005KT 10SM CLR 20/06 A3027 RMK T02000060 MADISHF
LIC,2021-07-11 02:45,-103.6659,39.2748,M,M,M,30.00,5.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110245Z AUTO 03005KT 10SM CLR 19/06 A3027 RMK T01900060 MADISHF
LIC,2021-07-11 02:50,-103.6659,39.2748,M,M,M,30.00,5.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110250Z AUTO 03005KT 10SM CLR 18/06 A3027 RMK T01800060 MADISHF
LIC,2021-07-11 02:55,-103.6659,39.2748,64.00,42.10,44.74,30.00,6.00,0.00,30.27,1018.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110255Z AUTO 03006KT 10SM CLR 18/06 A3027 RMK AO2 SLP180 T01780056 53008
LIC,2021-07-11 02:55,-103.6659,39.2748,M,M,M,30.00,5.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110255Z AUTO 03005KT 10SM CLR 18/06 A3027 RMK T01800060 MADISHF
LIC,2021-07-11 03:00,-103.6659,39.2748,M,M,M,30.00,7.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110300Z AUTO 03007KT 10SM CLR 18/06 A3027 RMK T01800060 MADISHF
LIC,2021-07-11 03:05,-103.6659,39.2748,M,M,M,50.00,7.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110305Z AUTO 05007KT 10SM CLR 18/06 A3027 RMK T01800060 MADISHF
LIC,2021-07-11 03:10,-103.6659,39.2748,M,M,M,50.00,5.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110310Z AUTO 05005KT 10SM CLR 19/06 A3028 RMK T01900060 MADISHF
LIC,2021-07-11 03:15,-103.6659,39.2748,M,M,M,60.00,5.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110315Z AUTO 06005KT 10SM CLR 19/06 A3028 RMK T01900060 MADISHF
LIC,2021-07-11 03:20,-103.6659,39.2748,M,M,M,70.00,2.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110320Z AUTO 07002KT 10SM CLR 18/06 A3028 RMK T01800060 MADISHF
LIC,2021-07-11 03:25,-103.6659,39.2748,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110325Z AUTO 00000KT 10SM CLR 17/06 A3028 RMK T01700060 MADISHF
LIC,2021-07-11 03:30,-103.6659,39.2748,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110330Z AUTO 00000KT 10SM CLR 16/06 A3028 RMK T01600060 MADISHF
LIC,2021-07-11 03:35,-103.6659,39.2748,M,M,M,0.00,0.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110335Z AUTO 00000KT 10SM CLR 17/06 A3029 RMK T01700060 MADISHF
LIC,2021-07-11 03:40,-103.6659,39.2748,M,M,M,0.00,0.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110340Z AUTO 00000KT 10SM CLR 17/06 A3029 RMK T01700060 MADISHF
LIC,2021-07-11 03:45,-103.6659,39.2748,M,M,M,0.00,0.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110345Z AUTO 00000KT 10SM CLR 17/07 A3029 RMK T01700070 MADISHF
LIC,2021-07-11 03:50,-103.6659,39.2748,M,M,M,0.00,0.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110350Z AUTO 00000KT 10SM CLR 17/07 A3029 RMK T01700070 MADISHF
LIC,2021-07-11 03:55,-103.6659,39.2748,63.00,44.10,50.03,0.00,0.00,0.00,30.30,1018.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110355Z AUTO 00000KT 10SM CLR 17/07 A3030 RMK AO2 SLP187 T01720067
LIC,2021-07-11 03:55,-103.6659,39.2748,M,M,M,0.00,0.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLIC 110355Z AUTO 00000KT 10SM CLR 17/07 A3029 RMK T01700070 MADISHF
