#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-07-11 00:00:00+00:00 2021-07-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LMO,2021-07-11 00:15,-105.1630,40.1637,84.90,45.10,24.90,80.00,8.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.27,KLMO 110015Z AUTO 08008KT 10SM CLR 29/07 A3025 RMK AO2 T02940073
LMO,2021-07-11 00:35,-105.1630,40.1637,84.00,43.50,24.12,70.00,7.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.51,KLMO 110035Z AUTO 07007KT 10SM CLR 29/06 A3025 RMK AO2 T02890064
LMO,2021-07-11 00:55,-105.1630,40.1637,82.80,44.40,25.95,60.00,7.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.75,KLMO 110055Z AUTO 06007KT 10SM CLR 28/07 A3025 RMK AO2 T02820069
LMO,2021-07-11 01:15,-105.1630,40.1637,81.50,43.50,26.15,80.00,5.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.87,KLMO 110115Z AUTO 08005KT 10SM CLR 28/06 A3025 RMK AO2 T02750064
LMO,2021-07-11 01:35,-105.1630,40.1637,80.60,43.00,26.42,70.00,5.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.32,KLMO 110135Z AUTO 07005KT 10SM CLR 27/06 A3025 RMK AO2 T02700061
LMO,2021-07-11 01:55,-105.1630,40.1637,79.00,43.50,28.38,70.00,4.00,0.00,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLMO 110155Z AUTO 07004KT 10SM CLR 26/06 A3026 RMK AO2 T02610064
LMO,2021-07-11 02:15,-105.1630,40.1637,77.90,43.70,29.65,70.00,3.00,0.00,30.26,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KLMO 110215Z AUTO 07003KT 10SM SCT110 26/07 A3026 RMK AO2 T02550065
LMO,2021-07-11 02:35,-105.1630,40.1637,77.90,43.20,29.09,50.00,3.00,0.00,30.26,M,10.00,M,BKN,BKN,M,M,9000.00,11000.00,M,M,M,M,M,M,M,M,M,M,KLMO 110235Z AUTO 05003KT 10SM BKN090 BKN110 26/06 A3026 RMK AO2 T02550062
LMO,2021-07-11 02:55,-105.1630,40.1637,78.30,42.60,28.06,30.00,4.00,0.00,30.27,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KLMO 110255Z AUTO 03004KT 10SM OVC080 26/06 A3027 RMK AO2 T02570059
LMO,2021-07-11 03:15,-105.1630,40.1637,78.10,41.90,27.49,50.00,4.00,0.00,30.28,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KLMO 110315Z AUTO 05004KT 10SM OVC080 26/06 A3028 RMK AO2 T02560055
LMO,2021-07-11 03:35,-105.1630,40.1637,77.70,41.40,27.32,60.00,4.00,0.00,30.29,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KLMO 110335Z AUTO 06004KT 10SM OVC080 25/05 A3029 RMK AO2 T02540052
LMO,2021-07-11 03:55,-105.1630,40.1637,74.70,48.60,39.70,0.00,0.00,0.00,30.30,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KLMO 110355Z AUTO 00000KT 10SM OVC080 24/09 A3030 RMK AO2 T02370092
LMO,2021-07-11 04:15,-105.1630,40.1637,73.40,46.80,38.76,310.00,3.00,0.00,30.31,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,M,KLMO 110415Z AUTO 31003KT 10SM OVC080 23/08 A3031 RMK AO2 T02300082
